92-U-234(n,total fission) ENDF/B-VII.1
45.9164,0.0106825
45.9309,0.0085825
45.9462,0.00693721
45.9636,0.00558812
45.981,0.00462462
46.0008,0.00383958
46.0244,0.00318739
46.0505,0.00268139
46.0878,0.00217996
46.1325,0.00176718
46.1813,0.00144841
46.2393,0.00117732
46.3022,9.65503E-4
46.3817,7.74874E-4
46.4612,6.38844E-4
46.5506,5.27415E-4
46.655,4.33313E-4
46.7796,3.53242E-4
46.9258,2.87513E-4
47.0927,2.35483E-4
47.275,1.95771E-4
47.5094,1.60783E-4
47.7265,1.38339E-4
48.0391,1.16069E-4
48.4332,9.79119E-5
48.8899,8.45674E-5
49.5324,7.31597E-5
50.4007,6.45267E-5
51.2689,5.9678E-5
52.87,5.52049E-5
55.5386,5.29601E-5
56.2502,5.28932E-5
60.5198,5.50638E-5
64.8849,6.09367E-5
67.8587,6.78378E-5
70.0891,7.57976E-5
71.8548,8.63655E-5
72.97,9.72931E-5
73.8064,1.11076E-4
74.4524,1.28978E-4
74.8401,1.45644E-4
75.2211,1.7107E-4
75.4932,1.98923E-4
75.7109,2.31432E-4
75.9014,2.72468E-4
76.0647,3.22936E-4
76.2189,3.92098E-4
76.3459,4.75246E-4
76.4502,5.72781E-4
76.5455,6.99407E-4
76.6271,8.54445E-4
76.6951,0.00103761
76.7564,0.00127381
76.8074,0.00156419
76.8414,0.00184467
76.8732,0.00221847
76.9009,0.00269371
76.9247,0.0032766
76.947,0.00404228
76.9687,0.00508481
76.988,0.00635163
77.0072,0.0080471
77.0274,0.0104132
77.0478,0.0136069
77.0682,0.0177989
77.0886,0.0231991
77.1124,0.0312955
77.1387,0.0427862
77.1673,0.058484
77.2067,0.0852466
77.292,0.150142
77.3365,0.174557
77.3764,0.183207
77.3797,0.183262
77.4145,0.177617
77.4526,0.159747
77.5088,0.119382
77.5696,0.0733464
77.605,0.0512364
77.6335,0.0370351
77.658,0.0274747
77.6793,0.0209442
77.6998,0.0160509
77.7202,0.0122778
77.7406,0.00941905
77.7598,0.00738695
77.7797,0.00582152
77.7995,0.00466285
77.8222,0.0037045
77.8455,0.00300928
77.8693,0.0025028
77.8971,0.00208509
77.9288,0.0017514
77.9719,0.00144105
78.0172,0.00121415
78.0739,0.00101117
78.142,8.37507E-4
78.2236,6.90025E-4
78.3189,5.69423E-4
78.4209,4.78307E-4
78.5434,4.01282E-4
78.6862,3.39029E-4
78.879,2.83001E-4
79.1103,2.40209E-4
79.3718,2.0987E-4
79.7152,1.85861E-4
80.1272,1.6985E-4
80.6417,1.60296E-4
81.3609,1.56637E-4
82.5116,1.6308E-4
83.6239,1.78547E-4
84.8897,2.06161E-4
85.9637,2.40903E-4
87.0378,2.91853E-4
87.7538,3.39869E-4
88.448,4.01664E-4
89.1556,4.92014E-4
89.7646,6.0493E-4
90.2683,7.37881E-4
90.7001,8.98432E-4
91.0727,0.00109042
91.3986,0.00132285
