94-Pu-241(n,total fission) ENDF/B-VII.1
38.7865,17.9157
38.8633,20.6147
38.9347,24.4761
38.9896,28.8481
39.0445,35.1905
39.0925,43.2612
39.1337,52.9117
39.1789,67.3319
39.2338,90.5152
39.3211,131.377
39.3623,143.763
39.393,146.689
39.4347,140.707
39.4806,122.959
39.5659,80.2641
39.603,66.4963
39.6263,60.8659
39.6555,57.6878
39.6613,57.6015
39.6902,60.0151
39.7161,66.2789
39.7481,79.2234
39.7907,103.687
39.8561,144.311
39.8923,158.632
39.9194,162.139
39.9507,157.742
39.99,141.438
40.0833,86.9732
40.1237,68.7883
40.1551,58.6737
40.1881,51.3514
40.2294,45.8684
40.2789,42.8892
40.3264,42.2981
40.3739,43.0738
40.469,47.0091
40.7119,60.2604
40.8281,62.7305
40.9338,60.947
41.0816,53.2443
41.3688,34.3448
41.5266,26.4065
41.6751,20.8721
41.8269,16.75
41.9887,13.6307
42.1273,11.7732
42.2593,10.6597
42.3584,10.3539
42.4305,10.5988
42.4891,11.3063
42.5477,12.7623
42.604,15.1554
42.6784,19.8054
42.7504,24.3684
42.791,25.7836
42.8135,25.9672
42.854,25.1018
42.9072,21.981
43.0186,13.2897
43.0643,10.5523
43.1066,8.70933
43.1418,7.63707
43.1812,6.91394
43.2065,6.74299
43.2318,6.85576
43.2572,7.32328
43.2825,8.22683
43.3104,9.80114
43.3414,12.291
43.4304,21.2821
43.4661,23.5238
43.4893,23.9574
43.5197,23.1927
43.5539,20.7893
43.6432,11.9295
43.6759,9.35894
43.7072,7.54316
43.7369,6.32611
43.7741,5.32734
43.8113,4.70424
43.8545,4.2451
43.9192,3.81457
44.0304,3.37205
44.1697,3.03688
44.3554,2.76658
44.634,2.58387
44.7268,2.57066
44.9301,2.62365
45.1334,2.8062
45.3231,3.13593
45.4858,3.60496
45.6213,4.20577
45.7314,4.92141
45.8322,5.86811
45.9186,7.04093
45.9838,8.28116
46.0516,10.0887
46.1067,12.1718
46.16,15.0289
46.2083,18.7165
46.2498,23.1304
46.2905,29.0046
46.3311,36.8432
46.3794,49.0781
46.4616,75.6281
46.5212,93.9347
46.5708,103.186
46.5998,104.786
46.6459,101.218
46.7001,89.447
46.8139,58.0305
46.8682,46.9693
46.9093,41.0314
46.9644,35.8942
47.0257,33.0551
47.0848,32.3246
47.181,33.5383
47.3185,35.3808
47.4143,36.1936
47.4634,37.9139
47.5203,42.0716
47.5828,49.9576
47.6438,61.5267
47.7086,78.6878
47.7753,102.644
47.8496,137.832
48.0223,234.311
48.0727,252.802
48.1232,260.381
48.1685,256.787
48.2404,233.508
48.4307,136.866
48.5095,105.624
48.5852,83.2989
48.6608,66.9539
48.7459,53.6862
48.8341,43.833
48.9413,35.3669
49.0516,29.2496
49.1808,24.2293
49.3131,20.666
49.4644,17.9274
49.5965,16.4307
49.71,15.7751
49.7795,15.7043
49.8838,16.2399
49.9706,17.5802
50.0358,19.4309
50.1064,22.6109
50.1846,27.7862
50.2938,36.229
50.3563,39.2817
50.3894,39.7002
50.4328,38.78
50.4884,35.4052
