E(MeV)  pendfb7/Fe56:2
1.16531e-10  29.4120813
1.20533e-10  28.9925199
1.24672e-10  28.5811005
1.28954e-10  28.1776998
1.33382e-10  27.7821969
1.37963e-10  27.3944724
1.42701e-10  27.0144094
1.47601e-10  26.6418923
1.5267e-10  26.2768079
1.57913e-10  25.9190444
1.63336e-10  25.5684918
1.68945e-10  25.225042
1.74747e-10  24.8885885
1.80748e-10  24.5590263
1.86955e-10  24.236252
1.93376e-10  23.9201639
2.00016e-10  23.6106616
2.06885e-10  23.3076463
2.1399e-10  23.0110204
2.21339e-10  22.7206881
2.2894e-10  22.4365543
2.36802e-10  22.1585257
2.44934e-10  21.8865101
2.53346e-10  21.6204163
2.62046e-10  21.3601545
2.71045e-10  21.1056358
2.80353e-10  20.8567727
2.89981e-10  20.6134785
2.99939e-10  20.3756674
3.1024e-10  20.1432548
3.20894e-10  19.916157
3.31914e-10  19.694291
3.44767e-10  19.4507952
3.58112e-10  19.2137978
3.71981e-10  18.9829794
3.86379e-10  18.7584568
4.01342e-10  18.5398805
4.16876e-10  18.3273671
4.3302e-10  18.1205948
4.49781e-10  17.9196445
4.67199e-10  17.7242318
4.85283e-10  17.53442
5.04076e-10  17.3499356
5.23588e-10  17.1708382
5.43864e-10  16.9968574
5.64915e-10  16.828056
5.86792e-10  16.6641659
6.09505e-10  16.5052414
6.35781e-10  16.3342251
6.63189e-10  16.1689783
6.91779e-10  16.0093621
7.21601e-10  15.8552388
7.52709e-10  15.7064714
7.85158e-10  15.5629238
8.19006e-10  15.4244608
8.54313e-10  15.2909481
8.91142e-10  15.1622525
9.33499e-10  15.0260684
9.77852e-10  14.8954276
1.02433e-09  14.77006
1.072998e-09  14.6498883
1.123999e-09  14.5346525
1.177403e-09  14.4242728
1.238571e-09  14.3091307
1.302918e-09  14.199309
1.370607e-09  14.0946002
1.441813e-09  13.9948005
1.523147e-09  13.8919765
1.609041e-09  13.7944635
1.699808e-09  13.701957
1.795664e-09  13.614282
1.904965e-09  13.5249559
2.020919e-09  13.4406592
2.153019e-09  13.3556093
2.293712e-09  13.2757393
2.443643e-09  13.2007041
2.614362e-09  13.1257109
2.797008e-09  13.0555913
3.005044e-09  12.9860911
3.228611e-09  12.921376
3.483451e-09  12.8577325
3.774268e-09  12.7955997
4.106698e-09  12.7353527
4.468407e-09  12.6799811
4.882582e-09  12.6266523
5.357665e-09  12.5756337
5.903787e-09  12.5271303
6.53315e-09  12.4812906
7.290891e-09  12.4366
8.171004e-09  12.3950961
9.234822e-09  12.3554883
1.0525807e-08  12.3181747
1.2098749e-08  12.2834718
1.4024885e-08  12.2515768
1.6464679e-08  12.2218865
1.9575026e-08  12.1947644
2.5258177e-08  12.1624524
2.53e-08  12.1622684
3.1509134e-08  12.1403634
4.0248565e-08  12.1209698
5.3177551e-08  12.1039485
7.3599204e-08  12.0892085
1.08519809e-07  12.0767853
