E(MeV)  pendfb7/U235:18
1.20595228e-07  221.958128
1.23168311e-07  218.923047
1.25794054e-07  215.954359
1.28478062e-07  213.04902
1.31216999e-07  210.214106
1.34016714e-07  207.447235
1.36873727e-07  204.75574
1.39794136e-07  202.138029
1.42774314e-07  199.601795
1.45820621e-07  197.146393
1.48929273e-07  194.780007
1.52106906e-07  192.503136
1.55349571e-07  190.324619
1.58664191e-07  188.246338
1.62046647e-07  186.27798
1.6480563e-07  184.785119
1.67611588e-07  183.369765
1.70465319e-07  182.036118
1.73367638e-07  180.788732
1.76319371e-07  179.632535
1.7932136e-07  178.572842
1.8237446e-07  177.615366
1.85479542e-07  176.766228
1.8863749e-07  176.031981
1.91849206e-07  175.419613
1.94295557e-07  175.044509
1.96769598e-07  174.745805
1.99278692e-07  174.525948
2.01816185e-07  174.388864
2.04801694e-07  174.33745
2.07413208e-07  174.389776
2.10054281e-07  174.534698
2.12732774e-07  174.775479
2.15441583e-07  175.113853
2.18188771e-07  175.552588
2.20967054e-07  176.091535
2.237847e-07  176.73249
2.26634237e-07  177.473022
2.29524148e-07  178.313494
2.32446768e-07  179.248412
2.36404374e-07  180.635769
2.40429362e-07  182.165921
2.55064189e-07  188.164648
2.59406876e-07  189.854209
2.62714685e-07  191.037729
2.66059933e-07  192.108956
2.68315323e-07  192.744085
2.70589832e-07  193.302594
2.73338461e-07  193.854864
2.75435957e-07  194.17749
2.77770828e-07  194.428159
2.81301175e-07  194.575295
2.83201871e-07  194.532987
2.85602573e-07  194.353466
2.88023626e-07  194.027009
2.90465202e-07  193.548254
2.92927476e-07  192.91335
2.95410622e-07  192.120057
2.97914818e-07  191.167817
3.00440242e-07  190.057777
3.02987074e-07  188.79277
3.05555495e-07  187.377261
3.08145689e-07  185.817256
3.1075784e-07  184.120181
3.13392134e-07  182.294727
3.1604876e-07  180.350654
3.18727905e-07  178.298571
3.22786391e-07  175.044902
3.26902379e-07  171.607887
3.32468173e-07  166.818309
3.43885662e-07  156.848661
3.49740611e-07  151.824534
3.54193994e-07  148.095013
3.58710474e-07  144.414919
3.63278074e-07  140.811822
3.66357582e-07  138.454856
3.69463196e-07  136.1392
3.72595135e-07  133.867495
3.75753624e-07  131.641844
3.78938888e-07  129.463855
3.82151152e-07  127.334693
3.85390648e-07  125.255132
3.88657604e-07  123.225598
3.91952255e-07  121.246214
3.95274834e-07  119.316844
3.98625579e-07  117.437127
4.02004728e-07  115.606514
4.05412522e-07  113.824297
4.08849204e-07  112.089641
4.12315019e-07  110.401602
4.15810213e-07  108.759157
4.19335036e-07  107.161214
4.22889739e-07  105.606639
4.26474576e-07  104.09426
4.30089801e-07  102.622889
4.33735672e-07  101.191326
4.37412449e-07  99.7983712
4.41120394e-07  98.4428312
4.44859772e-07  97.1235271
4.48630848e-07  95.8392987
4.52433892e-07  94.5890108
4.56269174e-07  93.371558
4.60136968e-07  92.1858698
4.64037549e-07  91.0309123
4.67971195e-07  89.9056852
4.71938187e-07  88.8092124
4.75938807e-07  87.7405303
4.7997334e-07  86.6986851
4.86093687e-07  85.1831596
4.92283307e-07  83.72506
4.98560623e-07  82.3176147
5.04908989e-07  80.9623641
5.11347301e-07  79.6532221
5.17858485e-07  78.3917222
5.24461921e-07  77.1722871
5.31140099e-07  75.99646
5.37912894e-07  74.8591756
5.44762348e-07  73.7620099
5.51708847e-07  72.7003726
5.58733971e-07  71.6758683
5.65858628e-07  70.6843419
5.73063926e-07  69.7274208
5.8037131e-07  68.8013507
5.87761404e-07  67.9077771
5.95256202e-07  67.0433195
6.02835831e-07  66.2096383
6.1052285e-07  65.4037055
6.18296875e-07  64.6271968
6.26181044e-07  63.8774221
6.34154451e-07  63.1560751
6.42240827e-07  62.4607973
6.50418729e-07  61.7933098
6.58712498e-07  61.1516049
6.6710014e-07  60.5374939
6.75606621e-07  59.9493838
6.84209383e-07  59.3890815
6.92934031e-07  58.8551039
7.01757429e-07  58.3491562
7.1070584e-07  57.8702877
7.19755534e-07  57.4204873
7.28933446e-07  56.999264
7.38215239e-07  56.6088963
7.47628539e-07  56.2497006
7.57148384e-07  55.9241691
7.66803108e-07  55.6329352
7.76567111e-07  55.3786406
7.86469451e-07  55.1627832
7.96483873e-07  54.9886012
8.06640181e-07  54.8586874
8.1347807e-07  54.7986015
8.20373924e-07  54.7610591
8.27961014e-07  54.7473901
8.36366164e-07  54.7673914
8.4345604e-07  54.8142358
8.50606017e-07  54.890539
8.57816604e-07  54.9984353
8.65088316e-07  55.1403119
8.72421669e-07  55.3188441
8.79817188e-07  55.5370349
8.87275398e-07  55.7982618
8.92916473e-07  56.0249485
8.98589428e-07  56.2796276
9.04294398e-07  56.5641906
9.10031517e-07  56.8807059
9.1581727e-07  57.2324796
9.2163572e-07  57.6211747
9.27487006e-07  58.0495523
9.33371266e-07  58.5206648
9.39305407e-07  59.0394222
9.45273084e-07  59.6083296
9.51274439e-07  60.2315313
9.55297889e-07  60.6798209
9.59338393e-07  61.1559948
9.63395949e-07  61.6616377
9.67470704e-07  62.1984575
9.71562657e-07  62.7682544
9.75671953e-07  63.372967
9.79798593e-07  64.0146361
9.83942724e-07  64.6954521
9.88104346e-07  65.4177117
9.92283607e-07  66.1838672
9.96480507e-07  66.9964729
1.00069519e-06  67.8582341
1.00492767e-06  68.7719444
1.00917809e-06  69.7405231
1.01344645e-06  70.7669327
1.01686187e-06  71.6285747
1.0207056e-06  72.6427101
1.02454933e-06  73.7054163
1.02839306e-06  74.818147
1.03223679e-06  75.9821897
1.03608051e-06  77.198601
1.0397612e-06  78.4132101
1.04344188e-06  79.6768705
1.04712256e-06  80.9895079
1.05080324e-06  82.3505366
1.05448392e-06  83.7587505
1.05779914e-06  85.0659319
1.0619758e-06  86.7618085
1.06615246e-06  88.5070222
1.07241745e-06  91.1999769
1.08703576e-06  97.616439
1.09121242e-06  99.4039191
1.09538908e-06  101.127628
1.09852158e-06  102.361069
1.10165407e-06  103.528701
1.10478656e-06  104.616122
1.10791905e-06  105.608214
1.11000738e-06  106.208952
1.11209571e-06  106.755688
1.11418404e-06  107.243718
1.11627237e-06  107.668373
1.1183607e-06  108.025067
1.12044903e-06  108.309345
1.12253735e-06  108.516938
1.12420802e-06  108.625081
1.12671402e-06  108.686232
1.12838468e-06  108.657061
1.13038948e-06  108.545641
1.13214368e-06  108.378028
1.13389787e-06  108.143575
1.13556853e-06  107.857166
1.13728096e-06  107.498948
1.13899339e-06  107.074799
1.14070582e-06  106.584497
1.14241825e-06  106.028092
1.14413068e-06  105.405919
1.14584311e-06  104.718592
1.14755554e-06  103.967008
1.14926797e-06  103.152345
1.1513563e-06  102.07561
1.15344463e-06  100.910395
1.15553296e-06  99.6604181
1.15762129e-06  98.3299129
1.15970962e-06  96.9235864
1.16179795e-06  95.4465666
1.16388628e-06  93.9043462
1.16597461e-06  92.3027221
1.16806294e-06  90.647732
1.17015127e-06  88.9455897
1.17328377e-06  86.3178121
1.17641626e-06  83.6196718
1.18059292e-06  79.9493288
1.18957274e-06  71.9840871
1.19301849e-06  68.9696977
1.19646423e-06  66.009801
1.19876139e-06  64.0750881
1.20105855e-06  62.1762167
1.20314688e-06  60.4841733
1.20523521e-06  58.8271781
1.20732354e-06  57.2072652
1.20941187e-06  55.6261356
1.2115002e-06  54.0851738
1.21358853e-06  52.5854686
1.21567686e-06  51.127833
1.21776518e-06  49.7128337
1.219723e-06  48.4252707
1.22168081e-06  47.1755788
1.22363862e-06  45.9637133
1.22559642e-06  44.7895158
1.22755423e-06  43.6527001
1.22951204e-06  42.5529041
1.23146986e-06  41.4896768
1.23342766e-06  40.4625259
1.23538547e-06  39.4708799
1.23734328e-06  38.5141557
1.23930109e-06  37.5917461
1.2412589e-06  36.703038
1.24321671e-06  35.8474251
1.24517452e-06  35.0243196
1.24713233e-06  34.233163
1.24909013e-06  33.4734391
1.25074873e-06  32.8540577
1.25240732e-06  32.2566375
1.25406591e-06  31.6809458
1.2557245e-06  31.1267842
1.25738309e-06  30.5939851
1.25904168e-06  30.0824108
1.26070028e-06  29.5919486
1.26235886e-06  29.122522
1.26401745e-06  28.6740578
1.26567604e-06  28.2465089
1.26762168e-06  27.7715662
1.26930152e-06  27.3845587
1.27098136e-06  27.0188534
1.2726612e-06  26.6743699
1.27434104e-06  26.3509929
1.27602088e-06  26.0485603
1.27770072e-06  25.7668502
1.27938056e-06  25.5055697
1.28092041e-06  25.2836904
1.28232027e-06  25.0963063
1.28372014e-06  24.9222339
1.28581993e-06  24.6852642
1.28791973e-06  24.4759267
1.29001953e-06  24.2924755
1.29225931e-06  24.1230534
1.29393915e-06  24.0121639
1.29603895e-06  23.8909284
1.29855871e-06  23.7674354
1.30121846e-06  23.6580933
1.30401819e-06  23.5600729
1.31381725e-06  23.2635862
1.31759689e-06  23.1344228
1.32123654e-06  22.9890867
1.3248062e-06  22.8227735
1.32837585e-06  22.6319856
1.33152555e-06  22.4443622
1.33467525e-06  22.2407976
1.3393998e-06  21.9117957
1.35637317e-06  20.6491092
1.36162267e-06  20.2758743
1.36687217e-06  19.9231566
1.37212167e-06  19.5935626
1.37737116e-06  19.2877781
1.38262066e-06  19.0052419
1.38787016e-06  18.7446783
1.39311966e-06  18.5044644
1.39836915e-06  18.2828657
1.40361865e-06  18.0781716
1.40886815e-06  17.8887705
1.41411765e-06  17.7131801
1.41936714e-06  17.5500576
1.42636647e-06  17.3498864
1.4333658e-06  17.1672302
1.44036512e-06  16.9999198
1.44798551e-06  16.8330285
1.46068615e-06  16.5848979
1.47084667e-06  16.4090034
1.48100718e-06  16.2497708
1.49145439e-06  16.1007364
1.5019016e-06  15.9643405
1.51234881e-06  15.8386985
1.52816702e-06  15.6655233
1.54428001e-06  15.5063726
1.560393e-06  15.3611733
1.57680909e-06  15.2248374
1.59889928e-06  15.056159
1.62130112e-06  14.8988991
1.64401462e-06  14.7507543
1.67872576e-06  14.542048
1.7118964e-06  14.3597442
1.74134515e-06  14.211243
1.76540555e-06  14.1000663
1.78946595e-06  13.9998405
1.81112031e-06  13.9216427
