E(MeV)  pendfb7/U235:2
7.03488285e-06  10.1972718
7.04424547e-06  10.3415429
7.05492248e-06  10.5630248
7.06500434e-06  10.8186004
7.09452979e-06  11.6527596
7.10533178e-06  11.9122954
7.11604377e-06  12.1116775
7.12441531e-06  12.22095
7.13341697e-06  12.2923451
7.14241863e-06  12.3196737
7.15592112e-06  12.2931762
7.16942362e-06  12.2108122
7.22163325e-06  11.7683227
7.24863823e-06  11.5847687
7.28323583e-06  11.4055253
7.33074599e-06  11.22399
7.38881397e-06  11.0575968
7.47327648e-06  10.8702205
7.77734152e-06  10.3492751
7.9716053e-06  9.97742789
8.06451406e-06  9.76948111
8.14681483e-06  9.55464219
8.21006135e-06  9.36182947
8.28941636e-06  9.07175431
8.35539078e-06  8.77359348
8.41011878e-06  8.4716628
8.44660412e-06  8.2350323
8.48308945e-06  7.96491806
8.51957479e-06  7.65976946
8.57795133e-06  7.13753577
8.59436973e-06  7.01328696
8.60896387e-06  6.93432723
8.62264587e-06  6.90667925
8.6317672e-06  6.92526428
8.64088853e-06  6.98390493
8.64772954e-06  7.06047709
8.65457053e-06  7.17039698
8.66127472e-06  7.31544129
8.6679789e-06  7.50239957
8.67468308e-06  7.73608666
8.68138726e-06  8.02094857
8.68809144e-06  8.36077455
8.6939747e-06  8.7065253
8.6994475e-06  9.06909166
8.70492029e-06  9.47129244
8.71221736e-06  10.0679817
8.71951442e-06  10.7298982
8.7275412e-06  11.524906
8.73556797e-06  12.3767677
8.76431842e-06  15.5950714
8.77351272e-06  16.5597111
8.78299891e-06  17.459895
8.79029598e-06  18.0672555
8.79860567e-06  18.6538432
8.8055974e-06  19.0535961
8.81258912e-06  19.36468
8.8202609e-06  19.6045352
8.82793267e-06  19.7424377
8.83560444e-06  19.7859925
8.84327621e-06  19.7453138
8.85350524e-06  19.5804834
8.86643663e-06  19.2339882
8.87936802e-06  18.7869462
8.925921e-06  16.9956543
8.94661122e-06  16.2992773
8.96385306e-06  15.7947318
8.98109491e-06  15.3545227
8.99833676e-06  14.9695758
9.02419953e-06  14.473707
9.0500623e-06  14.0483858
9.08713228e-06  13.5147226
9.1360525e-06  12.8873291
9.17160325e-06  12.4994664
9.18955007e-06  12.3561079
9.21656231e-06  12.2639801
9.23339811e-06  12.3053964
9.24778768e-06  12.404169
9.30189248e-06  13.0519645
9.3180088e-06  13.2110707
9.33585187e-06  13.3176917
9.35283157e-06  13.3467054
9.37441593e-06  13.298136
9.51082888e-06  12.4880937
9.56935849e-06  12.2283439
9.63152555e-06  12.0195769
9.70057065e-06  11.8761767
9.79686345e-06  11.7556503
9.88151645e-06  11.5831707
9.9807192e-06  11.3052883
1.00816157e-05  10.9595405
1.01087172e-05  10.92297
1.01358186e-05  10.9691838
1.02031204e-05  11.3342673
1.02261567e-05  11.4191772
1.02499628e-05  11.4459399
1.0270819e-05  11.4271895
1.03793461e-05  11.1617726
1.05378651e-05  10.8543268
1.09323193e-05  10.2388964
1.10567383e-05  9.99350031
1.11396842e-05  9.79386191
1.12226302e-05  9.5499746
1.12871438e-05  9.31272673
1.13332249e-05  9.10392734
1.1378154e-05  8.85287493
1.14109868e-05  8.62646642
1.14438195e-05  8.3482842
1.14668601e-05  8.11356744
1.15187014e-05  7.50842712
1.15302216e-05  7.40557168
1.15434589e-05  7.34993641
1.15509361e-05  7.36491206
1.15584133e-05  7.42607625
