E(MeV)  pendfb7/Be9:2
3.4  1.89381241
3.5  1.77691487
3.6  1.68620673
3.7  1.60720449
3.85  1.5022
4  1.40544303
4.15  1.2936751
4.2  1.26227625
4.3  1.40200998
4.4  1.39897835
4.5  1.36190575
4.8  1.27743289
5  1.31996898
5.5  1.22001067
5.98323868  1.19445062
6.5  1.16000029
7.1  1.13000202
7.5  1.1200054
8.4  1.15999309
9.1  1.13999991
9.5  1.14999079
10  1.13999803
12  1.0589886
14  1.01074334
16.5  0.892045278
17.35  0.904490283
18  0.922992727
20  0.895251441
