E(MeV)  pendfb7/H1:102
3.9482686e-07  0.084044898
4.06662208e-07  0.082812847
4.18859794e-07  0.081598129
4.31415555e-07  0.080401942
4.44355602e-07  0.079222582
4.57675626e-07  0.078061214
4.71403329e-07  0.076916182
4.85534136e-07  0.075788615
5.00097438e-07  0.074676908
5.15088382e-07  0.073582156
5.30538145e-07  0.072502801
5.46441581e-07  0.071439905
5.62831765e-07  0.070391957
5.79703235e-07  0.069359987
5.97091082e-07  0.068342528
6.14989512e-07  0.067340582
6.33435749e-07  0.066352723
6.52423648e-07  0.065379927
6.71992699e-07  0.064420808
6.92136383e-07  0.063476316
7.12896594e-07  0.062545107
7.34266415e-07  0.061628104
7.5629029e-07  0.060724005
7.78960882e-07  0.059833708
8.02325342e-07  0.058955949
8.26375882e-07  0.058091601
8.51162526e-07  0.057239439
8.76677012e-07  0.056400311
9.02972407e-07  0.055573027
9.30039949e-07  0.054758407
9.57935933e-07  0.053955297
9.86651065e-07  0.053164489
1.01195589e-06  0.052495725
1.04050974e-06  0.051770632
1.06986929e-06  0.051055579
1.10005725e-06  0.050350447
1.13109702e-06  0.049655091
1.16301262e-06  0.04896937
1.19582876e-06  0.048293125
1.22957087e-06  0.047626217
1.26426505e-06  0.046968528
1.29993819e-06  0.046319914
1.33661789e-06  0.045680236
1.37433257e-06  0.045049396
1.41311143e-06  0.04442722
1.45298448e-06  0.043813581
1.5150601e-06  0.042906905
1.57948201e-06  0.042022971
1.64696196e-06  0.041153214
1.71699247e-06  0.04030569
1.79034725e-06  0.039471438
1.86647465e-06  0.038658183
1.94621574e-06  0.037858015
2.02897083e-06  0.037077998
2.11565421e-06  0.036310549
2.20561399e-06  0.035562444
2.29984408e-06  0.034826405
2.3976358e-06  0.034108928
2.5000696e-06  0.033403025
2.60637512e-06  0.032714915
2.71772686e-06  0.032037889
2.83328738e-06  0.031377908
2.99543407e-06  0.030517051
3.16686028e-06  0.029679797
3.34809707e-06  0.028865514
3.53970589e-06  0.028073574
3.74228032e-06  0.027303347
3.95644792e-06  0.026554231
4.18287216e-06  0.025825684
4.42225446e-06  0.025117188
4.74129723e-06  0.024257734
5.08237344e-06  0.023429946
5.44904038e-06  0.02262823
5.84102973e-06  0.021856213
6.26242979e-06  0.021108744
6.80763992e-06  0.020246685
7.40031631e-06  0.019419068
8.04459138e-06  0.018624932
8.74495735e-06  0.017864245
9.6385489e-06  0.01701683
1.06255074e-05  0.016207447
1.17112604e-05  0.015438883
1.29104583e-05  0.014703272
1.42296959e-05  0.014006689
1.5686774e-05  0.013340178
1.72897057e-05  0.012704252
1.90601196e-05  0.012100117
2.1007752e-05  0.011525296
2.31588827e-05  0.01097839
2.55253416e-05  0.010455094
2.813906e-05  0.009959503
3.10144115e-05  0.009486924
3.41901941e-05  0.009032621
3.76838725e-05  0.008604495
4.1542588e-05  0.008195498
4.57875607e-05  0.007805182
5.04760695e-05  0.007433787
5.56338979e-05  0.007080036
6.13306421e-05  0.006744412
6.75976302e-05  0.006422676
7.45194247e-05  0.00611736
8.21340905e-05  0.005826913
9.05443749e-05  0.005548633
9.97965285e-05  0.005284715
0.000110015393  0.005032601
0.000119593386  0.004827131
0.000131813873  0.004597083
0.000143289652  0.004409172
0.000155764518  0.00422856
0.000171714337  0.004026809
0.000186663869  0.003861764
0.000205737862  0.003678359
0.000223649499  0.003526859
0.000243120531  0.003382987
0.000264286721  0.003243173
0.000287295649  0.003110367
0.000312307745  0.002982566
0.000344287121  0.002839934
0.000374260922  0.002723234
0.000406844257  0.002611519
0.000448417083  0.002486735
0.000487456489  0.002384581
0.000529894683  0.00228624
0.000576027568  0.002192251
0.000635011062  0.002086224
0.000680692055  0.002015165
0.000750392878  0.001918217
0.000827070752  0.001825667
0.000899075927  0.001750776
0.000977349907  0.001678367
0.00106243846  0.001608551
0.00115493486  0.001541823
0.00127319672  0.001466456
0.00148360609  0.00135647
0.00165827626  0.001281645
0.00180264658  0.001228583
0.00195958585  0.00117722
0.00213018833  0.001127499
0.0022838704  0.001087228
0.0025527585  0.001026217
0.00277500287  0.000982569
0.00301659595  0.000941067
0.00323360177  0.000907651
0.00351512069  0.00086923
0.0038750585  0.000826146
0.00427102607  0.000784697
0.00464286364  0.000750446
0.00510974691  0.000713191
0.00563187943  0.000677094
0.00629494042  0.000637679
0.00690074951  0.000606484
0.00748230286  0.00058028
0.008225732  0.000550822
0.00932389012  0.000513651
0.00999462577  0.000493984
0.015  0.000390772
0.0199521527  0.000328908
0.04  0.000208326
0.06  0.000155086
0.08  0.000124127
0.0999462577  0.000103833
0.15  7.45176e-05
0.2  5.92844e-05
0.3  4.46077e-05
0.4  3.82767e-05
0.499731288  3.52985e-05
0.6  3.38996e-05
0.7  3.33423e-05
0.8  3.32443e-05
0.92539485  3.34775e-05
1.48012084  3.54799e-05
1.8769011  3.65344e-05
2.08544567  3.68734e-05
2.35871861  3.71304e-05
2.6  3.72143e-05
3.0846495  3.70643e-05
3.75380221  3.6539e-05
6.169299  3.41703e-05
7.71162375  3.29772e-05
9.2539485  3.20333e-05
11.4699512  3.09306e-05
20  2.72237e-05
