E(MeV)  pendfb7/Na23:102
1.29993819e-06  0.073738416
1.33661789e-06  0.072726216
1.37433257e-06  0.071727717
1.41311143e-06  0.070742725
1.45298448e-06  0.069771335
1.5150601e-06  0.068336173
1.57948201e-06  0.066937087
1.64696196e-06  0.065559919
1.71699247e-06  0.064216816
1.79034725e-06  0.062895577
1.86647465e-06  0.061608551
1.94621574e-06  0.060341628
2.02897083e-06  0.059105473
2.11565421e-06  0.057888753
2.20561399e-06  0.05670338
2.29984408e-06  0.055538639
2.3976358e-06  0.054401335
2.5000696e-06  0.053280852
2.60637512e-06  0.052188666
2.71772686e-06  0.051115415
2.83328738e-06  0.050068912
2.95433346e-06  0.049039285
3.12340751e-06  0.047703748
3.30215753e-06  0.046401852
3.49113727e-06  0.045134927
3.69093216e-06  0.043906001
3.90216115e-06  0.042707807
4.1254786e-06  0.041544095
4.42225446e-06  0.040133874
4.74129723e-06  0.038767212
5.08237344e-06  0.037453864
5.44904038e-06  0.036179237
5.84102973e-06  0.034953775
6.34955257e-06  0.033534439
6.90234765e-06  0.032172884
7.50326933e-06  0.030865672
8.27158159e-06  0.02940381
8.99170944e-06  0.028212551
9.77453196e-06  0.027070143
1.06255074e-05  0.025987651
1.15505691e-05  0.024965613
1.29104583e-05  0.023652387
1.42296959e-05  0.022579501
1.52562948e-05  0.021833026
1.68152385e-05  0.020822536
1.82791812e-05  0.020004628
1.98705754e-05  0.019214522
2.16005172e-05  0.018454294
2.31588827e-05  0.017845349
2.55253416e-05  0.017019861
2.774759e-05  0.01635808
3.01633085e-05  0.015708441
3.32519408e-05  0.014981234
3.61468706e-05  0.014393231
3.92938344e-05  0.013825949
4.27147744e-05  0.01327493
4.70795255e-05  0.012668725
5.04760695e-05  0.012251089
5.56338979e-05  0.011734667
6.13306421e-05  0.011231894
6.75976302e-05  0.010756863
7.45194247e-05  0.010298455
8.32928588e-05  0.009801892
9.30992203e-05  0.009325458
0.000101204483  0.008988553
0.000113119643  0.008588828
0.0001355332  0.007976853
0.00015149  0.00762429
0.000171714337  0.007279586
0.000194601008  0.00695104
0.00020282165  0.00685264
0.000233097253  0.006563543
0.000260540613  0.006343473
0.000295266352  0.006100703
0.000356184644  0.005848878
0.000398119516  0.005706405
0.000497381947  0.005553932
0.000596939122  0.005530889
0.000599234781  0.005546327
0.000601058119  0.005581779
0.000672479254  0.005644043
0.00074013  0.00573266
0.000857404699  0.005978987
0.00094501743  0.006236717
0.00100720144  0.006459167
0.00107058108  0.006724996
0.00113222144  0.007023308
0.00119701753  0.007382136
0.00124671629  0.00769576
0.00129972794  0.008066562
0.001355256  0.008506531
0.00141288288  0.0090199
0.00145274949  0.009415995
0.00149281  0.009851892
0.001530444  0.010300036
0.001568078  0.010789517
0.001605712  0.01132516
0.001643346  0.011912539
0.00168098  0.012558137
0.0017280225  0.013459414
0.0017656565  0.014265699
0.0018032905  0.015159903
0.0018409245  0.016154867
0.0018785585  0.017265871
0.001906784  0.018183114
0.0019350095  0.01919096
0.001963235  0.020286946
0.0019914605  0.021497622
0.002019686  0.022820761
0.0020479115  0.024291128
0.002076137  0.025907111
0.0021043625  0.027715014
0.0021419965  0.030443146
0.0021796305  0.033616137
0.0021984475  0.035399348
0.0022172645  0.037332813
0.0022360815  0.03943327
0.002264307  0.042922545
0.002283124  0.04552762
0.002301941  0.048378476
0.002320758  0.05150131
0.002339575  0.054934221
0.002358392  0.058720902
0.002377209  0.062903469
0.002396026  0.067534431
0.002414843  0.07267415
0.00242895575  0.076908849
0.0024430685  0.081492008
0.00245718125  0.086479751
0.002471294  0.091890534
0.00248540675  0.097791909
0.0024995195  0.104205938
0.00251363225  0.111212539
0.002527745  0.118836314
0.00254185775  0.127168712
0.0025559705  0.136233474
0.00257008325  0.146128746
0.002584196  0.156869359
0.00259830875  0.168547318
0.0026124215  0.181152119
0.0026274751  0.19566366
0.0026444104  0.213270153
0.0026613457  0.232100501
0.0027121516  0.292308567
0.0027309686  0.313432946
0.00274508135  0.32754575
0.0027591941  0.339423857
0.0027686026  0.3457725
0.0027780111  0.350659468
0.0027874196  0.353941844
0.0028005915  0.35566523
0.00281263438  0.354207451
0.00282260739  0.350821772
0.0028325804  0.345599839
0.0028419889  0.339115554
0.00285610165  0.326931084
0.0028702144  0.312387233
0.0028890314  0.290528149
0.0029360739  0.232434642
0.0029530092  0.212605658
0.0029699445  0.194028632
0.0029868798  0.176874714
0.00300287425  0.16204834
