E(MeV)  pendfb7/Ni58:2
0.0132608004  1.13905624
0.0132626396  1.20364042
0.0132644789  1.27484627
0.0132663181  1.35364258
0.0132677487  1.42091041
0.0132691792  1.49408828
0.0132706098  1.57392226
0.0132720403  1.66126595
0.0132734709  1.7571557
0.0132749014  1.8627954
0.0132763319  1.97963755
0.0132777624  2.10939835
0.0132792952  2.26510529
0.013280317  2.37992224
0.0132813388  2.5047762
0.0132823606  2.6408965
0.0132833824  2.78970924
0.0132844042  2.95287657
0.013285426  3.13234473
0.0132863457  3.30970394
0.0132871631  3.48154673
0.0132879806  3.66843766
0.013288798  3.87216491
0.0132896155  4.0949029
0.0132904329  4.33906968
0.0132912504  4.60761878
0.0132920678  4.9038896
0.0132927831  5.1890748
0.0132933962  5.45527152
0.0132940093  5.7439827
0.0132946224  6.05786843
0.0132952355  6.3999968
0.0132958486  6.77392014
0.0132964617  7.18376781
0.0132970747  7.63428261
0.0132976367  8.08791142
0.0132981477  8.53846395
0.0132986586  9.02974441
0.0132991695  9.56692292
0.0132996804  10.1558708
0.0133001913  10.8033787
0.0133007022  11.5173103
0.0133012131  12.3067749
0.0133016729  13.09054
0.0133020817  13.8530092
0.0133024904  14.6843051
0.0133028991  15.5924077
0.0133033078  16.585996
0.0133037166  17.6749556
0.0133041253  18.8693218
0.013304534  20.1808786
0.0133049172  21.5281264
0.0133052748  22.8978264
0.0133056324  24.3856558
0.01330599  26.0012763
0.0133063477  27.7550343
0.0133067053  29.6557748
0.0133070629  31.7135452
0.0133074205  33.9373928
0.0133078804  37.0546049
0.0133083019  40.176808
0.0133087234  43.5603959
0.0133091449  47.2081755
0.0133095664  51.1172699
0.0133100773  56.1913303
0.0133105371  61.0467855
0.0133112268  68.756194
0.0133131887  91.6778453
0.0133137915  98.2437249
0.013314374  103.980142
0.0133149564  108.894695
0.0133153651  111.74373
0.0133157738  114.028223
0.0133161826  115.698829
0.0133165913  116.717698
0.013317  117.062468
0.0133174006  116.738701
0.0133177357  115.969451
0.0133181445  114.434325
0.0133185532  112.276867
0.0133189517  109.618831
0.0133193502  106.467772
0.0133198253  102.153302
0.0133204538  95.7018534
0.0133212917  86.2330516
0.0133226711  70.0382401
0.0133233864  61.9954396
0.0133238973  56.5760979
0.0133244082  51.490194
0.0133249191  46.7715303
0.0133253278  43.2729616
0.0133257876  39.6331947
