E(MeV)  pendfb7/Cr52:102
2.5000696e-06  0.074936845
2.60637512e-06  0.07338996
2.71772686e-06  0.07186798
2.83328738e-06  0.070384338
2.99543407e-06  0.068449223
3.16686028e-06  0.066567184
3.34809707e-06  0.064736814
3.53970589e-06  0.062956862
3.74228032e-06  0.061237391
3.95644792e-06  0.059551757
4.18287216e-06  0.05791262
4.42225446e-06  0.056318724
4.67533642e-06  0.054768384
5.01263774e-06  0.052886693
5.37323346e-06  0.051076298
5.76088444e-06  0.049322308
6.26242979e-06  0.047308994
6.80763992e-06  0.04536343
7.40031631e-06  0.043505543
8.04459138e-06  0.041717358
8.74495735e-06  0.040003772
1.01901551e-05  0.037056635
1.10773148e-05  0.035529919
1.20417112e-05  0.03406883
1.30900683e-05  0.032667357
1.42296959e-05  0.031318451
1.5686774e-05  0.029816081
1.72897057e-05  0.028384498
2.01509145e-05  0.026278261
2.22100082e-05  0.025020375
2.41436221e-05  0.023984994
2.62455774e-05  0.022991259
2.89330458e-05  0.021874661
3.18895296e-05  0.020823479
3.51549218e-05  0.019815103
4.09646485e-05  0.018335605
4.39200359e-05  0.017688478
4.77437352e-05  0.016949007
5.19003276e-05  0.016239673
5.64187949e-05  0.015556819
6.21838726e-05  0.014793305
6.85513145e-05  0.014064265
7.45194247e-05  0.013477579
8.10071214e-05  0.012901391
8.79654518e-05  0.012356655
9.52937679e-05  0.011849137
0.000103590089  0.011341399
0.000112608692  0.010852272
0.000122412458  0.010379197
0.000134921008  0.009856214
0.000146667296  0.009426717
0.000161248615  0.008956413
0.000175286996  0.00855859
0.000190547566  0.008177276
0.000205218511  0.007850095
0.000223084933  0.007496069
0.000241149441  0.007176444
0.000265790968  0.006793333
0.000288930857  0.006476532
0.000322947704  0.006077027
0.0003505461  0.005792507
0.000381064811  0.00551467
0.000410411365  0.005275973
0.00043972463  0.005061057
0.000478007266  0.004810397
0.000519541561  0.00456731
0.00056472635  0.004335849
0.000615604219  0.004104034
0.000701064308  0.00377298
0.000762099302  0.003571027
0.000820797072  0.003398352
0.000879423602  0.003244015
0.000938050131  0.003105737
0.00100913912  0.002956447
0.0010652  0.002850774
0.0011513171  0.002713817
0.00121720602  0.002629664
0.00126896286  0.00258006
0.00130354  0.002557823
0.00133859  0.002549466
0.0013828231  0.002569739
0.00140168  0.002594612
0.0014210276  0.002635714
0.0014328044  0.00267113
0.0014487872  0.002736322
0.001468275  0.002854131
0.00147879  0.002941429
0.0014892349  0.00305274
0.00149717373  0.003159148
0.00150439403  0.003275429
0.00151075122  0.003398832
0.00151610073  0.003519864
0.0015232334  0.003714492
0.00152761465  0.003855933
0.0015319959  0.004019058
0.00153622819  0.004200732
0.00154046048  0.004411694
0.001544684  0.00465562
0.001547488  0.004840805
0.001550292  0.005047052
0.001553096  0.00527856
0.00155572475  0.005521635
0.00155817825  0.005774923
0.00156063175  0.00605767
0.00156308525  0.006372889
0.00156553875  0.006728231
0.00156799225  0.007131562
0.00156983238  0.007469836
0.0015716725  0.007843468
0.00157351263  0.008257529
0.00157530894  0.008706471
0.00157708335  0.009199887
0.00157885775  0.009750624
0.00158063216  0.010367759
0.00158240657  0.011061744
0.00158418097  0.0118466
0.00158536391  0.012428921
0.00158654685  0.013065023
0.00158772979  0.013761559
0.00158891272  0.014526254
0.00159009566  0.015367913
0.0015912786  0.01629722
0.00159246154  0.017327753
0.00159349113  0.018319204
0.00159436738  0.019241319
0.00159524363  0.020244201
0.00159611988  0.021337514
0.00159699613  0.02253246
0.00159787238  0.023842044
0.00159874863  0.025281423
0.00159962488  0.026868352
0.0016004135  0.028439935
0.0016011145  0.029965802
0.0016018155  0.031628069
0.0016025165  0.033443526
0.0016032175  0.035431615
0.0016039185  0.037614913
0.0016046195  0.040019648
