E(MeV)  pendfb7/O16:102
9.30039949e-07  3.1339e-05
9.57935933e-07  3.08793e-05
9.86651065e-07  3.04267e-05
1.01195589e-06  3.00439e-05
1.04050974e-06  2.96288e-05
1.06986929e-06  2.92194e-05
1.10005725e-06  2.88158e-05
1.13109702e-06  2.84177e-05
1.16301262e-06  2.80251e-05
1.19582876e-06  2.76378e-05
1.22957087e-06  2.7256e-05
1.26426505e-06  2.68794e-05
1.29993819e-06  2.65082e-05
1.33661789e-06  2.61421e-05
1.37433257e-06  2.5781e-05
1.41311143e-06  2.54248e-05
1.45298448e-06  2.50736e-05
1.5150601e-06  2.45547e-05
1.57948201e-06  2.4049e-05
1.64696196e-06  2.35514e-05
1.71699247e-06  2.30661e-05
1.79034725e-06  2.25884e-05
1.86647465e-06  2.2123e-05
1.94621574e-06  2.16654e-05
2.02897083e-06  2.12191e-05
2.11565421e-06  2.07796e-05
2.20561399e-06  2.03513e-05
2.29984408e-06  1.99301e-05
2.3976358e-06  1.95196e-05
2.5000696e-06  1.91159e-05
2.60637512e-06  1.87224e-05
2.71772686e-06  1.83347e-05
2.83328738e-06  1.79566e-05
2.95433346e-06  1.75852e-05
3.12340751e-06  1.7103e-05
3.30215753e-06  1.66341e-05
3.49113727e-06  1.61781e-05
3.69093216e-06  1.57336e-05
3.90216115e-06  1.5302e-05
4.1254786e-06  1.48824e-05
4.36157631e-06  1.4474e-05
4.67533642e-06  1.39805e-05
5.01263774e-06  1.35015e-05
5.37323346e-06  1.304e-05
5.76088444e-06  1.25954e-05
6.17530702e-06  1.21656e-05
6.62082346e-06  1.17503e-05
7.19723551e-06  1.12692e-05
7.82383027e-06  1.08078e-05
8.50497668e-06  1.03685e-05
9.11680189e-06  1.00153e-05
9.91051502e-06  9.60492e-06
1.0925322e-05  9.14591e-06
1.20417112e-05  8.71333e-06
1.30900683e-05  8.35751e-06
1.42296959e-05  8.01559e-06
1.546854e-05  7.69126e-06
1.68152385e-05  7.37178e-06
1.87949557e-05  6.97455e-06
2.1007752e-05  6.59623e-06
2.31588827e-05  6.28242e-06
2.55253416e-05  5.9851e-06
2.774759e-05  5.74e-06
3.01633085e-05  5.50677e-06
3.32519408e-05  5.24224e-06
3.87471795e-05  4.85728e-06
4.33090214e-05  4.59391e-06
5.04760695e-05  4.25548e-06
5.48705403e-05  4.0812e-06
5.96475957e-05  3.91505e-06
6.5742604e-05  3.72789e-06
7.14661865e-05  3.57792e-06
7.76880669e-05  3.43055e-06
8.56430918e-05  3.26632e-06
9.30992203e-05  3.1337e-06
0.000101204483  3.00549e-06
0.000110015393  2.8824e-06
0.000119593386  2.7651e-06
0.000131813873  2.6328e-06
0.000153627259  2.43876e-06
0.000171714337  2.30686e-06
0.000186663869  2.21319e-06
0.000202914915  2.12265e-06
0.000220580784  2.03572e-06
0.000239784653  1.95291e-06
0.000264286721  1.85941e-06
0.000308022543  1.72242e-06
0.000344170963  1.6295e-06
0.000401048895  1.5095e-06
0.000438974357  1.44293e-06
0.000476119647  1.38566e-06
0.000528430885  1.31498e-06
0.000619884932  1.21439e-06
0.000688341928  1.15223e-06
0.000739302673  1.11189e-06
0.000803666717  1.06638e-06
0.000873634326  1.02271e-06
0.000949693347  9.81044e-07
0.00105686177  9.2983e-07
0.00123976986  8.58707e-07
0.00137668384  8.14752e-07
0.00147860534  7.86227e-07
0.00160733343  7.54051e-07
0.00174726865  7.23166e-07
0.00189938669  6.93703e-07
0.00211372353  6.57489e-07
0.00247953973  6.07197e-07
0.00275336772  5.76117e-07
0.0029572107  5.55946e-07
0.00321466687  5.33194e-07
0.0034945373  5.11356e-07
0.00379877339  4.90522e-07
0.00422744708  4.64916e-07
0.00495907946  4.29354e-07
0.00550673542  4.07376e-07
0.00591442139  3.93114e-07
0.00642933374  3.77025e-07
0.0070235897  3.60732e-07
0.00761791436  3.46415e-07
0.00845489418  3.28745e-07
0.00991815891  3.03599e-07
0.0110134708  2.88058e-07
0.0118288428  2.77973e-07
0.0128586675  2.66597e-07
0.0140471794  2.55076e-07
0.0152358287  2.44952e-07
0.0169097883  2.32458e-07
0.0198363178  2.14676e-07
0.0220269417  2.03688e-07
0.0236576856  1.96556e-07
0.025717335  1.88512e-07
0.0280943589  1.80366e-07
0.0304716575  1.73207e-07
0.0338195767  1.64372e-07
0.0396726356  1.51799e-07
0.0440538833  1.4403e-07
0.047315371  1.38987e-07
0.0515494355  1.33157e-07
0.0561887176  1.27538e-07
0.0609433149  1.22476e-07
0.0676391532  1.16229e-07
0.0716814009  1.12929e-07
0.0793452711  1.07339e-07
0.0881077667  1.01844e-07
0.0946307421  9.82784e-08
0.103098871  9.41561e-08
0.112377435  9.01831e-08
0.12188663  8.66037e-08
0.135278308  8.21862e-08
0.143362803  7.98529e-08
0.158690543  7.58997e-08
0.176215533  7.20146e-08
0.189261484  6.94933e-08
0.206197742  6.65784e-08
0.22475487  6.3769e-08
0.24377326  6.1238e-08
0.270556614  5.81145e-08
0.286725605  5.64645e-08
0.317381085  5.36692e-08
0.352431067  5.09221e-08
0.378522969  4.91392e-08
0.412395484  4.7078e-08
0.449509741  4.50915e-08
0.48754652  4.33019e-08
0.541113226  4.10931e-08
0.573451208  3.99265e-08
0.634762169  3.79499e-08
0.704862133  3.60074e-08
0.757045937  3.47467e-08
0.824790968  3.32892e-08
0.899019482  3.18845e-08
0.975093038  3.0619e-08
1.08222645  2.90573e-08
1.14690242  2.82323e-08
1.26952434  2.68346e-08
1.40972427  2.5461e-08
1.51409188  2.45696e-08
1.64958193  2.3539e-08
1.79803897  2.25458e-08
1.95018607  2.16509e-08
2.16445291  2.05466e-08
2.29380484  1.99632e-08
2.53904869  1.89749e-08
2.81944854  1.80036e-08
3.02818376  1.73733e-08
3.29916388  1.66446e-08
3.59607793  1.59423e-08
3.90037216  1.53095e-08
4.32890582  1.45286e-08
4.58760967  1.41161e-08
5.07809736  1.34173e-08
5.63889707  1.27305e-08
6.0563675  1.22848e-08
6.59832775  1.17695e-08
7.19215585  1.12729e-08
7.8007443  1.08254e-08
8.65781161  1.02733e-08
9.1752193  9.98164e-09
10.1561946  9.48747e-09
11.2777941  9.00183e-09
12.112735  8.68667e-09
13.1966555  8.32251e-09
14.4570492  7.95119e-09
15.7339701  7.62195e-09
17.2275137  7.28374e-09
20  6.75772e-09
29.9986133  6.75767e-09
29.9991333  6.73973e-09
29.9992489  6.70489e-09
29.9993356  6.64844e-09
29.9994223  6.54666e-09
29.9994801  6.44244e-09
29.9995378  6.30074e-09
29.9995956  6.11385e-09
29.999639  5.94026e-09
29.9996823  5.73663e-09
29.9997257  5.50121e-09
29.9997689  5.23609e-09
29.9998123  4.94045e-09
29.9998556  4.61925e-09
29.9999134  4.15723e-09
30.0000747  2.78298e-09
30.0001134  2.46284e-09
30.0001522  2.15535e-09
30.0001845  1.91252e-09
30.0002167  1.68433e-09
30.0002426  1.51187e-09
30.0002684  1.35052e-09
30.0002879  1.23574e-09
30.0003072  1.12832e-09
30.0003266  1.02662e-09
30.000346  9.312e-10
30.0003654  8.4201e-10
30.0003847  7.5939e-10
30.0004041  6.8235e-10
30.0004234  6.1152e-10
30.0004364  5.6699e-10
30.0004493  5.2525e-10
30.0004622  4.8588e-10
30.0004751  4.4882e-10
30.0004881  4.1372e-10
30.000501  3.8106e-10
30.0005139  3.5046e-10
30.0005268  3.2184e-10
30.0005398  2.9493e-10
30.0005527  2.7005e-10
30.0005656  2.469e-10
30.0005785  2.2541e-10
30.0005914  2.0547e-10
30.0006043  1.8702e-10
30.0006172  1.6998e-10
30.0006301  1.5425e-10
30.0006399  1.4314e-10
30.0006496  1.3282e-10
30.0006593  1.2313e-10
30.0006689  1.1415e-10
30.0006786  1.0565e-10
30.0006947  9.2732e-11
30.0007076  8.339e-11
30.0007334  6.7125e-11
30.0008367  2.647e-11
30.0016634  3.8651e-16
30.0033167  0
150  0
