E(MeV)  pendfb7/Cr52:2
0.030787221  2.09374387
0.0309230256  2.02178106
0.0310248791  1.95602815
0.0311012693  1.89612627
0.0311776593  1.82311131
0.0312285861  1.76384023
0.0312763299  1.69701139
0.0312842873  1.68087367
0.0312895921  1.66231446
0.0312975494  1.62087951
0.0313240738  1.46003678
0.0313505981  1.2920157
0.0313771224  1.11545169
0.0313956895  0.987342824
0.0313992492  0.967459446
0.031401971  0.95845488
0.0314037855  0.957104567
0.0314056  0.960275869
0.0314077988  0.97048609
0.0314099976  0.987150135
0.0314121964  1.00894976
0.031416594  1.06157565
0.0314319856  1.26078205
0.0314374826  1.32620351
0.0314407808  1.35691131
0.0314428904  1.37007508
0.0314461944  1.37734572
0.0314485832  1.37213919
0.0314509719  1.35955617
0.031454555  1.3314946
0.0314617212  1.2625013
0.0314832198  1.03999896
0.0315042272  0.835379935
0.0315135638  0.741032745
0.0315158979  0.719555918
0.031518232  0.701783154
0.0315199826  0.692442731
0.0315222831  0.687454534
0.0315235708  0.688945062
0.0315252708  0.69595758
0.0315265415  0.704878404
0.0315284477  0.723590302
0.0315303538  0.747547657
0.0315328953  0.785091021
0.0315379783  0.868729305
0.0315506978  1.08465008
0.0315528197  1.12404652
0.0315549417  1.16875219
0.0315565332  1.20854146
0.0315581246  1.25663199
0.0315591855  1.29481419
0.0315602465  1.33897647
0.0315613074  1.38996035
0.0315622623  1.44227404
0.0315632172  1.50106352
0.0315641721  1.56653495
0.031565127  1.63871362
0.0315665594  1.75917621
0.0315679917  1.89314139
0.0315695301  2.05003809
0.0315712807  2.24178079
0.0315736148  2.51335719
0.0315764794  2.86306709
0.0315806172  3.39015586
0.0315840123  3.8421731
0.0315871952  4.28622485
0.0315948342  5.405639
0.0315964257  5.61529393
0.0315980172  5.79334769
0.0315990781  5.88742202
0.0316001391  5.9572042
0.0316012001  5.99963876
0.0316022611  6.01304126
0.0316034  5.99532438
0.0316049623  5.92291317
0.0316086269  5.65208506
0.0316096879  5.59509035
0.0316107489  5.57369911
0.0316115446  5.59121559
0.0316121281  5.62735519
0.0316127647  5.6935315
0.0316134013  5.7919544
0.0316140379  5.92732379
0.0316146214  6.08808511
0.0316151519  6.26817701
0.0316156824  6.48385089
0.0316162129  6.73840199
0.0316167434  7.03525411
0.0316172739  7.3779497
0.0316178044  7.77013347
0.0316183348  8.21543948
0.0316188388  8.69129962
0.0316193162  9.19240809
0.0316197937  9.74540963
0.0316202711  10.3527303
0.0316207486  11.0171752
0.031621226  11.7408607
0.0316217034  12.5261044
0.0316221808  13.3748222
0.0316227378  14.4473746
0.0316233744  15.7839224
0.031624011  17.2397318
0.0316246476  18.8142297
0.0316252842  20.5047119
0.0316259208  22.3060644
0.0316265574  24.2105224
0.0316275122  27.2362073
0.0316287005  31.2172402
0.031631162  39.6697792
0.0316321169  42.774777
0.0316328595  45.0262601
0.0316337083  47.3620202
0.0316345571  49.3843458
0.0316354059  51.0383733
0.0316361698  52.1753447
0.0316368488  52.886484
0.0316375278  53.3052953
0.031638122  53.4290169
0.0316389283  53.2379445
0.0316395649  52.8039888
0.0316404137  51.859858
0.0316411776  50.6833998
0.0316419415  49.2344126
0.0316434693  45.6839978
0.0316444666  43.0332357
0.031647989  33.0509156
0.03164905  30.1895454
0.031650111  27.5029855
0.0316509068  25.622729
0.0316517024  23.8676837
0.0316525778  22.0851602
0.0316534531  20.4587186
0.0316543284  18.9846766
0.0316552037  17.6567696
0.031656079  16.4668482
0.0316569012  15.4665241
0.031657697  14.5988188
0.0316584927  13.8225395
0.0316592885  13.1301902
0.0316600842  12.5149345
0.0316608799  11.9700557
0.0316616756  11.4893705
0.0316624714  11.0671128
0.0316632671  10.6981411
0.0316643281  10.2807379
0.0316652299  9.9860734
0.0316663439  9.68962301
0.0316674579  9.45918928
0.0316685719  9.286575
0.031669686  9.16443704
0.0316707999  9.0860973
0.0316729219  9.03543813
0.0316745134  9.06127446
0.0316802159  9.30631456
0.031682536  9.34602778
0.0316839882  9.3269272
0.0316859644  9.24206692
0.0316879406  9.09625394
0.0316909049  8.79895241
0.0316968335  8.12927486
0.0317009317  7.71083164
0.0317051756  7.33376492
0.0317094195  7.00572011
0.0317136634  6.71763517
0.0317185439  6.42648373
0.0317240609  6.13920495
0.031729578  5.88763012
0.031735095  5.66474674
0.0317420974  5.4150455
0.0317505852  5.1521215
0.031759073  4.92331645
0.0317675608  4.72092168
0.0317771095  4.51823067
0.0317877193  4.31759556
0.031798329  4.13739247
0.0318142436  3.89658959
0.0318301583  3.68269762
0.0318460728  3.48904478
0.0318672923  3.25465202
0.0318885118  3.04032918
0.0318991215  2.94337468
0.0319044264  2.90656037
0.0319097313  2.88198337
0.0319309507  2.82469793
0.0319627799  2.75912442
0.0320052189  2.69416576
0.0320519017  2.64339935
0.0321028285  2.60466934
0.0321792186  2.56848903
0.0323150232  2.54075617
0.0324508279  2.48199559
0.0326120959  2.43157655
0.0327903395  2.39095855
0.0331505022  2.33491429
0.0335755698  2.14245351
0.033584853  2.12409476
0.0337386614  1.62593342
0.0337969084  1.44448063
0.0338231196  1.36785361
0.0338449622  1.30966802
0.033859524  1.27633935
0.0338722655  1.25368963
0.0338804566  1.24439247
0.0338872824  1.24152869
0.0338941082  1.24525885
0.0338995688  1.25517075
0.0339050295  1.27416096
0.0339086699  1.29397168
0.0339123104  1.32177294
0.0339150407  1.34961079
0.033917771  1.38539172
0.0339197915  1.41843866
0.0339218119  1.45860511
0.0339238323  1.50777682
0.0339258527  1.56854151
0.0339271997  1.61724009
0.0339285466  1.67414367
0.0339300028  1.74713123
0.033931095  1.81158662
0.0339321871  1.88637918
0.0339332793  1.97394847
0.0339343713  2.0774843
0.0339350994  2.1574691
0.0339358275  2.2480702
0.0339365556  2.35127611
0.0339372837  2.46951537
0.0339380118  2.60574646
0.0339385579  2.72186419
0.033939104  2.85188655
0.03393965  2.99782291
0.033940196  3.16201383
0.0339406875  3.32758852
0.033941179  3.51220814
0.0339416705  3.71822204
0.0339421619  3.9481479
0.0339426534  4.204859
0.0339431449  4.49129202
0.0339436364  4.81060722
0.0339441278  5.16603608
0.0339446193  5.56113398
0.0339451107  5.99919666
0.0339456204  6.50271832
0.0339459844  6.8949681
0.0339463485  7.31600918
0.0339467125  7.76680051
0.0339472586  8.50143222
0.0339478046  9.30849914
0.0339483506  10.1901587
0.0339488967  11.1474241
0.0339494428  12.1795352
0.0339499889  13.2842213
0.0339505349  14.4571236
0.033951263  16.1166763
0.0339520275  17.9554192
0.033954503  24.1522128
0.0339552675  25.9660448
0.0339559956  27.5625551
0.0339566873  28.9164752
0.0339573425  30.0168522
0.0339579177  30.8129197
0.0339584128  31.3571244
0.0339589516  31.7902885
0.0339595341  32.0627703
0.0339599971  32.1300857
0.0339606407  32.0021533
0.0339612232  31.6671305
0.0339618785  31.050993
0.03396241  30.3766231
0.0339630362  29.3992916
0.0339636769  28.2187537
0.0339643322  26.8529324
0.0339650239  25.2749761
0.0339661159  22.5981852
0.0339678998  18.0998752
0.0339688099  15.9032155
0.0339694652  14.4076815
0.0339701205  13.0015245
0.0339706119  12.0121182
0.0339711398  11.01503
0.0339716859  10.0572843
0.0339722319  9.17517783
0.033972778  8.36749648
0.033973506  7.40305256
