E(MeV)  pendfb7/B10:107
0.46  0.876437262
0.475  0.862670627
0.48  0.857431107
0.5  0.820575134
0.52  0.770217313
0.54  0.713625862
0.56  0.656000785
0.575  0.615250469
0.58  0.601923659
0.6  0.553239006
0.65  0.455465699
0.7  0.385711616
0.75  0.336140514
0.7907138  0.308409104
0.8  0.302340044
0.82  0.290251027
0.845  0.277066231
0.861992013  0.269215933
0.88  0.261126955
0.9  0.253086054
0.94  0.239407402
0.95  0.236342442
0.96  0.233433939
1  0.222983759
1.05  0.213743606
1.1  0.21032508
1.15  0.210848567
1.2  0.214240329
1.25  0.219099097
1.3  0.226915831
1.35  0.238645657
1.4  0.253880422
1.45  0.271946897
1.5  0.292807872
1.55  0.324823226
1.6  0.372131692
1.62  0.394016177
1.65  0.427490172
1.68  0.459768919
1.7  0.479844269
1.75  0.516479507
1.8  0.526223716
1.825  0.523905187
1.85  0.521567055
1.9  0.506086063
1.95  0.484762709
2  0.45959484
2.1  0.39587747
2.15  0.364796853
2.2  0.338457022
2.25  0.31949505
2.3  0.30521335
2.35  0.294043019
2.4  0.284965144
2.45  0.28124522
2.5  0.28800828
2.55  0.303471912
2.6  0.319999368
2.7  0.351847396
2.75  0.381578371
2.8  0.399967567
2.85  0.384746522
2.9  0.365001688
2.95  0.346973661
3  0.330002487
3.05  0.315603149
3.1  0.30326804
3.15  0.291204676
3.2  0.282009571
3.3  0.282188474
3.4  0.295908948
3.6  0.329948187
3.8  0.364985889
4  0.349982593
4.2  0.274562056
4.3  0.260821462
4.4  0.244995962
4.6  0.200150807
4.8  0.171294644
5  0.147861179
5.03527063  0.144988266
5.2  0.131845228
5.4  0.116130566
5.5  0.112526678
5.6  0.112222066
5.8  0.114813712
6.2  0.118169067
6.4  0.11834548
6.6  0.117128455
6.8  0.114842829
7  0.110450538
7.2  0.104190467
7.4  0.097379417
7.6  0.090711085
7.8  0.084637145
8  0.079445972
8.2  0.074658108
8.4  0.070521272
8.6  0.066893551
8.8  0.06367174
9  0.060778211
9.2  0.05812708
9.4  0.055791129
9.5  0.054731898
9.6  0.053711943
9.8  0.051874865
10  0.050312323
10.5  0.04658594
11  0.044035673
11.5  0.042182372
12  0.041265191
12.5  0.041305761
13  0.041989858
13.5  0.043224965
14  0.044372861
14.5  0.04490962
15  0.044577436
20  0.02998162
