E(MeV)  pendfb7/Ni58:102
1.129689e-09  21.8631462
1.163573e-09  21.5424571
1.198452e-09  21.2266599
1.234399e-09  20.9153082
1.271402e-09  20.6087032
1.309537e-09  20.3064104
1.348791e-09  20.0087366
1.389247e-09  19.7152508
1.430892e-09  19.4262364
1.47381e-09  19.1412936
1.517989e-09  18.8606941
1.563521e-09  18.5840416
1.610389e-09  18.311616
1.658691e-09  18.043022
1.708412e-09  17.7785228
1.759655e-09  17.5177471
1.812403e-09  17.2609492
1.866765e-09  17.0077626
1.922723e-09  16.7584433
1.980394e-09  16.5126281
2.039758e-09  16.2705665
2.100939e-09  16.0319103
2.163917e-09  15.7968929
2.228823e-09  15.5651818
2.295634e-09  15.337009
2.36449e-09  15.1120449
2.435368e-09  14.8905134
2.508415e-09  14.6720998
2.583608e-09  14.4570162
2.661102e-09  14.2449587
2.740871e-09  14.0361392
2.823082e-09  13.8302554
2.907706e-09  13.6275148
2.994921e-09  13.4276264
3.084697e-09  13.2307864
3.177221e-09  13.0367162
3.272461e-09  12.8456077
3.370617e-09  12.6571873
3.471655e-09  12.4716423
3.575785e-09  12.2887072
3.682973e-09  12.108564
3.793441e-09  11.9309552
3.907154e-09  11.7560556
4.024346e-09  11.5836176
4.14498e-09  11.4138097
4.269306e-09  11.2463918
4.397283e-09  11.0815273
4.529177e-09  10.918983
4.664944e-09  10.7589183
4.804866e-09  10.601106
4.948897e-09  10.4457013
5.097336e-09  10.2924833
5.250134e-09  10.1416026
5.407609e-09  9.99284476
5.569708e-09  9.84635696
5.736768e-09  9.70192968
5.908733e-09  9.55970661
6.085962e-09  9.4194843
6.268395e-09  9.28140127
6.456412e-09  9.14526093
6.649949e-09  9.01119807
6.849411e-09  8.879021
7.054729e-09  8.74886102
7.266331e-09  8.62053224
7.484147e-09  8.49416118
7.70863e-09  8.36956808
7.939704e-09  8.24687629
8.17785e-09  8.12591083
8.42299e-09  8.0067905
8.675632e-09  7.88934668
8.935694e-09  7.77369428
9.203714e-09  7.65966952
9.479605e-09  7.54738436
9.76394e-09  7.43667923
1.0056625e-08  7.32766314
1.0358267e-08  7.22018101
1.0668767e-08  7.11433906
1.098877e-08  7.00998634
1.131817e-08  6.907226
1.1657652e-08  6.80591167
1.2007102e-08  6.70614357
1.2367248e-08  6.60777935
1.2737969e-08  6.51091636
1.3120036e-08  6.41541659
1.3513323e-08  6.32137411
1.3918647e-08  6.22865533
1.4335873e-08  6.1373516
1.4765869e-08  6.04733295
1.5208491e-08  5.95868814
1.5664661e-08  5.87129103
1.6134225e-08  5.78522784
1.6618162e-08  5.70037594
1.7116308e-08  5.6168191
1.7629702e-08  5.53443819
1.8158171e-08  5.45331474
1.8702814e-08  5.37333279
1.926345e-08  5.29457155
1.9841246e-08  5.21691857
2.0436008e-08  5.14045061
2.1048973e-08  5.06505857
2.1679938e-08  4.99081666
2.2330215e-08  4.91761916
2.2999587e-08  4.84553795
2.3689445e-08  4.77447044
2.4399561e-08  4.7044864
2.5268741e-08  4.62287344
2.53e-08  4.62001691
2.6058858e-08  4.55225424
2.684e-08  4.48552415
2.7645049e-08  4.41973156
2.8473738e-08  4.35494143
2.9327791e-08  4.29106627
3.0206922e-08  4.2281597
3.111296e-08  4.16613731
3.2045604e-08  4.10506052
3.3006792e-08  4.04484276
3.3996206e-08  3.98554372
3.5015901e-08  3.92707935
3.6065539e-08  3.86950768
3.7147303e-08  3.81274704
3.8260833e-08  3.75685368
3.9408443e-08  3.70174822
4.0589752e-08  3.64748512
4.1807217e-08  3.59398703
4.3060432e-08  3.54130652
4.4352004e-08  3.48936819
4.5681502e-08  3.43822283
4.705169e-08  3.38779697
4.8462114e-08  3.33813974
4.9915706e-08  3.28917991
5.1411981e-08  3.24096544
5.2954052e-08  3.19342743
5.4541406e-08  3.14661282
5.6177342e-08  3.10045517
5.7861316e-08  3.05500038
5.9596832e-08  3.0101841
6.1383309e-08  2.966051
6.3224464e-08  2.92253854
6.5119683e-08  2.87968997
6.7072909e-08  2.83744445
6.9083489e-08  2.79584389
7.1155607e-08  2.75482917
7.328857e-08  2.71444101
7.5486817e-08  2.67462215
7.7749613e-08  2.63541228
8.0081665e-08  2.5967559
8.2482197e-08  2.55869149
8.49562e-08  2.52116494
8.7502851e-08  2.484213
9.0127446e-08  2.44778234
9.2829111e-08  2.41190781
9.5613464e-08  2.37653708
9.8479577e-08  2.341704
1.01433412e-07  2.30735828
1.04473985e-07  2.27353379
1.07607619e-07  2.24018278
1.1083327e-07  2.20733889
1.14157646e-07  2.17495608
1.17579641e-07  2.14306691
1.21106371e-07  2.11162637
1.24736661e-07  2.0806657
1.28478062e-07  2.05014088
1.32329326e-07  2.02008207
1.36298464e-07  1.99044645
1.40384153e-07  1.96126326
1.4459489e-07  1.93249094
1.48929273e-07  1.90415794
1.53396316e-07  1.87622409
1.57994531e-07  1.84871733
1.62733481e-07  1.82159918
1.67611588e-07  1.79489725
1.72638996e-07  1.76857417
1.7781403e-07  1.7426558
1.83147454e-07  1.71710379
1.8863749e-07  1.69194104
1.94295557e-07  1.66712943
2.0011977e-07  1.64269239
2.06122241e-07  1.61859555
2.12300971e-07  1.59486398
2.18668809e-07  1.57146518
2.25223636e-07  1.54842309
2.31979082e-07  1.52570529
2.38932897e-07  1.50333432
2.46099545e-07  1.48127834
2.53476636e-07  1.4595591
2.61079514e-07  1.43814564
2.68905645e-07  1.41705909
2.76971307e-07  1.39626939
2.85273811e-07  1.37579705
2.93830426e-07  1.35561289
3.02638301e-07  1.33573683
3.11715753e-07  1.31614053
3.21059758e-07  1.29684337
3.30689751e-07  1.27781797
3.40602522e-07  1.2590836
3.50818688e-07  1.24061478
3.61334845e-07  1.22243148
3.72172865e-07  1.20450832
3.83329135e-07  1.18686033
3.9482686e-07  1.16945779
4.06662208e-07  1.15231552
4.18859794e-07  1.13541033
4.31415555e-07  1.11876129
4.44355602e-07  1.10234614
4.57675626e-07  1.08618153
4.71403329e-07  1.07024452
4.85534136e-07  1.05455083
5.00097438e-07  1.03907809
5.15088382e-07  1.02384156
