E(MeV)  pendfb7/C:102
1.22957087e-06  0.000487748
1.26426505e-06  0.00048101
1.29993819e-06  0.000474366
1.33661789e-06  0.000467814
1.37433257e-06  0.000461352
1.41311143e-06  0.000454979
1.45298448e-06  0.000448694
1.5150601e-06  0.00043941
1.57948201e-06  0.00043036
1.64696196e-06  0.000421453
1.71699247e-06  0.000412768
1.79034725e-06  0.000404222
1.86647465e-06  0.000395895
1.94621574e-06  0.000387705
2.02897083e-06  0.000379716
2.11565421e-06  0.000371852
2.20561399e-06  0.000364188
2.29984408e-06  0.000356652
2.3976358e-06  0.000349307
2.5000696e-06  0.000342083
2.60637512e-06  0.000335037
2.71772686e-06  0.000328098
2.83328738e-06  0.000321336
2.99543407e-06  0.000312527
3.16686028e-06  0.000303954
3.34809707e-06  0.000295625
3.53970589e-06  0.000287509
3.74228032e-06  0.000279614
3.95644792e-06  0.000271951
4.18287216e-06  0.000264486
4.42225446e-06  0.000257241
4.74129723e-06  0.000248428
5.08237344e-06  0.00023995
5.44904038e-06  0.000231725
5.84102973e-06  0.000223843
6.26242979e-06  0.000216184
6.80763992e-06  0.000207355
7.40031631e-06  0.00019886
8.04459138e-06  0.000190742
8.74495735e-06  0.000182963
9.6385489e-06  0.000174276
1.06255074e-05  0.000165977
1.15505691e-05  0.000159221
1.29104583e-05  0.00015055
1.42296959e-05  0.000143479
1.52562948e-05  0.00013857
1.68152385e-05  0.000131934
1.82791812e-05  0.000126569
1.98705754e-05  0.000121395
2.16005172e-05  0.000116424
2.31588827e-05  0.00011245
2.55253416e-05  0.000107068
2.774759e-05  0.000102756
3.01633085e-05  9.85339e-05
3.32519408e-05  9.38145e-05
3.61468706e-05  9.00016e-05
3.92938344e-05  8.63207e-05
4.27147744e-05  8.27856e-05
4.64335431e-05  7.94201e-05
5.11782914e-05  7.5615e-05
5.96475957e-05  7.00516e-05
6.66701171e-05  6.6256e-05
7.24744494e-05  6.35644e-05
7.87841096e-05  6.09648e-05
8.56430918e-05  5.84681e-05
9.18040261e-05  5.64677e-05
0.000102612437  5.34028e-05
0.000119593386  4.9475e-05
0.000133673537  4.67935e-05
0.000155764518  4.33499e-05
0.000169325451  4.15744e-05
0.000184067006  3.98818e-05
0.000202914915  3.79715e-05
0.000220580784  3.64445e-05
0.000239784653  3.49431e-05
0.000264286721  3.32732e-05
0.000287295649  3.19225e-05
0.000312307745  3.06164e-05
0.000339497407  2.93624e-05
0.000369054213  2.81675e-05
0.000406844257  2.68174e-05
0.000436111542  2.59139e-05
0.000478542592  2.47336e-05
0.000531390446  2.34676e-05
0.0006192084  2.17403e-05
0.000682613482  2.07053e-05
0.000756641093  1.96695e-05
0.000836783284  1.87009e-05
0.00089697923  1.80641e-05
0.001  1.71078e-05
0.00999354456  1.01256e-06
0.01  1.0047e-06
0.0100088177  1.00048e-06
0.1  9.00012e-07
0.5  1.00001e-06
1.053  1.3111e-06
1.59682022  3.7292e-06
2.053  5.73021e-06
2.553  1.06489e-05
3.053  1.44889e-05
3.553  1.75941e-05
4.053  2.17399e-05
4.553  2.49401e-05
5.053  2.92332e-05
5.553  3.53786e-05
6.053  4.61754e-05
6.553  6.02325e-05
7.053  7.81717e-05
7.553  0.000101168
8.053  0.000111899
8.553  0.000116245
9.053  0.000111623
9.553  9.6734e-05
10.053  8.79668e-05
10.553  7.78282e-05
11.053  6.89096e-05
11.553  6.36894e-05
12.053  6.09843e-05
12.553  6.56619e-05
13.053  7.52118e-05
13.553  9.44049e-05
14.053  0.000118201
14.553  0.000139255
15.053  0.000163587
15.553  0.000181552
16.053  0.00019682
16.553  0.000207145
17.053  0.000209031
17.553  0.000203945
18.053  0.000196557
18.553  0.000194964
19.053  0.000196752
19.553  0.000206321
20.00001  0.000211266
150  1.00052e-06
