E(MeV)  pendfb7/U235:102
2.45301185e-07  43.9339103
2.48429126e-07  44.4144318
2.51592471e-07  44.8704389
2.5372522e-07  45.1568278
2.55876049e-07  45.4254916
2.5804511e-07  45.6733027
2.60232559e-07  45.897015
2.6243855e-07  46.0932964
2.64663242e-07  46.2587671
2.66906792e-07  46.3900457
2.68603718e-07  46.4641258
2.70310235e-07  46.5156541
2.73176928e-07  46.5480048
2.75118735e-07  46.5298245
2.76865411e-07  46.4849765
2.78621929e-07  46.4121734
2.80393338e-07  46.3102935
2.82174757e-07  46.1788415
2.83966229e-07  46.0173096
2.85767798e-07  45.8253507
2.87584638e-07  45.6021156
2.89411746e-07  45.3480973
2.91249165e-07  45.0634742
2.93096938e-07  44.7486083
2.94960376e-07  44.4030287
2.96834343e-07  44.0283063
2.98718887e-07  43.6253439
3.00614051e-07  43.195211
3.02525279e-07  42.7378073
3.05732263e-07  41.9219022
3.08323956e-07  41.223387
3.10937618e-07  40.4887438
3.13573436e-07  39.7221554
3.16231598e-07  38.9279869
3.20264003e-07  37.6939089
3.31262381e-07  34.2637926
3.35480474e-07  32.9645845
3.38324342e-07  32.1034416
3.41192317e-07  31.2503974
3.44084604e-07  30.4081989
3.4700141e-07  29.579268
3.4994294e-07  28.7656968
3.5216779e-07  28.1660476
3.54405213e-07  27.5771006
3.56655263e-07  26.9993738
3.58917993e-07  26.4332962
3.61199904e-07  25.877666
3.6349471e-07  25.3343644
3.65802468e-07  24.8035945
3.6812323e-07  24.2854964
3.70463665e-07  23.7787406
3.72817327e-07  23.284829
3.75184272e-07  22.8037411
3.77564555e-07  22.3354128
3.79965017e-07  21.8784713
3.82379043e-07  21.4341129
3.84806694e-07  21.0021694
3.87248025e-07  20.5824479
3.89710051e-07  20.1735974
3.9218599e-07  19.7765798
3.94675903e-07  19.3911443
3.97179847e-07  19.017029
3.99705017e-07  18.6529511
4.02244458e-07  18.2996966
4.0479823e-07  17.9569794
4.07366393e-07  17.6245102
4.09956327e-07  17.3011007
4.12560897e-07  16.9874065
4.15180166e-07  16.683136
4.17814196e-07  16.3880001
4.20470554e-07  16.1009162
4.23141924e-07  15.8224428
4.2582837e-07  15.552301
4.28529955e-07  15.2902177
4.31254441e-07  15.0352178
4.33994325e-07  14.7877861
4.3674967e-07  14.5476667
4.39520543e-07  14.3146103
4.42314905e-07  14.0877451
4.45125058e-07  13.8674992
4.47951071e-07  13.6536435
4.50793009e-07  13.4459565
4.53659038e-07  13.2436621
4.56541264e-07  13.0471447
4.59439756e-07  12.8562041
4.62354582e-07  12.6706477
4.65294117e-07  12.4897878
4.68250264e-07  12.313973
4.71223094e-07  12.1430287
4.74212677e-07  11.9767852
4.77227602e-07  11.8146261
4.80259566e-07  11.6568627
4.84330727e-07  11.4529855
4.88436398e-07  11.2561161
4.92576874e-07  11.0659435
4.96752448e-07  10.8821793
5.00963418e-07  10.7045539
5.05210085e-07  10.5328121
5.09492751e-07  10.3667108
5.13811721e-07  10.2060176
5.18167303e-07  10.0505111
5.22559807e-07  9.89998114
5.26989547e-07  9.75422865
5.31456837e-07  9.61306537
5.35961997e-07  9.47631323
5.40505347e-07  9.34380413
5.4508721e-07  9.21537934
5.49707915e-07  9.090889
5.54367789e-07  8.97019194
5.59067164e-07  8.85315508
5.63806377e-07  8.73965309
5.68585763e-07  8.62956822
5.73405665e-07  8.52278971
5.78266425e-07  8.41921377
5.83168389e-07  8.31874311
5.88111908e-07  8.22128676
5.93097332e-07  8.12675986
5.98125018e-07  8.03508341
6.03195324e-07  7.94618409
6.08308611e-07  7.85999411
6.13465243e-07  7.77645106
6.18665588e-07  7.69549776
6.23910016e-07  7.61708218
6.29198901e-07  7.54115733
6.3453262e-07  7.46768122
6.39911553e-07  7.39661683
6.48059796e-07  7.29454359
6.56323485e-07  7.19760047
6.64680707e-07  7.10600587
6.73156337e-07  7.0194812
6.81727898e-07  6.93826784
6.90420904e-07  6.8621331
6.99212302e-07  6.79130345
7.05139524e-07  6.74696977
7.11116992e-07  6.70500978
7.17145131e-07  6.66546202
7.2322437e-07  6.62837102
7.29355143e-07  6.59379324
7.35537887e-07  6.56180246
7.41773041e-07  6.53248766
7.48061051e-07  6.50594522
7.54402365e-07  6.4822742
7.60797434e-07  6.4615793
7.67246714e-07  6.44397775
7.73750664e-07  6.42960421
7.80309749e-07  6.41861298
7.86924434e-07  6.4111794
7.96966776e-07  6.40713997
8.03722663e-07  6.40952935
8.1053582e-07  6.41627938
8.17406733e-07  6.42768314
8.24335889e-07  6.4440705
8.29576811e-07  6.45987184
8.34847351e-07  6.4788514
8.40147634e-07  6.50119296
8.45477787e-07  6.52709752
8.50853123e-07  6.55687451
8.56258837e-07  6.59069957
8.61695058e-07  6.62883967
8.67161914e-07  6.6715881
8.72675113e-07  6.71940945
8.78219468e-07  6.77254882
8.83795113e-07  6.83140171
8.89402179e-07  6.8964049
8.9317191e-07  6.94357633
8.96941641e-07  6.99368043
9.00743328e-07  7.04731391
9.04545015e-07  7.10420928
9.08378929e-07  7.1650466
9.12212843e-07  7.22952562
9.16079257e-07  7.29842107
9.19945672e-07  7.37139809
9.23844861e-07  7.44934025
9.27744051e-07  7.53187723
9.31676294e-07  7.62001881
9.35608537e-07  7.71335829
9.39574114e-07  7.81305095
9.43539691e-07  7.91865061
9.46539086e-07  8.00265509
9.4953848e-07  8.09039424
9.5254635e-07  8.1822994
9.55571171e-07  8.2788578
9.58595992e-07  8.3797521
9.61637907e-07  8.48579088
9.64688369e-07  8.59694879
9.67738831e-07  8.71316207
9.70815152e-07  8.83572445
9.73891472e-07  8.96393281
9.76976485e-07  9.09844962
9.80078884e-07  9.24002475
9.83181283e-07  9.38823117
9.86301214e-07  9.54429735
