24-Cr-52(n,&gamma;) ENDF/B-VII.1
27586.6,0.426795
27587.5,0.578341
27588.5,0.792003
27589.4,1.06122
27590.8,1.5153
27592.8,2.38186
27595.4,3.50906
27597.0,3.97663
27598.5,4.14596
27598.6,4.14618
27600.1,3.99732
27601.5,3.60146
27603.8,2.65187
27606.2,1.60276
27607.5,1.12163
27608.6,0.82446
27609.5,0.606993
27610.4,0.448945
27611.2,0.337853
27612.0,0.261805
27612.7,0.197957
27613.4,0.155394
27614.1,0.122714
27614.8,0.0963065
27615.6,0.0767206
27616.3,0.0622362
27617.0,0.0515103
27617.9,0.042172
27618.9,0.0345784
27620.0,0.0289861
27621.3,0.0243277
27622.9,0.0202751
27624.9,0.0167522
27627.3,0.0138313
27630.0,0.0113688
27633.1,0.00933256
27636.6,0.00767268
27641.0,0.00620031
27646.0,0.00499846
27651.9,0.00402491
27658.0,0.00331867
27665.8,0.00269276
27674.6,0.00220337
27684.5,0.00182886
27696.0,0.00152584
27707.8,0.00131002
27724.8,0.00110099
27745.1,9.43054E-4
27766.2,8.32189E-4
27794.9,7.39697E-4
27837.8,6.53455E-4
27895.1,5.95508E-4
27981.1,5.47905E-4
28152.9,5.12594E-4
28554.0,4.89839E-4
28897.7,4.84763E-4
29901.0,4.97328E-4
30374.8,5.2996E-4
30664.4,5.80763E-4
30848.6,6.4671E-4
30980.2,7.3228E-4
31085.5,8.49443E-4
31164.5,9.93301E-4
31230.3,0.0011816
31282.9,0.00141378
31322.4,0.001669
31355.3,0.00196798
31388.2,0.00239196
31417.8,0.00294621
31443.5,0.0036434
31464.6,0.00445131
31483.6,0.00548829
31499.8,0.00671541
31515.6,0.00840488
31528.9,0.0104245
31540.8,0.0129646
31551.1,0.0160217
31561.0,0.0201432
31569.0,0.0248406
31576.6,0.030945
31583.2,0.0383105
31589.3,0.0478982
31594.5,0.0590083
31599.2,0.0726906
31603.8,0.0911702
31608.2,0.11558
31612.1,0.146351
31615.8,0.185978
31619.5,0.239756
31623.6,0.318615
31633.7,0.562923
31637.0,0.612718
31639.3,0.623961
31643.0,0.596209
31647.1,0.513936
31655.0,0.319519
31659.1,0.239597
31662.5,0.18999
31665.9,0.151615
31669.9,0.119369
31673.9,0.0954964
31678.5,0.0757827
31683.0,0.0617037
31688.3,0.0496994
31694.6,0.0394733
31701.1,0.0317784
31708.1,0.0258416
31716.7,0.0206063
31725.8,0.0166197
31736.2,0.0133761
31746.9,0.0109462
31760.0,0.00878937
31774.5,0.00710261
31790.6,0.00576208
31809.4,0.00465614
31830.4,0.00378552
31855.4,0.00305653
31881.8,0.00251932
31914.7,0.00205221
31947.6,0.00172667
31987.1,0.00145134
32033.1,0.00122886
32085.8,0.00105465
32151.6,9.07414E-4
32243.7,7.75903E-4
32349.0,6.8399E-4
32506.9,6.03755E-4
32743.8,5.41992E-4
