94-Pu-240(n,elastic) ENDF/B-VII.1
73.0737,246.765
73.0982,196.231
73.1233,157.595
73.1478,129.929
73.1773,106.351
73.2116,87.9013
73.2508,74.2012
73.3011,63.0131
73.3624,54.2529
73.4544,45.8166
73.5709,39.0151
73.7088,33.7686
73.9019,29.0209
74.141,25.2821
74.4475,22.2162
74.9135,19.33
75.3794,17.4893
76.1518,15.5163
77.2567,13.7787
79.0953,12.0394
82.2344,10.2302
86.6594,8.03363
87.9561,7.01193
88.6724,6.1317
89.1968,5.15043
89.5485,4.171
89.7979,3.20045
89.9898,2.23383
90.1305,1.46806
90.1689,1.31883
90.1976,1.27215
90.22,1.30669
90.2392,1.41448
90.2552,1.58378
90.2704,1.83592
90.2848,2.18264
90.3,2.6963
90.3143,3.36192
90.3295,4.3049
90.3447,5.55878
90.3607,7.30007
90.3767,9.57876
90.3927,12.5186
90.4095,16.4704
90.4279,22.0247
90.4477,29.7327
90.4681,39.8964
90.4912,54.4279
90.5168,74.881
90.5474,105.793
90.5858,153.722
90.6907,305.024
90.7342,350.691
90.7761,370.646
90.7853,371.345
90.8276,357.653
90.8723,317.244
90.9964,157.57
91.0367,115.93
91.0712,88.3172
91.1009,70.2063
91.1297,56.9689
91.1633,45.7887
91.1921,38.9725
91.2304,32.6594
91.2704,28.2936
91.3264,24.3472
91.4063,20.8692
91.5094,18.0162
91.6713,15.0758
92.0729,10.0154
92.1341,9.66042
92.175,9.91643
92.2056,10.5749
92.2355,11.7606
92.2681,13.8406
92.3008,16.8634
92.3376,21.4186
92.4005,31.3319
92.4716,42.3945
92.5218,47.2166
92.5607,48.2566
92.595,47.1581
92.6505,42.2294
92.7715,27.6739
92.8246,22.9476
92.8756,19.8278
92.9267,17.8032
93.0003,16.0786
93.0983,14.8181
93.3108,13.3742
93.703,12.0047
94.4368,10.6846
95.6653,9.46094
99.6509,6.67951
100.978,5.40384
101.841,4.24213
102.448,3.15527
102.918,2.1057
103.487,0.665298
103.591,0.436402
103.66,0.312289
103.706,0.247289
103.744,0.207479
103.77,0.189788
103.795,0.180422
103.806,0.17928
103.829,0.182765
103.857,0.199777
103.882,0.229259
103.908,0.2742
103.933,0.336991
103.959,0.420424
103.988,0.546188
104.02,0.725842
104.051,0.948974
104.081,1.23234
104.117,1.65682
104.153,2.2086
104.187,2.89579
104.222,3.78166
104.256,4.93174
104.291,6.44276
104.321,8.20733
104.352,10.5332
104.379,13.2187
104.405,16.7656
104.432,21.586
104.457,27.4692
104.481,35.3695
104.502,44.0336
104.522,55.1884
104.543,69.5384
104.563,87.9392
104.584,111.399
104.608,147.873
104.633,195.549
104.657,256.799
104.686,348.503
104.717,478.959
104.754,671.206
104.802,986.681
104.902,1710.03
104.951,1974.98
104.999,2093.78
105.01,2097.31
105.049,2039.9
105.101,1812.11
105.19,1213.75
105.25,822.416
105.292,601.621
105.328,455.437
105.361,351.426
105.393,275.592
105.425,219.569
105.457,178.746
105.494,145.6
105.537,119.265
105.58,101.355
105.641,84.2308
105.707,71.9596
105.796,60.6338
105.903,51.4267
106.051,42.9563
106.22,36.5965
106.439,31.1227
106.695,26.9242
107.001,23.5605
107.47,20.2644
108.134,17.4833
108.92,15.4964
110.145,13.6497
111.905,12.0974
116.249,9.82256
118.017,8.81623
119.182,7.76109
119.849,6.72756
120.22,5.82751
120.522,4.7482
120.728,3.72097
120.916,2.59027
120.967,2.40578
120.978,2.39756
121.007,2.46942
121.03,2.66629
121.053,3.05111
121.07,3.5117
121.089,4.26715
121.108,5.35024
121.127,6.79342
121.144,8.56488
121.164,11.2953
121.184,14.9057
121.204,19.5899
121.225,26.0387
121.249,35.4656
121.275,48.3033
121.303,66.4686
121.335,92.0771
121.376,133.081
121.445,216.11
121.514,299.625
121.568,344.06
121.617,358.626
121.659,348.8
121.711,312.015
121.802,213.264
121.863,147.789
121.908,109.719
121.946,84.233
121.981,67.044
122.018,53.3486
122.053,43.9996
122.089,37.4266
122.125,32.8219
122.167,29.0287
122.239,25.1226
122.33,22.2135
122.467,19.5956
122.661,17.3658
122.946,15.4436
123.265,14.1517
123.881,12.7201
124.839,11.5467
126.552,10.4241
130.142,8.71177
130.52,8.40923
130.855,8.81358
132.618,7.13275
133.262,6.19124
133.7,5.22755
134.023,4.21214
134.249,3.26009
134.539,1.78155
134.587,1.63484
134.603,1.62111
134.632,1.67248
134.652,1.7852
134.671,1.98847
134.69,2.31484
134.71,2.8067
134.726,3.38196
134.744,4.28344
134.761,5.38983
134.777,6.75804
134.797,8.90314
134.816,11.7291
134.836,15.5719
134.855,20.0946
134.877,27.1477
134.9,36.2333
134.923,47.7213
134.949,64.7192
134.977,87.7682
135.011,122.003
135.05,171.059
135.11,264.947
135.203,415.871
135.259,479.748
135.309,503.76
135.315,504.187
135.367,485.559
135.426,424.273
135.569,213.401
135.614,158.837
135.653,122.06
135.692,93.9046
135.726,75.4554
135.76,61.7318
135.797,50.9085
135.837,42.773
135.885,36.3339
135.942,31.5758
136.022,27.4309
136.126,24.1887
136.281,21.1609
136.5,18.5543
136.822,16.3133
137.3,14.465
137.88,13.1921
138.809,12.0403
140.572,10.9077
144.835,9.50626
147.722,8.54976
149.314,7.58423
150.02,6.77623
150.514,5.81782
150.835,4.81387
151.052,3.81854
151.183,3.16398
151.232,3.04992
151.27,3.13836
151.302,3.44828
151.329,3.97226
151.351,4.64198
151.373,5.61074
151.395,6.96523
151.416,8.8078
151.438,11.2566
151.463,14.9011
151.487,19.6839
151.511,25.8164
151.539,34.4606
151.569,46.4718
151.604,64.6272
151.647,91.3413
151.713,142.124
151.801,211.461
151.861,244.914
151.914,257.068
151.923,257.266
151.976,247.398
152.03,220.757
152.189,110.029
152.242,80.9398
152.284,62.6242
152.327,49.1404
152.367,39.7108
152.408,33.059
152.449,28.4468
152.503,24.4252
152.576,21.2326
152.669,18.9476
152.807,16.9441
153.063,14.87
153.334,13.6048
153.769,12.4091
154.553,11.2599
155.599,10.4338
160.134,8.24623
160.904,7.54801
161.417,6.73631
161.715,5.94237
162.033,4.65201
162.063,4.60481
162.108,4.70094
162.138,4.95238
162.167,5.44004
162.197,6.26357
162.227,7.54689
162.256,9.35065
162.283,11.7441
162.311,14.9206
162.341,19.5881
162.376,26.3038
162.417,36.6279
162.466,52.0283
162.61,103.785
162.673,118.923
162.729,123.679
162.784,119.246
162.841,106.809
163.005,55.9442
163.062,42.1172
163.109,33.486
163.149,27.9912
163.195,23.4607
163.241,20.3556
163.286,18.2543
163.355,16.2782
163.47,14.5232
163.653,13.0957
163.983,11.7608
164.533,10.6355
165.662,9.45136
167.404,7.9836
168.198,6.93657
168.695,5.84829
169.0,4.81483
169.237,3.67347
169.334,3.20403
169.392,3.08906
169.425,3.18374
169.45,3.39178
169.479,3.85884
169.504,4.53172
169.528,5.48469
169.55,6.75102
169.572,8.4737
169.594,10.7654
169.619,14.1832
169.644,18.6854
169.67,24.853
169.699,33.6671
169.729,45.4936
169.765,63.2876
169.804,87.3203
169.857,127.495
169.994,247.461
170.055,285.697
170.11,300.835
170.123,301.28
170.177,290.175
170.233,260.565
170.399,131.317
170.453,96.8458
170.498,74.1486
170.54,58.4843
170.581,46.9084
170.623,38.6118
170.664,32.7866
170.706,28.7306
170.764,24.9996
170.83,22.365
170.941,19.7876
171.129,17.3609
171.405,15.3817
171.715,14.0851
172.312,12.6813
173.434,11.4155
175.612,10.3186
181.269,8.60481
182.81,7.75454
183.724,6.80016
184.228,5.88403
184.566,4.92836
184.803,3.96805
184.999,3.05388
185.052,2.94868
185.082,2.99803
185.118,3.2401
185.144,3.62146
185.171,4.2528
185.193,5.03708
185.216,6.12746
185.238,7.60469
185.26,9.56317
185.284,12.3046
185.308,15.863
185.334,21.041
185.361,27.6918
185.389,36.569
185.423,50.2146
185.462,69.8385
185.508,99.4228
185.572,149.723
185.694,251.915
185.757,288.308
185.818,301.929
185.824,301.966
185.883,290.132
185.942,259.001
186.116,129.446
186.173,95.0307
186.22,73.2105
186.266,57.0463
186.31,45.6787
186.355,37.6266
186.399,32.0324
186.444,28.1682
186.513,24.3079
186.589,21.8024
186.69,19.7337
186.892,17.3168
187.129,15.6604
187.366,14.5916
187.841,13.2776
188.663,12.0861
190.17,11.0529
191.729,10.2432
192.202,10.8898
193.179,10.3703
198.443,9.42603
198.998,9.03948
199.204,8.8132
199.362,9.07082
199.54,10.2338
199.705,11.2692
199.783,11.4049
