92-U-234(n,&gamma;) ENDF/B-VII.1
77.9577,8.4121
78.0036,6.91441
78.0547,5.73034
78.117,4.6843
78.1964,3.73907
78.2758,3.06316
78.3688,2.48769
78.4776,2.00417
78.5865,1.65326
78.7293,1.32109
78.8767,1.07646
79.0582,0.861885
79.2305,0.715458
79.4482,0.581433
79.7022,0.471331
79.9795,0.386858
80.2866,0.321023
80.5938,0.274255
81.0253,0.228332
81.4568,0.197073
81.9362,0.173722
82.5116,0.156069
83.2787,0.143695
83.9947,0.139865
84.7107,0.141967
85.4267,0.149414
86.3217,0.166937
87.0378,0.188763
87.7538,0.220276
88.448,0.262887
89.077,0.319078
89.6672,0.395079
90.1413,0.481388
90.5985,0.598645
91.0049,0.746643
91.3521,0.925501
91.6484,1.13807
91.9024,1.38713
92.1352,1.69759
92.3427,2.0759
92.531,2.54509
92.7173,3.18951
92.8845,4.00812
93.0115,4.86799
93.1258,5.91185
93.2317,7.22223
93.3375,9.04359
93.4306,11.3172
93.5089,14.0162
93.5724,17.0592
93.6254,20.5442
93.6719,24.7862
93.7143,30.2454
93.7524,37.3592
93.782,45.214
93.8106,55.7268
93.8391,70.4417
93.8645,88.4789
93.8887,111.448
93.9141,143.615
93.9395,186.131
93.9649,241.311
93.9945,324.604
94.0241,430.766
94.0631,606.3
94.1224,937.081
94.2003,1379.65
94.2494,1564.2
94.2899,1615.46
94.3306,1562.87
94.3747,1401.42
94.4471,997.964
94.5101,639.093
94.5508,450.35
94.5804,340.504
94.6092,255.911
94.6371,192.547
94.6625,148.571
94.6865,116.895
94.7116,91.6785
94.7368,72.9304
94.762,59.0432
94.7908,47.4904
94.8234,38.2565
94.8573,31.5129
94.8996,25.6255
94.9441,21.2839
94.997,17.5685
95.0605,14.3615
95.1282,11.8696
95.2171,9.50718
95.306,7.80447
95.4076,6.37621
95.5261,5.1632
95.6616,4.16219
95.8098,3.37118
95.9664,2.76019
96.1442,2.25088
96.3559,1.81174
96.5929,1.45988
96.8639,1.17264
97.1602,0.947692
97.4989,0.764333
97.8968,0.613008
98.3117,0.501348
98.7604,0.415287
99.3023,0.341945
99.937,0.284184
100.483,0.251538
101.029,0.228328
101.847,0.21011
102.12,0.208264
102.788,0.214213
103.288,0.231822
103.702,0.260213
104.01,0.294976
104.257,0.337892
104.502,0.402606
104.683,0.473896
104.834,0.558797
104.975,0.672579
105.094,0.809646
105.196,0.976499
105.288,1.19288
105.367,1.46177
105.425,1.74783
105.473,2.07913
105.51,2.46296
105.543,2.95207
105.572,3.58473
105.599,4.41093
105.621,5.40515
105.644,6.7748
105.667,8.66069
105.686,10.8751
105.706,13.7704
105.729,18.137
105.751,23.9166
105.775,31.9696
105.799,42.1578
105.825,56.4111
105.855,77.4812
105.889,107.207
105.938,160.165
106.031,269.566
106.08,311.377
106.126,326.56
106.13,326.647
106.174,314.146
106.219,279.749
106.291,197.007
106.353,125.283
106.39,89.7692
106.42,66.2598
106.448,48.9858
106.474,36.3831
106.497,27.4892
106.521,20.654
106.544,15.6824
106.563,12.3623
106.583,9.80881
106.606,7.62474
106.627,6.11931
106.648,5.00426
106.673,4.03905
106.699,3.35813
106.729,2.80151
106.767,2.31919
106.812,1.94088
106.868,1.62352
106.933,1.37474
107.008,1.16724
107.102,0.985707
107.215,0.837672
107.328,0.736997
107.479,0.648785
107.667,0.585063
107.908,0.550476
107.999,0.547354
108.271,0.563911
108.544,0.617277
108.816,0.713437
109.054,0.845864
109.256,1.01092
109.453,1.24205
109.615,1.51622
109.752,1.83973
109.884,2.27368
110.001,2.82282
110.102,3.48708
110.186,4.258
110.265,5.2663
110.328,6.41407
110.377,7.66759
110.416,9.06243
110.455,11.0538
110.488,13.505
110.518,16.6333
110.543,20.4704
110.569,25.781
110.592,32.3309
110.616,41.3229
110.637,51.737
110.662,68.1235
110.687,89.6027
110.715,120.25
