94-Pu-241(n,&gamma;) ENDF/B-VII.1
21.6508,2.56981
21.6733,2.87871
21.6958,3.37252
21.7127,3.94312
21.7296,4.77704
21.7442,5.79679
21.7594,7.24006
21.7763,9.4143
21.7932,12.2858
21.8132,16.6221
21.8467,25.5985
21.8782,33.897
21.8994,37.747
21.9215,39.2315
21.9431,37.8453
21.966,33.6778
22.0313,16.4903
22.052,12.1543
22.0701,9.2462
22.0867,7.26223
22.1026,5.87144
22.1166,4.99045
22.1326,4.2745
22.1526,3.68849
22.1766,3.27302
22.2006,3.04013
22.2417,2.85928
22.2759,2.82082
22.3376,2.89724
22.4198,3.21744
22.4882,3.68742
22.5482,4.30916
22.6029,5.1371
22.6492,6.12919
22.692,7.40643
22.7339,9.14171
22.7759,11.5339
22.8187,14.8098
22.8837,21.2302
22.943,26.9427
22.9816,29.1467
23.0032,29.5284
23.0443,28.4373
23.0929,24.7299
23.1842,16.124
23.2289,12.9607
23.2725,10.7915
23.3127,9.46122
23.3628,8.48525
23.423,8.07041
23.4785,8.2828
23.534,9.02803
23.5937,10.4188
23.6835,13.4601
23.7728,17.3668
23.8155,20.1286
23.847,23.2288
23.8763,27.5932
23.8998,32.6181
23.9262,40.4543
23.9549,52.1343
23.9932,72.4643
24.0513,105.278
24.077,114.732
24.1019,118.02
24.1276,114.539
24.1578,102.648
24.2421,53.6624
24.2708,40.387
24.2959,31.4838
24.3195,25.1712
24.3436,20.4168
24.368,16.9011
24.3982,13.8233
24.4326,11.4288
24.467,9.77855
24.5129,8.2585
24.568,7.00184
24.6426,5.79256
24.7276,4.79222
24.8108,4.09651
24.9092,3.56415
24.991,3.30214
25.0971,3.13837
25.1488,3.11623
25.2865,3.21559
25.4185,3.53033
25.5333,4.02089
25.6441,4.77048
25.7263,5.58981
25.8141,6.85504
25.8824,8.26898
25.9439,10.0423
26.0054,12.5489
26.0571,15.5319
26.105,19.3709
26.1518,24.6146
26.1957,31.4001
26.2404,40.696
26.2947,55.4325
26.3759,80.122
26.4171,89.0771
26.4571,92.2487
26.4852,90.6461
26.5227,84.0288
26.5961,62.6688
26.6574,44.8221
26.7013,34.7432
26.7424,27.5455
26.7871,21.7748
26.8298,17.7429
26.8817,14.2202
26.9336,11.7267
26.9887,9.83692
27.0547,8.2631
27.128,7.12545
27.1828,6.5839
27.2558,6.18524
27.3263,6.0783
27.4773,6.21052
27.5805,6.02607
27.7957,5.16826
27.8901,5.05107
27.9945,5.1962
28.099,5.6418
28.2144,6.54504
28.3132,7.77214
28.4071,9.46482
28.5073,11.9916
28.6395,16.4687
28.7449,20.1478
28.832,22.0796
28.8768,22.3937
28.9691,21.5257
29.1437,17.458
29.2162,16.5399
29.2343,16.5036
29.2747,16.8155
29.3191,17.9793
29.3636,20.2796
29.408,23.8604
29.4912,32.1896
29.5333,34.8284
29.5533,35.159
29.5838,34.3068
29.6175,31.5872
29.6854,22.8992
29.7367,16.4612
29.7761,12.6447
29.8116,10.1233
29.8471,8.31469
29.8892,6.83956
29.9352,5.77272
29.9879,4.98149
30.0405,4.46936
30.0931,4.13666
30.165,3.88009
30.237,3.79712
30.3083,3.86601
30.3974,4.18175
30.4686,4.67371
30.5399,5.48397
30.6023,6.60292
30.6557,8.04842
30.7021,9.86103
30.7457,12.2623
30.7911,15.7311
30.8393,20.6984
30.9583,36.1494
31.001,39.8226
31.0353,40.7502
31.0723,39.4725
31.1229,34.5328
31.233,20.0079
31.2776,15.4061
31.3203,12.0584
31.3631,9.59219
31.4068,7.75671
31.4567,6.249
31.511,5.08491
31.5751,4.12191
31.6446,3.39501
31.7159,2.8653
31.8121,2.36662
31.9101,2.01887
32.0473,1.69648
32.1593,1.52317
32.3274,1.36168
32.4954,1.28816
32.568,1.2811
32.7132,1.31843
32.8222,1.40908
32.9265,1.58587
32.9946,1.79056
33.0513,2.06448
33.0967,2.40354
33.1364,2.84459
33.1761,3.48878
33.2118,4.30072
33.2527,5.5329
33.3485,9.00961
33.3885,9.97976
33.4257,10.2705
33.4656,9.94262
33.5353,8.80543
33.5647,8.63431
33.5933,8.89847
33.6198,9.61794
33.6462,10.831
33.6864,13.5165
33.7555,18.7495
33.7943,20.4018
33.812,20.558
33.8475,19.6393
33.8899,16.7807
33.9694,9.93904
34.004,7.58931
34.0329,6.10173
34.062,5.00036
34.091,4.21247
34.1222,3.62341
34.1616,3.13258
34.209,2.77712
34.2722,2.52676
34.3354,2.42294
34.367,2.40799
34.4506,2.45945
34.5343,2.63487
34.6086,2.92716
34.6644,3.29945
34.7015,3.69777
34.7294,4.15086
34.7582,4.87104
34.781,5.74161
34.8038,7.02951
34.8233,8.60749
34.8428,10.7699
34.8614,13.5034
34.8837,17.795
34.9093,24.1701
34.9513,37.2115
34.9915,49.7236
35.0212,56.1663
35.0491,58.3071
35.0749,56.4229
35.105,50.1069
35.1878,24.3781
35.2141,17.7727
35.2362,13.4766
35.2561,10.5334
35.276,8.33848
35.2959,6.74195
35.318,5.49281
35.3401,4.63275
35.3659,3.95151
35.3954,3.43277
35.4379,2.94941
35.4965,2.5301
35.5668,2.20117
35.6505,1.93397
35.7712,1.68657
35.86,1.58848
35.8885,1.57556
35.9454,1.59466
35.9947,1.70403
