92-U-238(n,elastic) ENDF/B-VII.1
311.104,11.7827
311.478,13.3777
311.595,13.4911
312.246,12.478
314.195,12.0684
332.801,10.6911
338.302,9.74853
341.159,8.75772
342.929,7.65944
343.99,6.59909
344.799,5.40402
345.368,4.23029
345.836,2.97402
346.351,1.36512
346.461,1.09203
346.518,1.00144
346.569,0.971975
346.607,0.997467
346.645,1.08191
346.679,1.23137
346.713,1.4625
346.741,1.75268
346.771,2.18065
346.799,2.73591
346.829,3.52777
346.859,4.59358
346.888,5.9288
346.918,7.7777
346.948,10.1999
346.978,13.3464
347.006,17.1597
347.04,22.8803
347.074,30.6943
347.111,41.4418
347.149,55.8896
347.187,74.4317
347.229,100.441
347.274,136.605
347.32,181.907
347.373,247.154
347.441,350.394
347.56,568.079
347.681,787.851
347.767,896.549
347.85,937.58
347.855,937.782
347.939,902.886
348.02,809.825
348.185,529.277
348.285,367.238
348.357,272.753
348.42,207.862
348.477,163.007
348.534,129.204
348.596,102.624
348.651,85.5567
348.717,71.1542
348.784,61.2895
348.872,52.522
348.989,45.2015
349.147,39.0178
349.337,34.2148
349.64,29.332
350.0,25.7384
350.569,22.3311
351.308,19.7857
352.556,17.4625
354.327,15.8134
357.531,14.3786
363.825,13.2184
375.832,12.0488
376.435,11.7091
376.722,12.0714
377.122,13.423
377.211,13.5046
378.042,12.5844
382.62,12.0928
394.047,11.2706
395.935,10.679
396.879,9.72364
396.985,10.0369
397.092,10.9926
397.182,12.5608
397.28,15.1662
397.574,25.655
397.683,27.8142
397.736,28.1003
397.844,27.1637
398.007,23.1328
398.191,18.1905
398.333,15.6557
398.44,14.5121
398.638,13.4379
398.837,12.9685
399.631,12.2525
401.977,11.5955
405.564,10.8684
407.507,10.0233
408.394,9.12308
408.882,8.15619
409.252,7.15322
409.304,7.15269
409.383,7.46338
409.435,8.02372
409.488,9.0294
409.536,10.489
409.586,12.7733
409.637,16.0266
409.687,20.4564
409.745,27.1878
409.811,37.19
409.889,52.4065
410.125,106.235
410.221,121.309
410.312,126.628
410.39,123.35
410.493,109.585
410.753,58.1351
410.839,44.6541
410.912,36.1205
410.984,29.861
411.063,25.1502
411.141,22.0672
411.246,19.5853
411.404,17.6673
411.677,16.1355
412.223,14.7285
413.041,13.7587
415.085,12.8041
420.797,12.0027
430.039,11.1534
432.062,10.4634
432.659,9.90709
433.205,9.0483
433.338,9.38972
433.42,10.1755
433.483,11.242
433.555,13.178
433.635,16.3643
433.724,21.2248
433.88,32.2768
434.022,41.7427
434.127,45.8415
434.193,46.5032
434.275,45.2547
434.388,40.5181
434.646,25.8583
434.762,21.0662
434.845,18.6852
434.969,16.4208
435.093,15.187
435.325,14.1281
435.772,13.3236
437.067,12.5063
440.979,11.8821
453.413,11.3115
454.109,11.3614
460.44,10.7759
461.789,10.2632
462.402,9.6567
462.563,9.89508
462.673,10.5663
462.782,11.8877
462.91,14.3506
463.186,20.8806
463.313,22.4716
463.36,22.6302
463.469,22.0988
463.663,19.1164
463.878,15.5868
464.024,14.0598
464.207,13.0422
464.536,12.3464
465.737,11.6956
471.417,11.1118
476.272,10.6301
477.408,10.0667
477.706,9.83766
477.848,9.99244
477.968,10.4961
478.117,11.7919
478.476,16.403
478.626,17.1761
478.64,17.1818
478.785,16.6493
479.196,13.275
479.431,12.3134
479.835,11.7509
481.472,11.2425
488.014,10.5644
488.338,10.4554
488.731,10.7924
489.19,11.4045
490.244,10.9182
507.107,9.75966
511.407,9.04915
513.414,8.38809
514.85,7.53285
515.712,6.6499
516.286,5.72977
516.735,4.66725
517.094,3.60273
517.194,3.45904
517.251,3.52268
517.295,3.70715
517.34,4.06924
517.385,4.68298
517.43,5.64489
517.469,6.86784
517.508,8.55076
517.549,10.8856
517.589,13.9778
517.63,17.9905
517.677,24.0699
517.722,31.5086
517.775,42.8985
517.829,57.3034
517.895,79.1423
517.973,111.523
518.095,172.563
518.265,258.961
518.373,296.189
518.467,308.654
518.477,308.749
518.565,299.336
518.676,264.853
518.964,132.885
519.059,97.8049
519.142,73.9659
519.209,59.3016
519.276,48.2526
519.355,39.0391
519.422,33.5306
519.516,28.3777
519.624,24.781
519.732,22.5422
519.947,19.9093
520.288,17.6177
520.737,15.8848
521.383,14.4365
522.635,12.9658
525.097,11.6055
530.174,9.78626
531.97,8.65868
532.852,7.65013
533.391,6.66845
533.802,5.55356
534.077,4.70161
534.146,4.59859
534.231,4.71268
534.283,5.01532
534.328,5.50955
534.38,6.47193
534.425,7.74819
534.471,9.57789
534.516,12.1147
534.562,15.6272
534.609,20.391
534.66,27.2016
534.712,35.9697
534.774,49.5106
534.841,67.8046
534.927,97.4196
535.201,209.072
535.312,241.055
535.408,252.247
535.426,252.425
535.518,243.981
535.628,216.384
535.921,110.104
536.018,81.5312
536.1,63.2853
536.175,50.5696
536.25,41.2755
536.325,34.6851
536.411,29.5727
536.488,26.491
536.604,23.5283
536.797,20.8072
537.028,18.9852
537.371,17.3415
537.715,16.2787
538.47,14.864
539.225,14.0405
541.391,12.8348
545.415,11.914
555.492,10.9592
556.018,10.9703
569.122,9.81914
573.754,9.01475
575.667,8.36446
577.059,7.50221
577.813,6.68601
578.379,5.69775
578.886,4.46563
578.948,4.42108
579.027,4.55642
579.081,4.8507
579.134,5.40085
579.189,6.35827
579.236,7.60806
579.283,9.37889
579.33,11.8086
579.377,15.0501
579.424,19.2664
579.479,25.6333
579.54,34.7699
579.605,47.1577
579.684,65.97
579.794,98.4433
580.014,168.959
580.132,195.22
580.235,204.124
580.243,204.181
580.344,197.337
580.466,172.821
580.758,89.6748
580.859,66.6394
580.947,51.0269
581.026,40.6842
581.104,33.1656
581.181,27.9806
581.264,24.104
581.348,21.5063
581.482,18.9543
581.648,17.1675
581.963,15.3431
582.434,13.8416
583.22,12.4749
584.758,11.1108
589.852,8.31259
591.229,7.09765
592.055,5.99774
592.702,4.76421
593.184,3.51606
593.583,2.34738
593.666,2.19703
593.707,2.16848
593.769,2.22427
593.81,2.35872
593.852,2.60576
593.893,3.00587
593.934,3.61141
593.976,4.48913
594.017,5.72277
594.058,7.41535
594.1,9.69158
594.141,12.6989
594.184,16.7935
594.23,22.568
594.277,30.1226
594.327,40.3398
594.379,54.0844
594.44,74.3352
594.506,102.321
594.577,139.924
594.677,203.664
594.946,400.701
595.062,458.99
595.172,479.983
595.181,480.014
595.282,463.086
595.408,404.781
595.713,203.464
595.81,151.82
595.893,117.218
595.976,90.8763
596.058,71.6334
596.13,59.4552
596.216,49.2041
596.302,42.2259
596.406,36.6528
596.543,31.9789
596.736,28.0315
597.012,24.6194
597.452,21.3812
598.113,18.6547
