94-Pu-239(n,elastic) ENDF/B-VII.1
177.518,20.0416
177.604,19.4353
177.867,14.485
178.001,13.0409
178.136,12.2717
178.703,10.5647
178.802,10.5141
178.922,10.9462
179.181,12.9101
179.258,13.1069
179.418,12.7135
179.71,11.6615
180.286,10.9812
182.877,9.51659
183.459,8.67436
183.576,8.88056
183.692,9.68713
183.88,11.5565
183.993,12.0808
184.031,12.0912
184.332,10.9949
184.622,10.5441
184.705,10.5279
185.766,11.072
186.961,10.4844
187.841,9.80399
188.155,9.43592
188.357,9.64595
188.644,10.3901
188.689,10.4069
189.631,9.35319
190.189,8.69433
190.46,8.23551
190.569,8.39198
190.689,9.14401
190.908,11.1596
190.997,11.4981
191.111,11.3206
191.393,10.0697
191.615,9.55974
192.818,8.45383
194.339,7.23339
194.379,7.23102
194.57,7.37583
194.734,7.92387
194.843,8.7558
194.926,9.81962
195.012,11.4746
195.098,13.8344
195.213,18.1472
195.439,28.306
195.544,31.6123
195.63,32.7856
195.659,32.835
195.753,31.9062
195.9,28.1588
196.152,20.7346
196.333,16.8455
196.451,15.1887
196.53,14.6523
196.569,14.622
196.648,15.1354
196.762,17.1987
196.925,20.704
197.015,21.334
197.11,20.5364
197.387,15.1909
197.495,13.8343
197.639,12.7201
198.01,11.1413
198.724,8.72484
199.005,7.44935
199.089,7.28443
199.157,7.50186
199.216,8.13671
199.274,9.31099
199.335,11.2608
199.407,14.5037
199.588,24.2262
199.671,26.9937
199.732,27.6451
199.828,26.4549
200.077,18.6238
200.173,16.4213
200.301,14.5553
200.467,13.1961
200.794,11.7994
201.274,10.6289
202.998,7.60732
203.115,7.49496
203.246,7.72269
203.325,8.27841
203.392,9.15322
203.471,10.7992
203.548,13.169
203.644,17.1862
203.753,23.1099
204.035,41.2861
204.134,45.5556
204.22,47.0413
204.336,45.5342
204.495,39.1689
204.698,30.1176
204.843,25.4082
205.023,21.5026
205.24,18.6144
205.522,16.3226
205.977,14.0913
207.013,10.3291
207.038,10.3256
207.114,10.6468
207.165,11.2839
207.211,12.305
207.276,14.5561
207.34,17.8665
207.454,25.6182
207.558,32.3515
207.636,35.1585
207.675,35.5582
207.719,35.1729
207.805,32.3232
208.013,22.0501
208.102,18.9787
208.2,16.8465
208.318,15.4291
208.553,14.1132
209.08,12.8374
210.498,11.1517
210.941,10.9294
211.68,11.1527
212.662,10.7792
213.308,10.3579
213.722,10.6575
215.606,9.02434
216.044,8.10747
216.17,7.90528
216.26,8.17696
216.332,8.97258
216.391,10.2525
216.45,12.2362
216.52,15.5177
216.709,26.2541
216.79,29.0616
216.846,29.597
216.923,28.4546
217.031,24.3269
217.177,18.1
217.263,15.4587
217.37,13.4491
217.471,12.3827
217.606,11.6024
217.943,10.6229
218.894,8.70919
219.204,7.83222
219.279,7.78542
219.374,8.0735
219.46,8.79436
219.714,12.2461
219.821,12.7803
219.837,12.7809
219.954,12.5746
220.033,12.9294
220.088,13.8512
220.144,15.6403
220.214,19.0803
220.342,27.8288
220.439,33.8043
220.509,36.1068
220.549,36.4135
220.631,34.8085
220.748,29.1102
220.877,22.1581
220.968,18.5626
221.059,16.2056
221.168,14.548
221.343,13.2084
221.663,12.0261
222.877,9.36648
222.929,9.3611
223.033,9.76209
223.134,10.9366
223.251,13.3267
223.405,16.6455
223.496,17.5596
223.523,17.6084
223.611,17.113
223.891,13.1351
224.014,12.0194
224.237,10.9953
224.755,9.65716
224.793,9.63674
224.939,9.93515
225.26,11.7895
225.345,11.938
225.429,11.8551
225.79,10.7922
226.349,10.0632
227.358,9.25478
227.739,8.77762
227.866,8.9788
228.046,10.0548
228.241,11.3301
228.328,11.5004
228.459,11.2544
228.839,10.0149
230.235,8.31782
230.646,7.42937
230.908,6.68692
230.93,6.67541
230.994,6.82299
231.037,7.16735
231.09,8.05654
231.133,9.29894
231.178,11.2841
231.219,13.8594
231.266,17.9426
231.321,24.1486
231.385,33.4402
231.548,60.3243
231.624,68.816
231.69,71.6407
231.7,71.6441
231.764,69.1399
231.839,61.5494
232.03,35.3128
232.102,27.6304
232.165,22.6111
232.231,18.9804
232.297,16.5504
232.396,14.3494
232.5,13.0484
232.663,11.9524
233.353,9.97686
233.843,8.14022
233.9,8.06318
233.958,8.20077
234.015,8.72126
234.058,9.49898
234.108,10.9922
234.158,13.2889
234.21,16.6417
234.267,21.6138
234.347,30.451
234.478,45.9072
234.555,52.0494
234.623,54.1217
234.633,54.1242
234.704,52.0174
234.802,44.5587
234.962,29.6447
235.043,23.8957
235.124,19.9251
235.19,17.7884
235.288,15.8236
235.387,14.7126
235.575,13.5701
235.888,12.565
