4*pi*AP**2: 11.2934 barns
          eV          J         GN         GG        GFA        GFB
  4.258586+3 5.000000-1 3.581851-3 2.300000-2 0.000000+0 0.000000+0
  4.300666+3 5.000000-1 1.680669-1 2.300000-2 0.000000+0 0.000000+0
  4.308147+3 5.000000-1 1.142526-1 2.300000-2 0.000000+0 0.000000+0
  4.326352+3 5.000000-1 9.903093-2 2.300000-2 0.000000+0 0.000000+0
  4.335369+3 5.000000-1 1.332022-2 2.300000-2 0.000000+0 0.000000+0
  4.371148+3 5.000000-1 1.068084-1 2.300000-2 0.000000+0 0.000000+0
  4.376098+3 5.000000-1 4.979183-2 2.300000-2 0.000000+0 0.000000+0
  4.396848+3 5.000000-1 8.057211-3 2.300000-2 0.000000+0 0.000000+0
  4.436792+3 5.000000-1 1.113420-1 2.300000-2 0.000000+0 0.000000+0
  4.460454+3 5.000000-1 1.001510-5 2.300000-2 0.000000+0 0.000000+0
  4.503620+3 5.000000-1 9.124202-3 2.300000-2 0.000000+0 0.000000+0
  4.513108+3 5.000000-1 6.487950-1 2.300000-2 0.000000+0 0.000000+0
  4.529902+3 5.000000-1 2.105830-3 2.300000-2 0.000000+0 0.000000+0
  4.544872+3 5.000000-1 1.225120-1 2.300000-2 0.000000+0 0.000000+0
  4.569076+3 5.000000-1 5.466689-2 2.300000-2 0.000000+0 0.000000+0
  4.595632+3 5.000000-1 3.785681-2 2.300000-2 0.000000+0 0.000000+0
  4.619500+3 5.000000-1 2.282990-2 2.300000-2 0.000000+0 0.000000+0
  4.633742+3 5.000000-1 3.131260-2 2.300000-2 0.000000+0 0.000000+0
  4.664261+3 5.000000-1 1.536078-1 2.610938-2 0.000000+0 0.000000+0
  4.696712+3 5.000000-1 3.891224-2 2.300000-2 0.000000+0 0.000000+0
  4.707177+3 5.000000-1 3.425579-1 2.300000-2 0.000000+0 0.000000+0
  4.729063+3 5.000000-1 3.555834-2 2.300000-2 0.000000+0 0.000000+0
  4.738112+3 5.000000-1 7.562195-4 2.300000-2 0.000000+0 0.000000+0
  4.766924+3 5.000000-1 3.771599-2 2.300000-2 0.000000+0 0.000000+0
  4.786256+3 5.000000-1 2.057600-2 2.300000-2 0.000000+0 0.000000+0
  4.801223+3 5.000000-1 1.906569-1 2.300000-2 0.000000+0 0.000000+0
  4.813067+3 5.000000-1 5.147192-3 2.300000-2 0.000000+0 0.000000+0
  4.840500+3 5.000000-1 1.871240-2 2.300000-2 0.000000+0 0.000000+0
  4.860856+3 5.000000-1 2.827342-1 2.300000-2 0.000000+0 0.000000+0
  4.900259+3 5.000000-1 1.211108-1 2.300000-2 0.000000+0 0.000000+0
  4.909500+3 5.000000-1 1.496461-1 2.300000-2 0.000000+0 0.000000+0
  4.922516+3 5.000000-1 2.083487-1 2.300000-2 0.000000+0 0.000000+0
  4.956944+3 5.000000-1 1.676264-1 2.300000-2 0.000000+0 0.000000+0
  4.975261+3 5.000000-1 7.780372-2 2.300000-2 0.000000+0 0.000000+0
  5.008180+3 5.000000-1 5.821383-2 2.300000-2 0.000000+0 0.000000+0
  5.037629+3 5.000000-1 2.786770-1 2.300000-2 0.000000+0 0.000000+0
  5.041500+3 5.000000-1 3.077546-2 2.300000-2 0.000000+0 0.000000+0
  5.075946+3 5.000000-1 2.770236-2 2.300000-2 0.000000+0 0.000000+0
  5.089427+3 5.000000-1 5.740208-2 2.300000-2 0.000000+0 0.000000+0
  5.119801+3 5.000000-1 1.790616-1 2.300000-2 0.000000+0 0.000000+0
  5.138460+3 5.000000-1 4.237032-3 1.759014-2 0.000000+0 0.000000+0
  5.165616+3 5.000000-1 1.816358-2 2.300000-2 0.000000+0 0.000000+0
  5.178786+3 5.000000-1 5.482578-3 2.300000-2 0.000000+0 0.000000+0
  5.196865+3 5.000000-1 9.567772-3 2.300000-2 0.000000+0 0.000000+0
  5.215499+3 5.000000-1 7.325897-3 2.300000-2 0.000000+0 0.000000+0
  5.222047+3 5.000000-1 3.884766-2 2.300000-2 0.000000+0 0.000000+0
  5.244278+3 5.000000-1 4.215087-2 2.600000-2 0.000000+0 0.000000+0
  5.261078+3 5.000000-1 1.919359-1 2.300000-2 0.000000+0 0.000000+0
  5.280065+3 5.000000-1 1.786844-2 2.300000-2 0.000000+0 0.000000+0
  5.303489+3 5.000000-1 2.002834-5 2.300000-2 0.000000+0 0.000000+0
  5.311534+3 5.000000-1 3.249332-2 2.300000-2 0.000000+0 0.000000+0
  5.346729+3 5.000000-1 7.162352-2 2.300000-2 0.000000+0 0.000000+0
  5.355020+3 5.000000-1 1.263581-1 2.300000-2 0.000000+0 0.000000+0
  5.367399+3 5.000000-1 2.431194-2 2.300000-2 0.000000+0 0.000000+0
  5.421636+3 5.000000-1 7.940665-2 2.300000-2 0.000000+0 0.000000+0
  5.431716+3 5.000000-1 4.105361-2 2.300000-2 0.000000+0 0.000000+0
  5.485014+3 5.000000-1 3.734567-1 2.300000-2 0.000000+0 0.000000+0
  5.490090+3 5.000000-1 2.142375-1 2.300000-2 0.000000+0 0.000000+0
  5.505532+3 5.000000-1 2.989369-2 2.300000-2 0.000000+0 0.000000+0
  5.531337+3 5.000000-1 8.725281-2 2.300000-2 0.000000+0 0.000000+0
  5.554074+3 5.000000-1 1.624947-1 2.300000-2 0.000000+0 0.000000+0
  5.580277+3 5.000000-1 8.437264-2 2.300000-2 0.000000+0 0.000000+0
  5.618613+3 5.000000-1 1.000030-7 2.300000-2 0.000000+0 0.000000+0
  5.638985+3 5.000000-1 4.926759-1 2.300000-2 0.000000+0 0.000000+0
  5.651662+3 5.000000-1 5.966969-1 2.300000-2 0.000000+0 0.000000+0
  5.674609+3 5.000000-1 1.031089-1 2.300000-2 0.000000+0 0.000000+0
  5.684356+3 5.000000-1 1.463113-1 2.300000-2 0.000000+0 0.000000+0
  5.697666+3 5.000000-1 3.683321-2 2.189845-2 0.000000+0 2.859981-5
  5.733974+3 5.000000-1 4.110811-2 2.300000-2 2.770000-5 0.000000+0
  5.758421+3 5.000000-1 1.282048-1 2.300000-2 0.000000+0 0.000000+0
  5.790993+3 5.000000-1 5.640594-2 2.300000-2 0.000000+0 0.000000+0
  5.815287+3 5.000000-1 1.294579-1 2.300000-2 0.000000+0 0.000000+0
  5.828917+3 5.000000-1 1.073668-1 2.300000-2 0.000000+0 0.000000+0
