4*pi*AP**2: 11.2934 barns
          eV          J         GN         GG        GFA        GFB
  1.356047+4 5.000000-1 4.810357-1 2.300000-2 0.000000+0 0.000000+0
  1.361111+4 5.000000-1 2.368517-1 2.300000-2 0.000000+0 0.000000+0
  1.362328+4 5.000000-1 2.894066-2 2.300000-2 0.000000+0 0.000000+0
  1.363983+4 5.000000-1 3.965309-1 2.300000-2 0.000000+0 0.000000+0
  1.364486+4 5.000000-1 2.582548-1 2.300000-2 0.000000+0 0.000000+0
  1.366195+4 5.000000-1 4.393789-3 2.300000-2 0.000000+0 0.000000+0
  1.366460+4 5.000000-1 1.016480-1 2.300000-2 0.000000+0 0.000000+0
  1.368544+4 5.000000-1 3.127072-1 2.300000-2 0.000000+0 0.000000+0
  1.371998+4 5.000000-1 4.021663-1 2.300000-2 0.000000+0 0.000000+0
  1.374680+4 5.000000-1 1.476202-3 2.300000-2 0.000000+0 0.000000+0
  1.379582+4 5.000000-1 5.993549-1 2.300000-2 0.000000+0 0.000000+0
  1.380441+4 5.000000-1 6.127258-1 2.300000-2 0.000000+0 0.000000+0
  1.381411+4 5.000000-1 2.651387-1 2.300000-2 0.000000+0 0.000000+0
  1.382866+4 5.000000-1 9.419000-4 2.300000-2 0.000000+0 0.000000+0
  1.383841+4 5.000000-1 2.292346-1 2.300000-2 0.000000+0 0.000000+0
  1.386758+4 5.000000-1 7.082984-2 2.300000-2 0.000000+0 0.000000+0
  1.388565+4 5.000000-1 2.398339-2 2.300000-2 0.000000+0 0.000000+0
  1.390334+4 5.000000-1 4.315740-1 2.300000-2 0.000000+0 0.000000+0
  1.392118+4 5.000000-1 5.085970-4 2.300000-2 0.000000+0 0.000000+0
  1.396534+4 5.000000-1 2.941282-1 2.300000-2 0.000000+0 0.000000+0
  1.398254+4 5.000000-1 3.500144-1 2.300000-2 0.000000+0 0.000000+0
  1.399509+4 5.000000-1 2.502318-3 2.300000-2 0.000000+0 0.000000+0
  1.400166+4 5.000000-1 1.786647-1 2.141564-2 0.000000+0 0.000000+0
  1.400929+4 5.000000-1 1.219884-3 2.300000-2 0.000000+0 0.000000+0
  1.403522+4 5.000000-1 1.548293-1 2.300000-2 0.000000+0 0.000000+0
  1.405664+4 5.000000-1 7.995031-1 2.408832-2 0.000000+0 0.000000+0
  1.409095+4 5.000000-1 2.140643-1 2.486102-2 0.000000+0 0.000000+0
  1.409488+4 5.000000-1 4.094248-1 1.966401-2 0.000000+0 0.000000+0
  1.412674+4 5.000000-1 3.962350-1 2.400078-2 0.000000+0 0.000000+0
  1.416357+4 5.000000-1 1.044274-1 2.300000-2 0.000000+0 0.000000+0
  1.418413+4 5.000000-1 3.439019-1 2.300000-2 0.000000+0 0.000000+0
  1.421766+4 5.000000-1 5.762025-1 2.300000-2 0.000000+0 0.000000+0
  1.423059+4 5.000000-1 4.105318-3 2.300000-2 0.000000+0 0.000000+0
  1.423585+4 5.000000-1 4.307921-1 2.135667-2 0.000000+0 0.000000+0
  1.427142+4 5.000000-1 2.645754-2 2.183760-2 0.000000+0 0.000000+0
  1.428827+4 5.000000-1 4.697696-1 2.300000-2 0.000000+0 0.000000+0
  1.430907+4 5.000000-1 1.236511-1 2.300000-2 0.000000+0 0.000000+0
  1.434000+4 5.000000-1 3.430269-2 2.300000-2 0.000000+0 0.000000+0
  1.434247+4 5.000000-1 7.464650-3 2.300000-2 0.000000+0 0.000000+0
  1.436905+4 5.000000-1 1.239123-2 2.300000-2 0.000000+0 0.000000+0
  1.439432+4 5.000000-1 2.211864-2 2.300000-2 0.000000+0 0.000000+0
  1.441607+4 5.000000-1 9.723088-1 2.857725-2 0.000000+0 0.000000+0
  1.443572+4 5.000000-1 1.879969-1 2.104622-2 1.600000-4 0.000000+0
  1.444672+4 5.000000-1 7.789470-3 2.300000-2 0.000000+0 1.600000-4
  1.449456+4 5.000000-1 2.297107-1 2.300000-2 0.000000+0 0.000000+0
  1.450337+4 5.000000-1 1.792498-2 2.300000-2 0.000000+0 0.000000+0
  1.450576+4 5.000000-1 7.686814-2 2.300000-2 0.000000+0 0.000000+0
  1.453263+4 5.000000-1 6.713292-1 2.125479-2 0.000000+0 0.000000+0
  1.455500+4 5.000000-1 4.333103-3 2.300000-2 0.000000+0 0.000000+0
  1.459894+4 5.000000-1 6.004554-2 2.978323-2 0.000000+0 0.000000+0
  1.461323+4 5.000000-1 4.811382-2 2.183360-2 0.000000+0 0.000000+0
  1.463851+4 5.000000-1 5.379796-1 2.403639-2 0.000000+0 0.000000+0
  1.469552+4 5.000000-1 1.448511+0 2.102629-2 0.000000+0 0.000000+0
  1.471016+4 5.000000-1 3.472294-1 2.300000-2 0.000000+0 0.000000+0
  1.473307+4 5.000000-1 4.846813-3 2.300000-2 0.000000+0 0.000000+0
  1.478550+4 5.000000-1 3.757411-1 2.522650-2 0.000000+0 0.000000+0
  1.479266+4 5.000000-1 5.237081-3 2.300000-2 0.000000+0 0.000000+0
  1.479964+4 5.000000-1 3.026823-2 2.122121-2 0.000000+0 0.000000+0
  1.481554+4 5.000000-1 3.717832-3 2.300000-2 0.000000+0 0.000000+0
  1.481891+4 5.000000-1 8.875619-1 2.422920-2 0.000000+0 0.000000+0
  1.482830+4 5.000000-1 2.765333+0 2.300000-2 0.000000+0 0.000000+0
  1.486722+4 5.000000-1 2.712240-1 2.714126-2 0.000000+0 0.000000+0
  1.490974+4 5.000000-1 5.082260-2 2.451860-2 0.000000+0 0.000000+0
  1.495490+4 5.000000-1 2.626554-1 1.911354-2 0.000000+0 0.000000+0
  1.498251+4 5.000000-1 1.469735-1 2.300000-2 0.000000+0 0.000000+0
  1.499809+4 5.000000-1 5.461999-1 2.434517-2 0.000000+0 0.000000+0
  1.502730+4 5.000000-1 1.002964-1 2.300000-2 0.000000+0 0.000000+0
  1.504734+4 5.000000-1 9.238138-1 2.426025-2 0.000000+0 0.000000+0
  1.506122+4 5.000000-1 2.144914-1 2.300000-2 0.000000+0 0.000000+0
  1.508767+4 5.000000-1 3.647250-1 2.300000-2 0.000000+0 0.000000+0
  1.512128+4 5.000000-1 5.916196-1 2.300000-2 0.000000+0 0.000000+0
  1.513266+4 5.000000-1 1.681709-1 2.300000-2 0.000000+0 0.000000+0
  1.517856+4 5.000000-1 1.497852-3 2.300000-2 0.000000+0 0.000000+0
  1.519435+4 5.000000-1 2.514425-1 2.300000-2 5.280000-4 0.000000+0
  1.520842+4 5.000000-1 7.671023-1 2.300000-2 5.280000-4 0.000000+0
  1.522508+4 5.000000-1 3.342988-3 2.300000-2 0.000000+0 0.000000+0
  1.523400+4 5.000000-1 3.263756-2 2.300000-2 0.000000+0 0.000000+0
  1.524514+4 5.000000-1 1.394972-1 2.300000-2 0.000000+0 0.000000+0
  1.525393+4 5.000000-1 3.991624-1 2.300000-2 0.000000+0 0.000000+0
  1.527061+4 5.000000-1 6.268419-1 2.300000-2 0.000000+0 0.000000+0
  1.530964+4 5.000000-1 2.111733-1 1.800000-2 0.000000+0 0.000000+0
  1.539684+4 5.000000-1 2.141589-1 2.300000-2 0.000000+0 0.000000+0
  1.540199+4 5.000000-1 9.011181-1 2.300000-2 0.000000+0 0.000000+0
  1.542011+4 5.000000-1 4.356870-1 2.800000-2 0.000000+0 0.000000+0
  1.542906+4 5.000000-1 1.555472-1 2.300000-2 0.000000+0 0.000000+0
  1.544735+4 5.000000-1 3.388785-2 2.300000-2 0.000000+0 0.000000+0
  1.547149+4 5.000000-1 5.110502-2 2.300000-2 0.000000+0 0.000000+0
  1.548887+4 5.000000-1 1.040123+0 2.300000-2 2.000000-4 0.000000+0
  1.551475+4 5.000000-1 1.655247-2 2.300000-2 5.220000-4 0.000000+0
  1.559545+4 5.000000-1 1.135565+0 2.300000-2 0.000000+0 2.000000-4
  1.561243+4 5.000000-1 4.583119-1 2.300000-2 0.000000+0 0.000000+0
  1.564502+4 5.000000-1 2.587541-1 2.300000-2 0.000000+0 0.000000+0
  1.566894+4 5.000000-1 9.149467-2 2.300000-2 0.000000+0 0.000000+0
  1.569269+4 5.000000-1 1.671198-2 2.300000-2 0.000000+0 0.000000+0
  1.574490+4 5.000000-1 2.935122-1 2.300000-2 0.000000+0 0.000000+0
  1.575988+4 5.000000-1 2.115633-1 2.300000-2 0.000000+0 0.000000+0
  1.577807+4 5.000000-1 3.252977-1 1.800000-2 0.000000+0 0.000000+0
  1.580216+4 5.000000-1 5.548835-2 2.300000-2 0.000000+0 0.000000+0
  1.581862+4 5.000000-1 1.591426-2 2.300000-2 0.000000+0 0.000000+0
  1.584451+4 5.000000-1 1.156814-1 2.300000-2 0.000000+0 0.000000+0
  1.586641+4 5.000000-1 8.966715-1 2.300000-2 0.000000+0 0.000000+0
  1.592954+4 5.000000-1 3.688648-1 2.300000-2 0.000000+0 0.000000+0
  1.594228+4 5.000000-1 2.174774-1 2.300000-2 0.000000+0 0.000000+0
  1.595394+4 5.000000-1 1.244143-2 2.300000-2 0.000000+0 0.000000+0
  1.598349+4 5.000000-1 1.667990+0 2.300000-2 0.000000+0 0.000000+0
  1.600188+4 5.000000-1 6.986789-1 2.300000-2 0.000000+0 0.000000+0
  1.602211+4 5.000000-1 3.974762-2 2.300000-2 0.000000+0 0.000000+0
  1.604760+4 5.000000-1 1.311407-1 2.300000-2 0.000000+0 0.000000+0
  1.608630+4 5.000000-1 4.500000-1 2.300000-2 0.000000+0 0.000000+0
  1.612978+4 5.000000-1 1.384916-3 2.300000-2 0.000000+0 0.000000+0
  1.615415+4 5.000000-1 5.724742-1 2.900000-2 0.000000+0 0.000000+0
  1.619655+4 5.000000-1 2.634611-1 3.300000-2 0.000000+0 0.000000+0
  1.620747+4 5.000000-1 9.548390-2 2.300000-2 0.000000+0 0.000000+0
  1.626030+4 5.000000-1 2.236575-1 2.300000-2 0.000000+0 0.000000+0
  1.627492+4 5.000000-1 2.161984-3 2.300000-2 0.000000+0 0.000000+0
  1.629846+4 5.000000-1 2.346207-2 1.800000-2 0.000000+0 0.000000+0
  1.631036+4 5.000000-1 6.576278-3 2.300000-2 0.000000+0 0.000000+0
  1.631431+4 5.000000-1 1.554944+0 2.000000-2 0.000000+0 0.000000+0
  1.633472+4 5.000000-1 5.077231-2 2.700000-2 0.000000+0 0.000000+0
  1.635225+4 5.000000-1 9.796607-2 2.300000-2 0.000000+0 0.000000+0
  1.638733+4 5.000000-1 8.376146-1 2.300000-2 0.000000+0 0.000000+0
  1.639740+4 5.000000-1 1.149266-2 2.300000-2 0.000000+0 0.000000+0
  1.641308+4 5.000000-1 1.361187-2 2.600000-2 0.000000+0 0.000000+0
  1.644442+4 5.000000-1 7.082973-2 3.000000-2 0.000000+0 0.000000+0
  1.648444+4 5.000000-1 3.819630-1 2.300000-2 0.000000+0 0.000000+0
  1.650916+4 5.000000-1 8.711161-2 2.300000-2 0.000000+0 0.000000+0
  1.653345+4 5.000000-1 7.356568-2 2.300000-2 0.000000+0 0.000000+0
  1.654321+4 5.000000-1 5.042098-1 2.300000-2 0.000000+0 0.000000+0
  1.658286+4 5.000000-1 7.279127-1 2.300000-2 0.000000+0 0.000000+0
  1.659910+4 5.000000-1 8.092208-3 2.300000-2 0.000000+0 0.000000+0
  1.660544+4 5.000000-1 1.975024-1 2.300000-2 0.000000+0 0.000000+0
  1.662619+4 5.000000-1 8.743148-1 2.300000-2 0.000000+0 0.000000+0
  1.666035+4 5.000000-1 4.012187-1 2.300000-2 0.000000+0 0.000000+0
  1.667956+4 5.000000-1 2.018203-1 2.300000-2 0.000000+0 0.000000+0
  1.668909+4 5.000000-1 1.772576-2 1.000000-2 0.000000+0 0.000000+0
  1.674889+4 5.000000-1 1.557819-1 2.300000-2 0.000000+0 0.000000+0
  1.676109+4 5.000000-1 1.562167-1 2.300000-2 0.000000+0 0.000000+0
  1.677505+4 5.000000-1 1.680174-1 2.800000-2 0.000000+0 0.000000+0
  1.678253+4 5.000000-1 3.722257-1 1.900000-2 0.000000+0 0.000000+0
  1.681669+4 5.000000-1 2.726879-3 2.300000-2 0.000000+0 0.000000+0
  1.682696+4 5.000000-1 9.619499-2 2.300000-2 0.000000+0 0.000000+0
  1.685219+4 5.000000-1 4.143470-1 2.300000-2 0.000000+0 0.000000+0
  1.686138+4 5.000000-1 4.232594-3 2.300000-2 0.000000+0 0.000000+0
  1.687864+4 5.000000-1 7.695912-2 2.300000-2 0.000000+0 0.000000+0
  1.691117+4 5.000000-1 1.116091-1 2.300000-2 0.000000+0 0.000000+0
  1.691575+4 5.000000-1 3.450092-2 2.300000-2 0.000000+0 0.000000+0
  1.692675+4 5.000000-1 4.171256-1 2.300000-2 0.000000+0 0.000000+0
  1.695009+4 5.000000-1 8.721982-1 2.300000-2 0.000000+0 0.000000+0
  1.696685+4 5.000000-1 3.809421-1 2.700000-2 0.000000+0 0.000000+0
  1.698858+4 5.000000-1 4.606208-1 2.300000-2 0.000000+0 0.000000+0
  1.699305+4 5.000000-1 1.613178-3 2.300000-2 0.000000+0 0.000000+0
  1.701740+4 5.000000-1 1.566818+0 2.178573-2 0.000000+0 0.000000+0
  1.703344+4 5.000000-1 1.160077+0 2.137306-2 0.000000+0 0.000000+0
  1.704213+4 5.000000-1 2.004862-1 2.133746-2 0.000000+0 0.000000+0
  1.709089+4 5.000000-1 4.055948-3 2.300000-2 0.000000+0 0.000000+0
  1.710019+4 5.000000-1 2.288019-1 2.441640-2 0.000000+0 0.000000+0
  1.714552+4 5.000000-1 1.191145-1 2.183052-2 0.000000+0 0.000000+0
  1.715881+4 5.000000-1 8.377124-4 2.300000-2 0.000000+0 0.000000+0
  1.717379+4 5.000000-1 8.723750-2 2.476811-2 0.000000+0 0.000000+0
  1.721214+4 5.000000-1 3.746355-1 2.300000-2 0.000000+0 0.000000+0
  1.724222+4 5.000000-1 3.201898+0 2.300000-2 0.000000+0 0.000000+0
  1.728033+4 5.000000-1 2.438484-1 3.147662-2 0.000000+0 0.000000+0
  1.734571+4 5.000000-1 8.246542-2 1.948484-2 0.000000+0 0.000000+0
  1.735242+4 5.000000-1 3.485815-3 2.300000-2 0.000000+0 0.000000+0
  1.736615+4 5.000000-1 3.382364-1 1.872847-2 0.000000+0 0.000000+0
  1.742012+4 5.000000-1 5.382649-1 2.175344-2 0.000000+0 0.000000+0
  1.742557+4 5.000000-1 1.816965-1 1.842866-2 0.000000+0 0.000000+0
  1.745308+4 5.000000-1 1.198678+0 3.025614-2 0.000000+0 0.000000+0
  1.745629+4 5.000000-1 6.849445-1 2.059261-2 0.000000+0 0.000000+0
  1.747705+4 5.000000-1 1.303790-3 2.300000-2 0.000000+0 0.000000+0
  1.749926+4 5.000000-1 1.045212-1 1.982594-2 0.000000+0 0.000000+0
  1.752450+4 5.000000-1 3.483273-1 2.300000-2 0.000000+0 0.000000+0
  1.753081+4 5.000000-1 7.900502-1 2.300000-2 0.000000+0 0.000000+0
  1.755105+4 5.000000-1 2.354871-1 2.300000-2 0.000000+0 0.000000+0
  1.756847+4 5.000000-1 9.574910-2 2.300000-2 0.000000+0 0.000000+0
  1.758719+4 5.000000-1 1.009857+0 1.800000-2 0.000000+0 0.000000+0
  1.761249+4 5.000000-1 1.280100+0 2.300000-2 0.000000+0 0.000000+0
  1.763791+4 5.000000-1 6.012740-3 2.300000-2 0.000000+0 0.000000+0
  1.765307+4 5.000000-1 6.872944-2 2.300000-2 0.000000+0 0.000000+0
  1.767861+4 5.000000-1 8.589860-2 2.300000-2 0.000000+0 0.000000+0
  1.772980+4 5.000000-1 3.873233-1 2.300000-2 0.000000+0 0.000000+0
  1.775338+4 5.000000-1 7.826873-4 2.300000-2 0.000000+0 0.000000+0
  1.776814+4 5.000000-1 2.749337-1 4.500000-2 0.000000+0 0.000000+0
  1.777977+4 5.000000-1 1.591435+0 1.700000-2 0.000000+0 0.000000+0
  1.778546+4 5.000000-1 3.292855-3 2.300000-2 0.000000+0 0.000000+0
  1.780530+4 5.000000-1 4.668379-1 2.300000-2 0.000000+0 0.000000+0
  1.781114+4 5.000000-1 7.684743-1 2.300000-2 0.000000+0 0.000000+0
  1.784290+4 5.000000-1 5.019894-3 2.300000-2 0.000000+0 0.000000+0
  1.787295+4 5.000000-1 4.102307-1 2.300000-2 0.000000+0 0.000000+0
  1.791358+4 5.000000-1 1.291966+0 2.300000-2 0.000000+0 0.000000+0
  1.792663+4 5.000000-1 1.165825-2 2.300000-2 0.000000+0 0.000000+0
  1.794490+4 5.000000-1 8.598060-1 2.300000-2 0.000000+0 0.000000+0
  1.795294+4 5.000000-1 1.857592+0 2.300000-2 0.000000+0 0.000000+0
  1.795995+4 5.000000-1 9.955257-3 2.300000-2 0.000000+0 0.000000+0
  1.799427+4 5.000000-1 4.692687-1 1.200000-2 0.000000+0 0.000000+0
  1.802155+4 5.000000-1 8.233879-2 2.300000-2 0.000000+0 0.000000+0
  1.802813+4 5.000000-1 3.026717-2 2.300000-2 0.000000+0 0.000000+0
  1.804426+4 5.000000-1 1.423639+0 2.499374-2 0.000000+0 0.000000+0
  1.805848+4 5.000000-1 3.716093-3 2.300000-2 0.000000+0 0.000000+0
  1.807391+4 5.000000-1 4.984339-2 2.586522-2 1.960000-4 0.000000+0
  1.808885+4 5.000000-1 3.105594-3 2.300000-2 0.000000+0 1.960000-4
  1.811906+4 5.000000-1 5.621480-2 2.300000-2 0.000000+0 0.000000+0
  1.813766+4 5.000000-1 4.487760-1 2.481748-2 0.000000+0 0.000000+0
  1.815222+4 5.000000-1 2.700119-1 2.596302-2 0.000000+0 0.000000+0
  1.816740+4 5.000000-1 1.259762-2 2.300000-2 0.000000+0 0.000000+0
  1.819506+4 5.000000-1 4.099491-1 2.300000-2 0.000000+0 0.000000+0
  1.822886+4 5.000000-1 2.254300-1 2.300000-2 0.000000+0 0.000000+0
  1.824692+4 5.000000-1 1.248993-1 2.300000-2 0.000000+0 0.000000+0
  1.829773+4 5.000000-1 2.742879-1 2.300000-2 0.000000+0 0.000000+0
  1.833318+4 5.000000-1 2.519740-1 2.300000-2 0.000000+0 0.000000+0
  1.835382+4 5.000000-1 1.969332+0 2.300000-2 0.000000+0 0.000000+0
  1.844408+4 5.000000-1 1.338129-1 1.800000-2 0.000000+0 0.000000+0
  1.846406+4 5.000000-1 2.772988-3 2.300000-2 0.000000+0 0.000000+0
  1.851971+4 5.000000-1 1.095527-1 2.300000-2 0.000000+0 0.000000+0
  1.852058+4 5.000000-1 5.784474-3 2.300000-2 0.000000+0 0.000000+0
  1.857005+4 5.000000-1 2.242993-2 2.300000-2 0.000000+0 0.000000+0
  1.859329+4 5.000000-1 4.739782-1 2.300000-2 0.000000+0 0.000000+0
  1.860016+4 5.000000-1 4.938009-1 2.300000-2 0.000000+0 0.000000+0
  1.862620+4 5.000000-1 6.007640-1 2.300000-2 0.000000+0 0.000000+0
  1.864975+4 5.000000-1 2.133133-1 2.300000-2 0.000000+0 0.000000+0
  1.866718+4 5.000000-1 6.043624-1 2.300000-2 0.000000+0 0.000000+0
  1.867975+4 5.000000-1 2.081735-3 2.300000-2 0.000000+0 0.000000+0
  1.869163+4 5.000000-1 1.293892-1 2.300000-2 0.000000+0 0.000000+0
  1.872456+4 5.000000-1 5.296780-1 2.300000-2 0.000000+0 0.000000+0
  1.874633+4 5.000000-1 1.108827-2 2.300000-2 0.000000+0 0.000000+0
  1.876771+4 5.000000-1 8.213035-2 2.442780-2 0.000000+0 0.000000+0
  1.878614+4 5.000000-1 2.248614-2 2.300000-2 0.000000+0 0.000000+0
  1.879616+4 5.000000-1 3.711874-1 1.973466-2 0.000000+0 0.000000+0
  1.884247+4 5.000000-1 2.364723-1 1.948323-2 0.000000+0 0.000000+0
  1.885256+4 5.000000-1 1.421314-1 1.458169-2 0.000000+0 0.000000+0
  1.889442+4 5.000000-1 6.105083-2 1.772290-2 0.000000+0 0.000000+0
  1.889641+4 5.000000-1 1.000711-2 2.300000-2 0.000000+0 0.000000+0
  1.892236+4 5.000000-1 6.700851-1 2.150000-2 0.000000+0 0.000000+0
  1.892935+4 5.000000-1 5.984994-1 1.822607-2 0.000000+0 0.000000+0
  1.896279+4 5.000000-1 1.107499-2 2.300000-2 0.000000+0 0.000000+0
  1.897821+4 5.000000-1 5.579904-3 2.300000-2 0.000000+0 0.000000+0
  1.900541+4 5.000000-1 6.881123-3 2.300000-2 0.000000+0 0.000000+0
  1.901085+4 5.000000-1 3.503295-1 2.300000-2 0.000000+0 0.000000+0
  1.902690+4 5.000000-1 4.759806-2 3.159857-2 0.000000+0 0.000000+0
  1.905443+4 5.000000-1 2.137285-2 1.287770-2 0.000000+0 0.000000+0
  1.907332+4 5.000000-1 9.985209-2 2.300000-2 0.000000+0 0.000000+0
  1.907700+4 5.000000-1 3.062529-1 2.300000-2 0.000000+0 0.000000+0
  1.909893+4 5.000000-1 1.259367-2 2.300000-2 0.000000+0 0.000000+0
  1.912507+4 5.000000-1 2.450459-1 2.903800-2 0.000000+0 0.000000+0
  1.913187+4 5.000000-1 1.444064-1 1.888700-2 0.000000+0 0.000000+0
  1.917642+4 5.000000-1 6.165386-2 3.558711-2 0.000000+0 0.000000+0
  1.919623+4 5.000000-1 2.865969-1 2.300000-2 0.000000+0 0.000000+0
  1.922399+4 5.000000-1 5.180836-1 2.300000-2 0.000000+0 0.000000+0
  1.922483+4 5.000000-1 2.973316-4 2.300000-2 0.000000+0 0.000000+0
  1.925959+4 5.000000-1 6.556659-1 2.300000-2 0.000000+0 0.000000+0
  1.927859+4 5.000000-1 1.325328-1 2.300000-2 0.000000+0 0.000000+0
  1.928675+4 5.000000-1 9.332680-3 2.300000-2 0.000000+0 0.000000+0
  1.929781+4 5.000000-1 1.655781-1 2.300000-2 0.000000+0 0.000000+0
  1.930677+4 5.000000-1 4.718976-3 2.300000-2 0.000000+0 0.000000+0
  1.931532+4 5.000000-1 3.019197-1 2.300000-2 0.000000+0 0.000000+0
  1.932095+4 5.000000-1 2.239412-3 2.300000-2 0.000000+0 0.000000+0
  1.934538+4 5.000000-1 3.068954-3 2.300000-2 0.000000+0 0.000000+0
  1.936461+4 5.000000-1 3.113732-1 2.300000-2 0.000000+0 0.000000+0
  1.943609+4 5.000000-1 5.058928-2 1.297200-2 0.000000+0 0.000000+0
  1.949654+4 5.000000-1 7.347389-1 2.112500-2 0.000000+0 0.000000+0
  1.950623+4 5.000000-1 5.496197-3 2.300000-2 0.000000+0 0.000000+0
  1.952738+4 5.000000-1 1.421845-1 1.301319-2 0.000000+0 0.000000+0
  1.953557+4 5.000000-1 9.400101-2 2.320300-2 0.000000+0 0.000000+0
  1.957312+4 5.000000-1 8.073506-2 3.746381-2 0.000000+0 0.000000+0
  1.959829+4 5.000000-1 1.064709-1 3.593720-2 0.000000+0 0.000000+0
  1.966921+4 5.000000-1 1.187737+0 2.300000-2 0.000000+0 0.000000+0
  1.969280+4 5.000000-1 1.326386-2 2.300000-2 0.000000+0 0.000000+0
  1.977654+4 5.000000-1 1.551089-1 1.916374-2 0.000000+0 0.000000+0
  1.981371+4 5.000000-1 2.789044-3 2.300000-2 0.000000+0 0.000000+0
  1.982796+4 5.000000-1 4.474880-2 2.153979-2 0.000000+0 0.000000+0
  1.985328+4 5.000000-1 1.058285+0 2.300000-2 0.000000+0 0.000000+0
  1.986540+4 5.000000-1 8.734678-3 2.450390-2 0.000000+0 0.000000+0
  1.991008+4 5.000000-1 8.087268-1 2.002527-2 0.000000+0 0.000000+0
  1.992068+4 5.000000-1 1.122026-3 2.300000-2 0.000000+0 0.000000+0
  1.994309+4 5.000000-1 1.362035+0 2.032305-2 0.000000+0 0.000000+0
  1.995253+4 5.000000-1 2.529155-3 2.300000-2 0.000000+0 0.000000+0
  1.998530+4 5.000000-1 2.132415-1 2.619487-2 0.000000+0 0.000000+0
  2.000895+4 5.000000-1 1.947255+0 2.300000-2 0.000000+0 0.000000+0
  2.002445+4 5.000000-1 7.114126-1 2.300000-2 0.000000+0 0.000000+0
  2.003658+4 5.000000-1 1.617239+0 2.300000-2 0.000000+0 0.000000+0
  2.009290+4 5.000000-1 1.016504+0 2.300000-2 0.000000+0 0.000000+0
  2.012000+4 5.000000-1 7.876800-2 2.300000-2 0.000000+0 0.000000+0
  2.017500+4 5.000000-1 4.742300-1 2.300000-2 0.000000+0 0.000000+0
  2.440525+4 5.000000-1 2.900960+2 2.300000-2 0.000000+0 0.000000+0
 
