8-O-16(n,elastic) ENDF/B-VII.1
7172500.0,0.847255
7177500.0,0.903715
7182500.0,0.991363
7200000.0,1.37663
7210000.0,1.31958
7230000.0,1.11875
7245000.0,1.00803
7250000.0,0.979621
7290000.0,0.948575
7300000.0,0.94607
7330000.0,1.02769
7360000.0,0.91812
7370000.0,0.811305
7380000.0,0.932997
7440000.0,0.838245
7487500.0,0.78644
7500000.0,0.777931
7525000.0,0.804175
7550000.0,0.801557
7565600.0,0.806545
7600000.0,0.78881
7742500.0,0.93142
7825000.0,0.958804
7860000.0,0.994329
7880000.0,0.959368
7938750.0,0.71057
7960000.0,0.617655
7980000.0,0.562451
8000000.0,0.536778
8040000.0,0.558698
8067500.0,0.61073
8150000.0,0.780502
8212500.0,0.83557
8240000.0,0.849218
8300000.0,0.807854
8387500.0,0.67541
8520000.0,0.585425
8540000.0,0.584117
8587500.0,0.605265
8620000.0,0.645989
8687500.0,0.785185
8732500.0,0.87471
8760000.0,0.893541
8790000.0,0.86561
8910000.0,0.65946
8920000.0,0.649106
8950000.0,0.653737
8960000.0,0.678661
8987000.0,0.686245
9022500.0,0.744845
9045000.0,0.832605
9050000.0,0.8464
9075000.0,0.768318
9200000.0,0.615908
9248000.0,0.600208
9300000.0,0.619281
9375000.0,0.71354
9400000.0,0.719961
9431500.0,0.691043
9525000.0,0.682242
9612500.0,0.698675
9725000.0,0.734072
9775000.0,0.729596
9825000.0,0.744082
9887500.0,0.70887
9900000.0,0.706635
9962500.0,0.722275
1.0075E7,0.770615
1.019E7,0.823497
1.0202E7,0.825485
1.03E7,0.791653
1.04E7,0.722387
1.0465E7,0.70806
1.0528E7,0.710318
1.06335E7,0.688575
1.0667E7,0.686532
1.071E7,0.705529
1.072E7,0.679565
1.073E7,0.624292
1.0775E7,0.720305
1.084E7,0.80632
1.085E7,0.810786
1.088E7,0.807726
1.093E7,0.83626
1.097E7,0.979873
1.1009E7,0.99653
1.1125E7,1.1267
1.115E7,1.14607
1.1225E7,1.0676
1.135E7,0.930175
1.14E7,0.899513
1.1475E7,0.92494
1.16215E7,1.00325
1.1643E7,1.00599
1.17E7,1.00171
1.17395E7,1.00518
1.18E7,1.07367
1.19E7,1.04234
1.197E7,1.05014
1.205E7,0.990589
1.2161E7,0.879095
1.22E7,0.867828
1.23E7,0.889138
1.245E7,0.876252
1.25E7,0.876952
1.27E7,0.840145
1.2775E7,0.875732
1.28962E7,0.973502
1.29E7,0.974108
1.2975E7,0.939142
1.305E7,0.894958
1.31E7,0.893529
1.32E7,0.909532
1.32247E7,0.909043
1.325E7,0.909214
1.33E7,0.904338
1.35E7,0.923493
1.355E7,0.921352
1.365E7,0.952409
1.374E7,1.00823
1.377E7,0.997936
1.381E7,1.01654
1.405E7,0.935987
1.435E7,0.973022
1.45E7,0.961365
1.475E7,1.00154
1.4935E7,1.03783
1.502E7,1.0446
1.5175E7,0.966942
1.5255E7,0.920391
1.54E7,0.875954
1.56E7,0.898087
1.575E7,0.922594
1.5925E7,0.89488
1.6E7,0.856828
1.61E7,0.843856
1.64E7,0.928131
1.65E7,0.9413
1.66516E7,0.923121
1.69E7,0.973306
1.71845E7,1.06108
1.72502E7,1.06563
1.7435E7,1.05996
1.7488E7,1.06009
1.75E7,1.06007
1.7845E7,1.06844
1.83E7,1.01574
1.85E7,1.03402
1.86E7,1.02627
1.885E7,1.07964
1.9E7,1.11183
1.91E7,1.10346
1.92E7,1.10751
1.9401E7,1.07381
1.965E7,0.997829
1.97E7,0.991479
2.01482E7,1.00741
2.065E7,1.0554
2.082E7,1.05547
2.095E7,1.05504
2.125E7,1.06334
2.23E7,1.0288
2.335E7,0.995682
2.365E7,0.99989
2.4E7,0.98936
2.515E7,1.0187
2.545E7,1.01542
2.635E7,1.02997
2.785E7,1.02128
2.9E7,1.03294
2.935E7,1.0317
2.995E7,1.04283
4.1E7,0.955865
5.7E7,0.717573
6.9E7,0.582559
8.2E7,0.475777
9.0E7,0.421
1.01E8,0.333215
1.11E8,0.275301
1.24E8,0.223882
1.5E8,0.148001
