40-Zr-90(n,elastic) ENDF/B-VII.1
26500.9,7.0384
26511.0,7.59755
26517.2,8.29182
26521.4,9.14309
26524.9,10.3735
26527.6,11.9996
26529.6,13.9719
26531.2,16.6106
26532.7,20.1073
26534.0,24.5595
26535.3,30.8069
26536.6,39.297
26538.1,52.3735
26542.2,96.2234
26543.7,107.349
26545.0,111.043
26546.5,107.098
26548.1,95.5869
26552.2,51.8855
26553.6,40.1671
26554.9,31.8755
26556.2,25.751
26557.5,21.3533
26558.8,18.2268
26560.4,15.4211
26562.4,13.2903
26565.1,11.5009
26568.6,10.1176
26572.8,9.13892
26579.0,8.32338
26589.1,7.65981
26603.8,7.2328
26634.7,6.9098
26753.8,6.68638
28713.6,6.41132
28786.2,6.51403
28793.1,6.67776
28796.6,7.04691
28798.3,7.59921
28799.8,8.58969
28801.0,10.0271
28802.3,12.2388
28803.7,15.7197
28805.8,22.8347
28807.6,28.7379
28809.0,31.7034
28810.0,32.438
28811.2,31.433
28812.7,28.0161
28816.2,16.1413
28817.4,12.9583
28818.6,10.7526
28819.7,9.21325
28821.0,8.0545
28822.7,7.28162
28824.5,6.93033
28827.9,6.67421
28844.4,6.46347
33322.7,5.73713
34282.4,5.30442
34674.1,4.85801
34889.5,4.33477
35007.1,3.80649
35085.4,3.23219
35134.4,2.70022
35173.5,2.11581
35202.9,1.54574
35228.1,0.952318
35251.9,0.352202
35258.2,0.211416
35262.1,0.138032
35264.9,0.0954063
35267.0,0.0688852
35268.5,0.0547276
35269.7,0.0457984
35270.8,0.0402444
35271.9,0.0372794
35272.7,0.0368635
35273.7,0.0385902
35274.6,0.0425437
35275.7,0.0502892
35276.8,0.0617065
35277.9,0.0786622
35279.2,0.102154
35280.5,0.13542
35282.0,0.181639
35283.6,0.244939
35285.4,0.337582
35287.2,0.454562
35289.3,0.621715
35291.5,0.846343
35293.7,1.13003
35296.2,1.52984
35298.6,2.03948
35301.3,2.75912
35304.0,3.68935
35306.7,4.88775
35309.4,6.4269
35312.3,8.60017
35315.3,11.4252
35318.2,15.0615
35321.6,20.4545
35325.1,27.6416
35330.2,40.6255
35337.1,59.2626
35341.5,67.8565
35345.9,71.2574
35346.5,71.3061
35351.2,68.8167
35361.2,55.024
35369.9,43.5993
35378.7,35.1951
35388.0,29.1053
35397.8,24.6965
35410.0,20.939
35425.2,17.8534
35445.8,15.1875
35472.2,13.0741
35500.6,11.6428
35549.6,10.1514
35614.2,9.0509
35712.1,8.14605
35868.8,7.41477
36162.6,6.79428
36789.3,6.26356
38949.5,5.50327
39319.0,5.43552
39483.6,5.54365
39510.6,5.74693
39520.7,6.05971
39524.6,6.47631
39527.0,7.15658
39528.4,7.91644
39529.7,8.97704
39531.3,10.7669
39533.2,13.8815
39536.7,20.1659
39538.5,22.2701
39539.5,22.5877
39541.2,21.6743
39543.1,18.7861
39546.8,11.3433
39548.4,8.86351
39549.7,7.42003
39550.8,6.5232
39552.4,5.7638
39554.1,5.34002
39556.8,5.10679
39560.5,5.07359
39615.8,5.25406
39975.1,5.56148
40083.4,5.9168
40137.5,6.31499
40173.6,6.78513
40209.6,7.61845
40235.2,8.6657
40254.0,9.92397
40269.0,11.4755
40282.2,13.5185
40293.8,16.2202
40304.4,19.837
40313.0,24.1075
40320.9,29.4951
40328.8,36.7527
40338.9,49.0618
40349.2,62.4779
40355.2,67.9823
40360.4,69.6447
40366.6,67.264
40375.6,57.5981
40389.8,39.7805
40398.6,31.5023
40407.7,25.2085
40416.9,20.7612
40428.0,17.0778
40441.2,14.1948
40456.2,12.0706
40471.3,10.679
40495.3,9.30166
40522.4,8.42623
40558.5,7.81095
