11-Na-23(n,elastic) ENDF/B-VII.1
1500800.0,2.221
1515400.0,1.97605
1537000.0,1.91346
1540400.0,1.93337
1543800.0,2.03192
1549900.0,1.90051
1556980.0,1.9469
1560200.0,2.23851
1562500.0,1.97481
1566000.0,1.9725
1569500.0,1.97338
1575100.0,2.0639
1583780.0,2.35478
1587900.0,2.55989
1593180.0,3.04068
1597450.0,3.58345
1601400.0,4.2457
1603200.0,4.42026
1608480.0,3.75402
1610500.0,3.43557
1615700.0,2.84378
1619500.0,2.58099
1630900.0,2.23034
1633150.0,2.37392
1633900.0,2.3975
1636350.0,2.27588
1638800.0,2.07098
1641500.0,1.97468
1650500.0,1.86962
1665100.0,1.82044
1674800.0,1.67944
1677500.0,1.41788
1679800.0,1.28824
1681590.0,1.58157
1683900.0,2.01623
1693800.0,2.33286
1696500.0,2.37065
1703920.0,2.25436
1706400.0,2.23442
1711400.0,2.41823
1719600.0,2.98943
1721020.0,2.85992
1723400.0,2.80736
1735700.0,2.85541
1739000.0,2.84362
1741500.0,2.84521
1757300.0,2.4027
1758200.0,2.40283
1760300.0,2.54518
1762500.0,2.32052
1767900.0,2.03983
1769800.0,2.20518
1773700.0,1.84072
1783400.0,1.7714
1785200.0,1.83314
1787000.0,2.00551
1789200.0,1.92645
1791300.0,2.05982
1796100.0,2.13438
1798300.0,2.28762
1799500.0,2.48319
1801600.0,3.23298
1801900.0,3.31869
1802840.0,3.09603
1803400.0,2.67571
1804000.0,2.44263
1808600.0,2.299
1830950.0,1.92925
1838100.0,1.85545
1851950.0,1.741
1871100.0,1.476
1881850.0,1.32225
1884400.0,1.29808
1890000.0,1.35035
1895600.0,1.46525
1901220.0,1.46368
1901660.0,1.50539
1903500.0,1.79145
1907050.0,1.49958
1911700.0,1.41107
1914100.0,1.51918
1918400.0,1.4233
1922600.0,1.39254
1928100.0,1.71384
1931400.0,2.05546
1932510.0,2.49337
1933300.0,2.95483
1933600.0,3.19151
1934800.0,2.90826
1936000.0,2.33238
1937500.0,2.1079
1939300.0,2.04822
1953000.0,2.20575
1956900.0,2.4992
1961500.0,2.65853
1966600.0,2.63515
1969400.0,2.97271
1973800.0,2.51026
1978200.0,2.23153
1988200.0,2.12936
1996400.0,2.12456
2015000.0,2.33862
2020000.0,2.71471
2026900.0,2.46791
2030100.0,2.47284
2033200.0,2.47257
2044600.0,2.62628
2047300.0,2.53234
2051900.0,2.55956
2055500.0,2.67943
2068300.0,2.70374
2079700.0,2.66044
2084200.0,2.68308
2089700.0,2.8062
2096500.0,2.8115
2107600.0,2.96355
2109200.0,3.00334
2119100.0,2.77119
2122400.0,2.67191
2125600.0,2.45319
2132000.0,2.37081
2136500.0,2.09189
2138500.0,2.08686
2143200.0,2.12897
2150400.0,2.37416
2154750.0,2.49855
2161100.0,2.55374
2177900.0,2.1741
2190200.0,2.15594
2196110.0,2.30965
2200700.0,2.78849
2202500.0,2.88504
2205900.0,2.53992
2209300.0,2.14413
2216600.0,2.01352
2221200.0,2.52165
2225440.0,2.13483
2233800.0,1.92432
2238500.0,1.89344
2241900.0,1.97014
2245300.0,2.26908
2251200.0,1.91039
2255800.0,1.95958
2260800.0,1.89224
2265300.0,2.14769
2268500.0,2.24334
2270800.0,2.48304
2274550.0,2.3112
2292150.0,2.1444
2310400.0,2.11951
2313500.0,2.36964
2319000.0,2.13161
2324500.0,1.96786
2335400.0,1.88996
2343580.0,2.01245
2346300.0,2.09246
2362200.0,2.16059
2398800.0,2.49624
2415300.0,2.88732
2419000.0,2.79192
2422700.0,2.60834
2426200.0,2.71787
2437450.0,2.62855
2438700.0,2.59841
2443200.0,2.66637
2454100.0,2.5713
2458220.0,2.96162
2459600.0,3.07235
2466510.0,2.44371
2476600.0,2.3252
2497500.0,2.2794
2503500.0,2.24762
2515460.0,2.31433
2520900.0,2.64988
2524900.0,3.05736
2527150.0,2.80581
2529400.0,2.68654
2533400.0,2.1747
2538400.0,2.40872
2543800.0,2.13255
2548300.0,1.95526
2560300.0,1.90347
2568300.0,2.96443
2570440.0,2.43557
2573200.0,1.98366
2579700.0,1.79282
2585200.0,1.74617
2594260.0,1.90125
2599700.0,2.34146
2601300.0,2.0794
2606100.0,1.85719
2625300.0,1.77475
2637000.0,1.76044
2654000.0,2.08245
2671900.0,1.76117
2676400.0,1.86117
2684400.0,1.82812
2697300.0,1.49778
2703680.0,1.85937
2714300.0,1.99926
2718800.0,1.93981
2727200.0,2.16251
2731700.0,2.17097
2740950.0,1.91854
2750200.0,1.79468
2785000.0,1.63295
2815850.0,1.95035
2819900.0,1.97221
2830450.0,1.87808
2841000.0,1.70753
2845900.0,1.82954
2860500.0,1.71949
2883300.0,1.7518
2894600.0,1.66216
2908180.0,1.71902
2924700.0,1.94535
2941800.0,1.47401
2952300.0,1.63451
2972600.0,1.7074
2981600.0,1.57606
3003500.0,1.61465
3032800.0,1.24046
3043300.0,1.21502
3064500.0,0.920362
3076700.0,0.842938
3092100.0,0.83854
3112400.0,1.06987
3144100.0,1.32046
3155500.0,1.59673
3166800.0,1.38351
3176600.0,1.68869
3182300.0,1.74798
3195300.0,1.39381
3208300.0,1.27285
3224500.0,1.48389
3253000.0,1.44327
3261900.0,1.57779
3267600.0,1.58029
3280390.0,1.37298
3307000.0,1.1764
3312300.0,1.14792
3324500.0,1.22802
3347200.0,1.66374
3360200.0,1.58769
3371600.0,1.84135
3380480.0,1.80449
3391900.0,1.49642
3404100.0,1.34916
3416300.0,1.39608
3446400.0,1.23828
3483700.0,1.55029
3494300.0,1.51595
3517000.0,1.53402
3545200.0,1.79423
3556000.0,1.80337
3576310.0,1.46707
3588500.0,1.33058
3636200.0,1.4541
3650300.0,1.65114
3662200.0,1.44113
3677400.0,1.51521
3691400.0,1.74349
3705500.0,1.82243
3712000.0,1.58361
3731500.0,1.77428
3745060.0,1.38931
3753200.0,1.35245
3767300.0,1.55865
3784700.0,1.41008
3796500.0,1.42593
3809500.0,1.27874
3838800.0,1.29394
3847500.0,1.00717
3856420.0,1.01938
3871300.0,1.26867
3888600.0,0.899742
3907000.0,0.996873
3914600.0,1.27734
3930900.0,1.12381
3963400.0,1.42327
3986100.0,1.37824
4005600.0,1.41118
4015400.0,1.27107
4025100.0,1.35051
4056600.0,1.04557
4065200.0,1.0209
4085510.0,1.38564
4089580.0,1.43383
4097700.0,1.45092
4153000.0,0.773711
4172460.0,0.898476
4183280.0,1.06364
4187600.0,1.13451
4206100.0,1.58363
4212600.0,1.62996
4236400.0,1.28698
4254800.0,1.34078
4272200.0,1.29493
4284100.0,1.48213
4298200.0,1.50237
4316600.0,1.70132
4343380.0,1.34041
4352300.0,1.3228
4361000.0,1.45716
4370700.0,1.35493
4395700.0,1.35513
4425100.0,1.15431
4456900.0,1.02544
4486300.0,1.00867
4535300.0,0.824523
4577040.0,1.23722
4583000.0,1.30466
4592800.0,1.28756
4602600.0,1.21385
4628720.0,1.2226
4640600.0,1.36445
4669350.0,1.25368
4698100.0,1.02301
4707900.0,1.0171
4719520.0,1.0943
4731150.0,1.11781
4754400.0,1.12619
4777700.0,1.23808
4817190.0,1.21007
4883000.0,1.09685
4952800.0,1.05587
4971100.0,0.945796
5002900.0,0.893304
5016380.0,0.960697
5056800.0,0.974144
5074000.0,1.06142
5104600.0,1.0209
5136400.0,1.05306
5160900.0,1.22709
5171900.0,1.20062
5182900.0,1.10254
5238020.0,1.29413
5260080.0,1.31861
5271100.0,1.32033
5290650.0,1.07027
5310200.0,1.01527
5329800.0,1.12527
5349400.0,1.08931
5361950.0,1.15528
5399600.0,1.17567
5421650.0,1.01943
5443700.0,0.979936
5460200.0,1.35293
5465700.0,1.445
5484100.0,1.05762
5496300.0,1.07602
5513800.0,0.840314
5528900.0,0.937521
5542400.0,1.12101
5564200.0,1.08394
5586000.0,1.21019
5606200.0,1.23297
5633050.0,1.06765
5659900.0,0.996351
5952100.0,0.890778
5968900.0,0.963211
5987400.0,0.810165
6009200.0,0.804366
6047800.0,0.999057
6064600.0,1.00484
6078100.0,0.822225
6128400.0,0.976766
6140200.0,1.17083
6158700.0,1.21424
6179260.0,1.1391
6205700.0,0.926967
6229200.0,1.00403
6250000.0,0.998108
6264500.0,1.00512
6304800.0,0.872547
6333300.0,0.992476
6357650.0,0.819992
6382000.0,0.732078
6405500.0,0.724331
6419000.0,0.823045
6430000.0,0.821095
6464300.0,0.831164
6487800.0,0.743423
6519450.0,0.948237
6545100.0,1.07705
6565100.0,1.09102
6585690.0,0.946615
6592550.0,0.912894
6669200.0,0.846967
6717900.0,0.707664
6725000.0,0.709382
6769900.0,0.705323
6791800.0,0.833495
6820300.0,0.912104
6834990.0,0.85331
6867300.0,0.580953
6899200.0,0.754649
6942900.0,0.703091
6960000.0,0.70542
6989900.0,0.703731
7018300.0,0.770052
7050200.0,0.766432
7075200.0,0.608293
7100760.0,0.797489
7116100.0,0.823322
7143400.0,0.554836
7166200.0,0.649635
7184400.0,0.576846
7207200.0,0.79381
7243600.0,0.625708
7266300.0,0.760026
7300000.0,0.734372
7375000.0,0.644904
7418700.0,0.606875
7482400.0,0.746987
7512000.0,0.794255
7568900.0,0.715711
7628100.0,0.791227
7664050.0,0.772977
7716800.0,0.670315
7775900.0,0.639548
7810100.0,0.57728
7867000.0,0.783663
7896000.0,0.720027
7989800.0,0.606968
8028200.0,0.727875
8092200.0,0.74105
8187800.0,0.554139
8219600.0,0.537072
8253700.0,0.619326
8322000.0,0.48631
8356100.0,0.61478
8375000.0,0.614303
8400000.0,0.614895
8420000.0,0.613601
8537500.0,0.6279
8600000.0,0.643483
8650000.0,0.635324
8750000.0,0.644891
8775000.0,0.641912
8831600.0,0.650393
8910000.0,0.582092
8979500.0,0.557099
9082000.0,0.598012
9264000.0,0.534492
9433900.0,0.645987
9650000.0,0.623805
9850000.0,0.637893
9943750.0,0.635641
1.005E7,0.568033
1.015E7,0.554512
1.0963E7,0.66191
1.1E7,0.662499
1.19E7,0.658201
1.4355E7,0.76514
1.7E7,0.88712
2.0E7,1.0092
