E(MeV)  pendfb7/U238:2
6.7522725e-06  147.696626
6.75433764e-06  140.330042
6.7569382e-06  131.601058
6.75953875e-06  123.469426
6.76213931e-06  115.91681
6.76473986e-06  108.921266
6.76734042e-06  102.457816
6.76994097e-06  96.4994127
6.77254152e-06  91.0174441
6.77460666e-06  86.9839882
6.77690127e-06  82.8147972
6.77919588e-06  78.9547457
6.78149048e-06  75.3836618
6.78378509e-06  72.0817629
6.78607969e-06  69.0299164
6.7883743e-06  66.2096477
6.79066891e-06  63.6033331
6.79372838e-06  60.4322452
6.79678786e-06  57.5746895
6.79984733e-06  54.9965819
6.80290681e-06  52.6668505
6.80596628e-06  50.5574426
6.80902576e-06  48.6431458
6.81208523e-06  46.9014852
6.81514471e-06  45.3124867
6.81820418e-06  43.8585205
6.82279339e-06  41.8973051
6.82631179e-06  40.5479409
6.83158939e-06  38.7352219
6.83686698e-06  37.1354137
6.84214458e-06  35.7116277
6.84742217e-06  34.4347381
6.85285274e-06  33.2498736
6.85858925e-06  32.1185666
6.86623794e-06  30.7711851
6.87388663e-06  29.5769059
6.88153532e-06  28.5096941
6.89071375e-06  27.3687543
6.89989217e-06  26.3551476
6.9090706e-06  25.4481511
6.91824902e-06  24.6314654
6.93048692e-06  23.6608461
6.94195996e-06  22.8541053
6.95343299e-06  22.1311898
6.96873037e-06  21.2764739
6.98402775e-06  20.5256098
6.99932512e-06  19.8607283
7.0146225e-06  19.2678501
7.02991987e-06  18.735877
7.05286593e-06  18.0330507
7.075812e-06  17.4240659
7.09875807e-06  16.8913167
7.12354351e-06  16.386057
7.15200772e-06  15.8793932
7.18047193e-06  15.4369841
7.21641697e-06  14.9524108
7.25610241e-06  14.4944004
7.29578785e-06  14.1006601
7.33891287e-06  13.7309177
7.38203788e-06  13.4099389
7.43781291e-06  13.0525012
7.49186293e-06  12.7556232
7.56488795e-06  12.4148355
7.65688799e-06  12.060758
7.75808803e-06  11.7428412
7.87078808e-06  11.4531661
7.98578813e-06  11.2089738
8.13528819e-06  10.9481553
8.30745021e-06  10.7048296
8.48285077e-06  10.5018109
8.72220713e-06  10.275758
9.0930843e-06  10.0025351
9.57233527e-06  9.73333645
