E(MeV)  pendfb7/Zr90:102
3.89981e-10  0.627886967
4.01678e-10  0.618676958
4.13719e-10  0.609607639
4.26128e-10  0.600665727
4.38901e-10  0.591860463
4.52066e-10  0.58317901
4.65617e-10  0.574629944
4.79583e-10  0.56620126
4.93959e-10  0.557901041
5.08775e-10  0.549717735
5.24026e-10  0.541659152
5.39744e-10  0.533714032
5.55923e-10  0.525890096
5.72598e-10  0.518176264
5.89762e-10  0.510580113
6.07452e-10  0.503090756
6.25661e-10  0.495715833
6.44427e-10  0.488444631
6.63744e-10  0.481284281
6.83653e-10  0.474224753
7.04146e-10  0.46727286
7.25267e-10  0.46041874
7.47007e-10  0.45366934
7.69413e-10  0.447014954
7.92477e-10  0.440461846
8.16247e-10  0.434001134
8.40715e-10  0.427638848
8.65932e-10  0.42136612
8.91889e-10  0.415189151
9.18641e-10  0.409099011
9.46178e-10  0.40310189
9.74558e-10  0.397189099
1.003771e-09  0.391366511
1.033879e-09  0.385625836
1.064871e-09  0.379972772
1.096811e-09  0.374399176
1.129689e-09  0.368910724
1.163573e-09  0.363499447
1.198452e-09  0.358170713
1.234399e-09  0.352916991
1.271402e-09  0.347743363
1.309537e-09  0.342642496
1.348791e-09  0.33761957
1.389247e-09  0.332667311
1.430892e-09  0.327790501
1.47381e-09  0.322982391
1.517989e-09  0.318247571
1.563521e-09  0.313579349
1.610389e-09  0.30898245
1.658691e-09  0.304450205
1.708412e-09  0.299987053
1.759655e-09  0.29558673
1.812403e-09  0.291253526
1.866765e-09  0.286981259
1.922723e-09  0.282774247
1.980394e-09  0.278626361
2.039758e-09  0.274541811
2.100939e-09  0.270514722
2.163917e-09  0.266549033
2.228823e-09  0.262639132
2.295634e-09  0.258788936
2.36449e-09  0.254992881
2.435368e-09  0.251254746
2.508415e-09  0.247569221
2.583608e-09  0.243939885
2.661102e-09  0.240361609
2.740871e-09  0.236837969
2.823082e-09  0.233363866
2.907706e-09  0.229942797
2.994921e-09  0.226569857
3.084697e-09  0.223248352
3.177221e-09  0.219973583
3.272461e-09  0.216748789
3.370617e-09  0.213569352
3.471655e-09  0.210438433
3.575785e-09  0.20735155
3.682973e-09  0.204311776
3.793441e-09  0.201314768
3.907154e-09  0.198363472
4.024346e-09  0.19545371
4.14498e-09  0.192588327
4.269306e-09  0.189763272
4.397283e-09  0.186981301
4.529177e-09  0.184238481
4.664944e-09  0.181537498
4.804866e-09  0.178874522
4.948897e-09  0.17625217
5.097336e-09  0.173666716
5.250134e-09  0.171120701
5.407609e-09  0.168610504
5.569708e-09  0.166138613
5.736768e-09  0.16370149
5.908733e-09  0.161301561
6.085962e-09  0.158935394
6.268395e-09  0.156605326
6.456412e-09  0.15430804
6.649949e-09  0.152045811
6.849411e-09  0.149815407
7.054729e-09  0.147619043
7.266331e-09  0.145453583
7.484147e-09  0.143321163
7.70863e-09  0.141218753
7.939704e-09  0.139148433
8.17785e-09  0.137107253
8.42299e-09  0.135097218
8.675632e-09  0.133115485
8.935694e-09  0.131163992
9.203714e-09  0.129239976
9.479605e-09  0.127345327
9.76394e-09  0.12547735
1.0056625e-08  0.123637884
1.0358267e-08  0.121824307
1.0668767e-08  0.120038411
1.098877e-08  0.118277642
1.131817e-08  0.116543735
1.1657652e-08  0.114834218
1.2007102e-08  0.113150771
1.2367248e-08  0.11149099
1.2737969e-08  0.109856509
1.3120036e-08  0.108244995
1.3513323e-08  0.106658032
1.3918647e-08  0.105093362
1.4335873e-08  0.103552525
1.4765869e-08  0.102033329
1.5208491e-08  0.100537274
1.5664661e-08  0.099062234
1.6134225e-08  0.09760967
1.6618162e-08  0.096177518
1.7116308e-08  0.0947672
1.7629702e-08  0.093376713
1.8158171e-08  0.092007442
1.8702814e-08  0.09065757
1.926345e-08  0.089328181
1.9841246e-08  0.088017512
2.0436008e-08  0.086726863
2.1048973e-08  0.085454398
2.1679938e-08  0.084201371
2.2330215e-08  0.082966
2.2999587e-08  0.081749499
2.3689445e-08  0.08055013
2.4399561e-08  0.079369066
2.5268741e-08  0.077991767
2.53e-08  0.07794356
2.6058858e-08  0.076800003
2.684e-08  0.075673868
2.7645049e-08  0.074563542
2.8473738e-08  0.073470115
2.9327791e-08  0.072392027
3.0206922e-08  0.071330345
3.111296e-08  0.070283558
3.2045604e-08  0.069252707
3.3006792e-08  0.068236331
3.3996206e-08  0.06723544
3.5015901e-08  0.066248616
3.6065539e-08  0.065276839
3.7147303e-08  0.06431873
3.8260833e-08  0.063375238
3.9408443e-08  0.062445023
4.0589752e-08  0.061529007
4.1807217e-08  0.060625889
4.3060432e-08  0.059736566
4.4352004e-08  0.058859778
4.5681502e-08  0.057996398
4.705169e-08  0.0571452
4.8462114e-08  0.056307025
4.9915706e-08  0.055480674
5.1411981e-08  0.05466695
5.2954052e-08  0.053864673
5.4541406e-08  0.053074612
5.6177342e-08  0.052295622
5.7861316e-08  0.051528458
5.9596832e-08  0.050772025
6.1383309e-08  0.050027074
6.3224464e-08  0.049292556
6.5119683e-08  0.04856921
6.7072909e-08  0.047856019
6.9083489e-08  0.047153696
7.1155607e-08  0.046461245
7.328857e-08  0.045779355
7.5486817e-08  0.045107054
7.7749613e-08  0.044445006
