94-Pu-239(n,total fission) ENDF/B-VII.1
25.5592,5.55466
25.6486,6.59358
25.7252,7.91106
25.79,9.56285
25.8421,11.5023
25.8891,14.06
25.9258,16.9821
25.9565,20.478
25.983,24.8093
26.0076,30.543
26.028,37.2696
26.0469,45.7623
26.0668,57.9307
26.0867,74.3771
26.1087,98.5762
26.1316,131.451
26.1628,187.097
26.2118,280.54
26.238,315.939
26.2633,329.799
26.2657,329.892
26.2898,318.869
26.319,280.09
26.3936,135.48
26.4181,97.048
26.4385,72.089
26.4559,55.6758
26.4738,42.7547
26.4906,33.588
26.509,26.1751
26.5274,20.7722
26.5468,16.6254
26.5672,13.4577
26.5917,10.7354
26.6162,8.78052
26.6469,7.02049
26.6775,5.74812
26.7143,4.63292
26.7572,3.69824
26.8021,2.9916
26.8552,2.38658
26.9125,1.91248
26.974,1.53697
27.0256,1.30932
27.0569,1.23028
27.0673,1.22112
27.0881,1.24237
27.1102,1.34659
27.1279,1.51385
27.1456,1.77507
27.1662,2.21295
27.1906,2.92136
27.2536,5.13778
27.2822,5.82006
27.3072,6.01194
27.3296,5.83172
27.3588,5.19533
27.4283,3.13288
27.4556,2.51272
27.4817,2.08508
27.5077,1.79085
27.5337,1.59286
27.5759,1.395
27.6399,1.23042
27.7253,1.10698
27.8815,0.984169
28.0897,0.901421
28.4021,0.842937
28.9172,0.804231
30.0837,0.782676
30.7118,0.796439
31.0708,0.841461
31.2861,0.913215
31.4207,0.999937
31.5329,1.12132
31.6226,1.27598
31.7011,1.48387
31.7684,1.75307
31.8245,2.08368
31.8755,2.52164
31.9193,3.06453
31.9563,3.71548
31.9916,4.59259
32.0219,5.64581
32.0494,6.95419
32.0769,8.73333
32.1049,11.2032
32.1318,14.3676
32.161,18.8287
32.1946,25.347
32.2826,45.0632
32.3162,50.1467
32.3503,51.8838
32.3826,50.0128
32.4203,44.2636
32.5143,24.8576
32.5513,18.8751
32.5827,15.0213
32.6141,12.1417
32.6455,10.0207
32.6848,8.12933
32.7274,6.70884
32.7785,5.54195
32.8295,4.72978
32.8968,3.98315
32.9775,3.37657
33.0897,2.82719
33.2243,2.41161
33.4038,2.07066
33.6393,1.80723
33.9534,1.60804
34.3459,1.47469
34.7578,1.4129
34.8556,1.41093
35.0811,1.45879
35.1661,1.55408
35.2086,1.68323
35.2422,1.88879
35.2701,2.18695
35.2925,2.54767
35.3177,3.11865
35.3451,3.95953
35.3898,5.71952
35.4346,7.43752
35.4665,8.15981
35.4838,8.26704
35.5115,7.98649
35.5397,7.20044
35.6236,3.83267
35.6522,2.94301
35.6761,2.39693
35.7027,1.97751
35.7251,1.74485
35.7572,1.54254
35.7958,1.41985
35.8215,1.37566
35.9334,1.29815
36.336,1.24406
37.5439,1.22306
40.5774,1.27956
40.9732,1.30877
41.0465,1.37891
41.0832,1.49207
41.1051,1.62913
41.1271,1.86694
41.1455,2.19235
41.1601,2.57924
41.1762,3.19008
41.1918,4.03217
41.2058,5.07137
41.2199,6.45166
41.2354,8.48447
41.251,11.1587
