92-U-238(n,total fission) ENDF/B-VII.1
81.2211,5.68365E-6
81.24,4.66328E-6
81.2621,3.80185E-6
81.2874,3.10651E-6
81.3158,2.55682E-6
81.3474,2.12142E-6
81.3853,1.74351E-6
81.4326,1.40184E-6
81.4879,1.11359E-6
81.5511,8.74982E-7
81.6158,6.95904E-7
81.6821,5.58728E-7
81.7579,4.41323E-7
81.8431,3.43809E-7
81.9342,2.67434E-7
82.0206,2.13362E-7
82.1186,1.6745E-7
82.2221,1.31564E-7
82.3299,1.03977E-7
82.4464,8.2199E-8
82.5527,6.75805E-8
82.662,5.64229E-8
82.8029,4.62631E-8
82.9489,3.93538E-8
83.1157,3.46152E-8
83.2916,3.21298E-8
83.4731,3.1408E-8
83.7706,3.27835E-8
84.1635,3.72887E-8
86.6033,7.53862E-8
88.577,1.00295E-7
91.4316,1.27152E-7
96.097,1.58308E-7
101.906,1.85023E-7
102.179,1.80745E-7
102.302,1.68894E-7
102.478,1.38992E-7
102.557,1.33448E-7
102.634,1.39028E-7
102.805,1.69487E-7
102.919,1.82506E-7
103.109,1.89172E-7
111.139,2.19022E-7
116.327,2.34049E-7
116.587,2.28794E-7
116.867,2.05762E-7
116.889,2.05476E-7
117.026,2.13931E-7
117.188,2.29779E-7
117.488,2.37398E-7
144.689,3.18741E-7
145.331,3.20761E-7
145.586,3.20391E-7
158.326,3.84323E-7
164.889,4.36457E-7
165.267,4.33168E-7
166.585,4.55655E-7
171.243,5.24042E-7
174.531,5.99542E-7
177.279,6.98903E-7
179.411,8.20045E-7
180.719,9.30414E-7
182.124,1.10533E-6
183.286,1.32843E-6
184.061,1.54846E-6
184.836,1.86845E-6
185.418,2.21841E-6
185.969,2.69706E-6
186.377,3.20485E-6
186.762,3.87796E-6
187.113,4.76221E-6
187.407,5.8269E-6
187.673,7.21817E-6
187.888,8.82067E-6
188.082,1.0862E-5
188.248,1.33326E-5
188.392,1.63532E-5
188.515,1.99859E-5
188.629,2.47225E-5
188.716,2.98115E-5
188.801,3.67696E-5
188.874,4.53422E-5
188.934,5.5497E-5
188.993,6.93104E-5
189.041,8.53454E-5
189.089,1.07223E-4
189.138,1.36995E-4
189.181,1.7247E-4
189.232,2.26592E-4
189.287,3.0204E-4
189.351,4.14762E-4
189.538,8.07886E-4
189.615,9.18545E-4
189.679,9.49434E-4
189.731,9.27421E-4
189.793,8.50779E-4
189.879,6.81862E-4
190.0,4.18864E-4
190.068,2.97359E-4
190.122,2.20794E-4
190.172,1.67054E-4
190.216,1.30906E-4
190.259,1.03287E-4
190.307,8.09668E-5
190.349,6.60629E-5
190.4,5.28463E-5
190.453,4.28537E-5
190.514,3.47001E-5
190.586,2.77936E-5
190.669,2.23058E-5
190.756,1.8156E-5
190.861,1.4554E-5
190.97,1.18628E-5
191.097,9.57535E-6
191.231,7.82256E-6
191.4,6.20769E-6
191.582,4.97431E-6
191.794,3.95058E-6
192.006,3.21667E-6
192.26,2.58321E-6
192.551,2.07324E-6
192.878,1.67387E-6
193.217,1.38279E-6
193.628,1.13718E-6
194.027,9.72486E-7
194.575,8.20605E-7
195.225,7.11046E-7
195.876,6.47859E-7
196.566,6.13213E-7
197.38,6.00591E-7
198.571,6.21145E-7
199.889,6.87604E-7
201.11,7.97019E-7
202.155,9.43707E-7
203.074,1.1398E-6
203.813,1.37601E-6
204.431,1.66693E-6
204.93,2.00589E-6
205.344,2.40209E-6
205.725,2.92127E-6
206.053,3.55544E-6
206.343,4.36182E-6
206.598,5.37852E-6
206.798,6.50963E-6
206.989,8.03449E-6
207.152,9.90472E-6
207.296,1.22495E-5
207.414,1.50182E-5
207.509,1.81894E-5
207.589,2.19473E-5
207.652,2.62518E-5
207.706,3.14572E-5
207.752,3.78288E-5
207.792,4.56263E-5
207.832,5.64769E-5
207.871,7.13069E-5
207.905,8.928E-5
207.939,1.1339E-4
207.973,1.45427E-4
208.007,1.87427E-4
208.044,2.47726E-4
208.085,3.33543E-4
208.127,4.45205E-4
208.176,6.1065E-4
208.24,8.75145E-4
208.387,0.0015551
208.452,0.00176902
208.516,0.00185514
208.524,0.00185598
208.587,0.00178545
208.652,0.00158312
208.765,0.00106775
208.85,6.86619E-4
208.904,4.86684E-4
208.949,3.54472E-4
208.991,2.60627E-4
209.027,1.96775E-4
209.062,1.49654E-4
209.097,1.13796E-4
209.132,8.69548E-5
209.166,6.73389E-5
209.198,5.38099E-5
209.234,4.24296E-5
209.27,3.42111E-5
209.311,2.75911E-5
209.357,2.24153E-5
209.402,1.87226E-5
209.459,1.54061E-5
209.525,1.26592E-5
209.607,1.02193E-5
209.688,8.43538E-6
209.798,6.69292E-6
209.907,5.42281E-6
210.034,4.3295E-6
210.179,3.4187E-6
210.338,2.69513E-6
210.497,2.16169E-6
210.679,1.7091E-6
210.884,1.3359E-6
211.106,1.03963E-6
211.325,8.24617E-7
211.57,6.43849E-7
211.815,5.08759E-7
212.093,3.94856E-7
212.379,3.07554E-7
212.665,2.41871E-7
212.952,1.92025E-7
213.28,1.48966E-7
213.597,1.17791E-7
213.913,9.45315E-8
214.276,7.49535E-8
214.656,6.03802E-8
215.029,5.04388E-8
215.439,4.32097E-8
215.796,3.92876E-8
216.176,3.69552E-8
216.627,3.60597E-8
217.329,3.75522E-8
218.274,4.31327E-8
219.757,5.63444E-8
222.496,8.69597E-8
225.629,1.27584E-7
227.932,1.65231E-7
229.634,2.03457E-7
230.835,2.42048E-7
231.773,2.84273E-7
232.477,3.28757E-7
233.234,3.98165E-7
233.802,4.75445E-7
234.282,5.72096E-7
234.688,6.92783E-7
235.037,8.45443E-7
235.308,1.01788E-6
235.54,1.22791E-6
235.743,1.48901E-6
235.917,1.80725E-6
236.063,2.18132E-6
236.198,2.67859E-6
236.295,3.18032E-6
236.379,3.78854E-6
236.443,4.45145E-6
236.5,5.28139E-6
236.548,6.31184E-6
236.589,7.56416E-6
