28-Ni-58(n,&gamma;) ENDF/B-VII.1
24751.9,0.00664293
24752.6,0.00817286
24753.2,0.0100653
24753.9,0.0126145
24754.6,0.0162874
24755.3,0.0212946
24756.0,0.0278393
24756.8,0.0370499
24757.6,0.0487112
24758.5,0.0656654
24759.6,0.0927016
24761.8,0.154891
24763.5,0.201113
24765.0,0.229083
24766.4,0.238767
24766.4,0.238767
24767.6,0.231061
24768.9,0.209459
24770.8,0.156746
24773.0,0.0960044
24774.1,0.0687143
24775.1,0.0500659
24775.9,0.0371521
24776.7,0.0284322
24777.4,0.0216225
24778.1,0.0166875
24778.7,0.0131419
24779.4,0.0104602
24780.0,0.00846386
24780.7,0.00699833
24781.3,0.00593504
24782.1,0.00501585
24782.9,0.00441133
24784.1,0.00388254
24785.3,0.00358234
24787.6,0.00327925
24792.3,0.00302477
24800.8,0.0028358
24818.0,0.00271448
24861.0,0.00264047
25465.0,0.00255882
25713.2,0.00261763
25823.5,0.00273423
25878.7,0.00287866
25916.3,0.00308477
25946.3,0.00340375
25968.7,0.00384694
25982.1,0.00429035
25993.2,0.00484413
26004.2,0.0057002
26012.6,0.00671832
26020.0,0.00807484
26025.3,0.00949582
26029.6,0.0111291
26033.8,0.013299
26037.3,0.0159054
26040.7,0.0193849
26043.4,0.0234472
26046.0,0.0286552
26047.9,0.0344748
26049.6,0.0412836
26051.1,0.0502692
26052.4,0.061761
26053.5,0.0750572
26054.4,0.0913407
26055.3,0.113048
26056.2,0.143068
26056.9,0.179229
26057.7,0.227083
26058.6,0.293293
26059.4,0.384357
26060.4,0.514146
26061.4,0.690794
26062.6,0.95649
26064.0,1.36664
26067.4,2.40974
26069.0,2.76157
26070.5,2.87925
26070.6,2.87927
26071.8,2.79791
26073.2,2.54359
26075.3,1.9341
26077.8,1.15157
26079.1,0.836729
26080.1,0.620715
26081.1,0.459628
26082.0,0.351347
26082.8,0.274831
26083.6,0.216106
26084.4,0.171255
26085.1,0.137333
26086.0,0.108744
26086.9,0.0887521
26087.8,0.0731942
26088.7,0.0618194
26090.1,0.0503196
26091.6,0.0413276
26093.2,0.034516
26095.2,0.0286936
26097.7,0.0234841
26100.5,0.0194211
26103.8,0.0159415
26108.0,0.0129778
26112.7,0.0106683
26118.2,0.00883528
26123.8,0.00756519
26130.9,0.00643283
26139.4,0.00551947
26151.4,0.00470544
26164.8,0.0041416
26184.8,0.00365094
26214.9,0.00327629
26251.0,0.00308251
26307.6,0.00298215
26379.6,0.0030986
26425.9,0.00332895
26460.6,0.00365861
26491.9,0.00418803
26511.6,0.00474409
26529.7,0.00553087
26545.5,0.00661112
26558.3,0.00796704
26568.8,0.0096538
26577.5,0.011688
26584.3,0.0139529
26590.7,0.0169639
26595.9,0.0204388
26601.2,0.0253475
26605.7,0.0313802
26609.5,0.0384787
26612.9,0.0474503
26616.0,0.0590119
26618.6,0.0731788
26620.6,0.0883316
26622.5,0.108361
26624.1,0.132554
26625.3,0.160489
26626.4,0.196547
26627.4,0.242328
