92-U-238(n,&gamma;) ENDF/B-VII.1
110.955,0.420867
111.017,0.544428
111.116,0.770575
111.173,0.859952
111.218,0.883984
111.271,0.849782
111.328,0.751137
111.454,0.470776
111.504,0.386838
111.55,0.333439
111.6,0.297028
111.661,0.274569
111.758,0.262966
111.816,0.261776
112.322,0.275209
112.88,0.308931
113.384,0.361758
113.765,0.423832
114.082,0.498489
114.392,0.603044
114.663,0.734786
114.91,0.908033
115.118,1.11678
115.303,1.37767
115.469,1.71149
115.618,2.13589
115.743,2.63948
115.856,3.28002
115.946,3.98074
116.035,4.95663
116.108,6.08607
116.17,7.46523
116.218,8.96647
116.259,10.8077
116.296,13.2095
116.329,16.3174
116.353,19.6225
116.378,24.0189
116.404,30.3906
116.429,38.6539
116.454,50.0692
116.479,65.2422
116.505,86.0902
116.531,113.328
116.56,151.963
116.59,204.187
116.627,284.382
116.673,411.503
116.793,786.418
116.846,896.57
116.892,930.327
116.936,899.154
116.984,803.721
117.059,576.521
117.128,361.963
117.169,258.365
117.202,189.81
117.233,139.686
117.261,103.924
117.288,78.2667
117.312,60.7813
117.336,47.3694
117.36,37.2083
117.383,29.5785
117.41,23.426
117.436,18.9568
117.465,15.3022
117.497,12.5983
117.532,10.4268
117.577,8.55329
117.631,7.01154
117.698,5.67931
117.778,4.56647
117.86,3.75547
117.964,3.0126
118.083,2.41251
118.208,1.96192
118.351,1.59006
118.514,1.28594
118.687,1.0523
118.86,0.890189
118.973,0.84109
118.982,0.840501
119.067,0.867585
119.263,1.05875
119.296,1.0677
119.362,1.03337
119.441,0.910762
119.573,0.646119
119.645,0.541574
119.708,0.481165
119.806,0.427015
119.97,0.37839
120.315,0.310736
120.752,0.250625
121.167,0.210422
121.75,0.169568
122.347,0.140041
123.044,0.115744
123.611,0.101251
124.209,0.091709
124.278,0.0913946
124.419,0.0936406
124.471,0.0977695
124.523,0.107248
124.562,0.121033
124.594,0.139684
124.624,0.165159
124.656,0.205309
124.689,0.261718
124.722,0.337695
124.757,0.444008
124.8,0.608951
124.891,1.03847
124.95,1.29258
125.002,1.4327
125.037,1.46199
125.085,1.40864
125.13,1.2715
125.205,0.926166
125.278,0.586564
125.322,0.423995
125.357,0.317836
125.389,0.246029
125.421,0.191127
125.454,0.151754
125.486,0.124474
125.519,0.106116
125.551,0.0940377
125.59,0.0849893
125.647,0.077777
125.762,0.0718825
126.073,0.0657191
126.746,0.0584465
128.298,0.0479957
129.764,0.0413729
131.615,0.0356718
132.351,0.0346101
132.621,0.0354027
132.725,0.0376381
132.782,0.0413204
132.825,0.0468167
132.861,0.0544558
132.897,0.066225
132.93,0.0818053
132.962,0.102461
132.997,0.133498
133.037,0.178681
133.086,0.250809
133.207,0.454475
133.26,0.519627
133.312,0.545987
133.317,0.546212
133.366,0.526838
133.414,0.473508
133.494,0.341828
133.562,0.228412
133.606,0.167528
133.645,0.124614
133.681,0.0954473
133.712,0.0763785
133.744,0.0620154
133.78,0.0510557
133.816,0.0439374
133.852,0.0394451
133.881,0.0371154
133.938,0.0344488
134.051,0.0324683
134.238,0.031304
135.037,0.0295651
135.267,0.0294896
135.434,0.0302709
135.491,0.0314748
135.543,0.0337874
135.589,0.0375954
135.635,0.0439881
135.675,0.0525022
135.719,0.065356
135.769,0.0856227
135.847,0.12583
135.927,0.167213
135.984,0.185882
136.026,0.190402
136.077,0.183809
136.135,0.162134
136.278,0.0876357
136.328,0.0668169
136.37,0.0536075
136.407,0.0450147
136.445,0.0389327
136.492,0.0339789
136.549,0.0307288
136.636,0.0287352
136.866,0.0276049
137.728,0.0266709
139.247,0.0262102
140.891,0.0271254
141.822,0.0291007
142.397,0.0313084
142.971,0.0355122
143.333,0.0399468
143.634,0.0456517
143.875,0.0526028
144.09,0.0618755
144.275,0.0738626
144.429,0.088671
144.559,0.106855
144.67,0.12948
144.763,0.156819
144.837,0.188744
144.887,0.219404
144.934,0.262959
144.972,0.315065
145.005,0.38138
145.032,0.460901
145.059,0.573525
145.083,0.71534
145.104,0.88211
145.127,1.12488
145.151,1.45051
145.174,1.88314
145.197,2.45131
145.22,3.18763
145.244,4.18097
145.271,5.60135
145.301,7.61567
145.334,10.5033
145.371,14.5843
145.419,21.1503
145.556,43.0031
145.612,49.1098
145.664,51.188
145.665,51.1889
145.714,49.353
145.764,44.2687
145.84,32.475
145.92,19.74
145.962,14.0954
145.997,10.3425
146.029,7.55367
146.058,5.60262
146.086,4.14946
146.11,3.16505
146.135,2.40336
146.159,1.82336
146.182,1.40595
146.205,1.09193
146.229,0.857829
146.252,0.684428
146.275,0.556407
146.299,0.459141
146.326,0.379865
146.358,0.313698
146.391,0.267916
146.434,0.225895
146.487,0.191333
146.564,0.157188
146.656,0.129535
146.768,0.106721
146.897,0.0884236
147.049,0.0737933
147.219,0.062524
147.422,0.0532988
147.692,0.0453166
147.989,0.0396621
148.386,0.0348904
148.982,0.0307884
149.828,0.0281891
150.475,0.0275553
151.023,0.0283268
151.351,0.030189
151.547,0.0328257
151.669,0.036324
151.743,0.0408047
151.786,0.0457156
151.822,0.0523932
151.85,0.060504
151.879,0.0723257
151.908,0.0894656
151.933,0.11048
151.958,0.138962
151.982,0.174553
152.006,0.219902
152.034,0.290801
152.062,0.383258
152.09,0.500901
152.122,0.673918
152.163,0.943178
152.215,1.37537
152.346,2.61585
152.401,2.97532
152.455,3.10528
152.456,3.10537
152.506,2.99885
152.555,2.70294
152.635,1.98438
152.718,1.19518
152.764,0.843936
152.8,0.616107
152.831,0.466655
152.861,0.348912
152.887,0.270202
152.913,0.208925
152.939,0.162129
152.964,0.127859
152.989,0.102329
153.014,0.0835582
153.039,0.0699
153.068,0.0588719
153.104,0.0498057
153.147,0.0432284
153.193,0.0391108
153.239,0.0365663
153.331,0.0335964
153.516,0.0306384
153.792,0.0286309
154.253,0.0274208
154.966,0.027099
156.036,0.0279062
157.475,0.0303613
157.935,0.0323873
158.119,0.0342671
158.211,0.0366606
158.268,0.040017
158.312,0.0446767
158.348,0.051009
158.384,0.0607742
158.412,0.0720652
158.446,0.090652
158.476,0.113457
158.506,0.143436
158.542,0.189043
158.582,0.256807
158.631,0.36192
158.71,0.571515
158.792,0.786008
158.852,0.890227
158.901,0.919292
158.956,0.883002
159.019,0.767298
159.169,0.368255
159.217,0.265428
159.254,0.200912
159.292,0.150866
159.324,0.117788
159.356,0.0936439
159.389,0.0759328
159.425,0.0623443
159.461,0.0534303
159.497,0.0477408
159.54,0.0436611
159.594,0.0409766
159.672,0.0393927
159.776,0.0387401
160.259,0.0396511
160.92,0.0438509
161.582,0.0507634
162.141,0.0602077
162.556,0.0707398
162.912,0.0845079
163.161,0.0985715
163.414,0.119049
163.621,0.143858
163.759,0.169237
163.862,0.199182
163.957,0.240788
164.073,0.3122
164.405,0.54783
164.475,0.628022
164.525,0.722695
164.565,0.840996
164.602,1.00933
164.635,1.23135
