26-Fe-56(n,elastic) ENDF/B-VII.1
112707.0,10.1674
112713.0,14.2986
112717.0,15.8732
112720.0,16.3448
112724.0,15.7247
112728.0,13.6144
112736.0,8.24024
112739.0,6.54355
112742.0,5.3736
112745.0,4.52712
112749.0,3.85448
112752.0,3.43635
112756.0,3.18806
112763.0,2.94037
112775.0,2.77566
112806.0,2.65698
112956.0,2.58114
120018.0,1.96417
121003.0,1.85831
121019.0,1.85929
122040.0,1.76435
122286.0,1.79464
122419.0,1.87986
122495.0,2.00783
122550.0,2.19282
122587.0,2.44398
122614.0,2.63051
122642.0,3.06145
122663.0,3.53713
122682.0,4.23625
122697.0,5.06454
122710.0,6.03479
122722.0,7.4394
122732.0,8.99886
122741.0,11.1809
122750.0,13.9066
122758.0,17.718
122768.0,23.5394
122788.0,37.334
122794.0,40.2079
122800.0,41.241
122809.0,39.522
122818.0,34.3378
122835.0,22.4538
122845.0,17.2875
122853.0,13.9767
122863.0,11.2663
122873.0,9.10428
122884.0,7.52643
122898.0,6.19222
122913.0,5.12908
122933.0,4.254
122956.0,3.58147
122982.0,3.10539
123016.0,2.70354
123057.0,2.40564
123112.0,2.16878
123199.0,1.95926
123346.0,1.78711
123627.0,1.63819
124050.0,1.52972
124114.0,1.56906
124135.0,1.65358
124146.0,1.7809
124153.0,1.97152
124157.0,2.20988
124161.0,2.53783
124164.0,3.02347
124168.0,3.68453
124172.0,4.77672
124178.0,6.91309
124184.0,8.93804
124188.0,9.77293
124190.0,9.93525
124194.0,9.55272
124199.0,8.4198
124208.0,4.99136
124212.0,3.90024
124216.0,3.24268
124219.0,2.74725
124223.0,2.39695
124228.0,2.1218
124233.0,1.93414
124241.0,1.80109
124257.0,1.66288
124287.0,1.5659
124351.0,1.49992
124733.0,1.39243
124923.0,1.36833
125031.0,1.39901
125075.0,1.47391
125094.0,1.55843
125111.0,1.70264
125121.0,1.86843
125130.0,2.10953
125136.0,2.42165
125141.0,2.79464
125144.0,3.24902
125148.0,3.8888
125151.0,4.77151
125155.0,6.01478
125158.0,7.70115
125162.0,10.3477
125173.0,18.5424
125177.0,20.6229
125180.0,21.2436
125184.0,20.5014
125188.0,17.9424
125199.0,9.6331
125203.0,7.37781
125206.0,5.7711
125209.0,4.59486
125212.0,3.85163
125216.0,3.26455
125220.0,2.77158
125224.0,2.39076
125231.0,2.07066
125240.0,1.83525
125250.0,1.6698
125269.0,1.50381
125285.0,1.4315
125326.0,1.34049
125407.0,1.27074
125874.0,1.12743
126859.0,0.844554
127506.0,0.608154
128007.0,0.385426
128529.0,0.128738
128639.0,0.0813112
128711.0,0.0554847
128760.0,0.0411339
128799.0,0.0325973
128832.0,0.0274824
128860.0,0.0251174
128874.0,0.024682
128897.0,0.0251987
128919.0,0.0272694
128941.0,0.0310825
128965.0,0.0377195
128990.0,0.0471716
129018.0,0.0614639
129044.0,0.0792094
129073.0,0.104911
129102.0,0.137549
129136.0,0.184162
129169.0,0.243214
129205.0,0.326426
129246.0,0.4444
129286.0,0.597121
129327.0,0.793344
129365.0,1.03243
129410.0,1.38446
129454.0,1.84474
129498.0,2.44622
129541.0,3.2151
129584.0,4.19082
129631.0,5.55664
129679.0,7.39813
129736.0,10.1614
129873.0,17.8955
129928.0,19.9972
129984.0,20.7181
130037.0,20.1639
130150.0,17.1356
130166.0,17.4008
130181.0,16.6129
130193.0,15.6379
130280.0,12.9708
130380.0,10.6833
130486.0,8.8896
130599.0,7.49429
130730.0,6.32873
130901.0,5.25797
131106.0,4.39882
131311.0,3.77924
131585.0,3.203
131995.0,2.61773
132474.0,2.15451
133090.0,1.71879
133980.0,1.24345
135211.0,0.69763
136067.0,0.358384
136494.0,0.208967
136734.0,0.136978
136922.0,0.0884728
137050.0,0.0613612
137144.0,0.0451657
137208.0,0.036094
137285.0,0.0275455
137337.0,0.0235346
137388.0,0.0209528
137422.0,0.0200669
137444.0,0.0198464
137491.0,0.0204936
137538.0,0.0225972
137576.0,0.0255174
137628.0,0.0312015
137679.0,0.0390595
137737.0,0.0507445
137803.0,0.0682305
137888.0,0.0980562
137965.0,0.132531
138042.0,0.175187
138128.0,0.233236
138231.0,0.319674
138342.0,0.438369
138461.0,0.599965
138581.0,0.804436
138718.0,1.09731
138855.0,1.46839
138992.0,1.93381
139166.0,2.6868
139330.0,3.60448
139522.0,4.97182
139741.0,6.96544
140035.0,10.3159
140505.0,15.9875
140754.0,18.0742
141041.0,19.0912
141133.0,19.3273
141150.0,19.6697
141192.0,19.0756
141549.0,17.9482
142277.0,14.5488
142294.0,14.9404
142310.0,15.6549
142336.0,14.4179
142679.0,12.8344
143458.0,10.3455
144196.0,8.75217
145169.0,7.34088
146385.0,6.2028
147600.0,5.42735
149697.0,4.55149
149800.0,4.51737
149831.0,4.57103
149940.0,4.47445
152944.0,3.71356
153871.0,3.53009
153898.0,3.54449
153914.0,3.65093
153920.0,3.80962
153925.0,4.1109
153931.0,4.7239
153944.0,6.55795
153950.0,6.93117
153951.0,6.93706
153956.0,6.68053
153964.0,5.54174
153972.0,4.53289
153976.0,4.15826
153982.0,3.85865
153990.0,3.67366
154012.0,3.56654
154483.0,3.42389
161619.0,2.28537
161703.0,2.32628
161726.0,2.40857
161737.0,2.55202
161742.0,2.72994
161748.0,3.09107
161752.0,3.57368
161756.0,4.31841
161760.0,5.34327
161767.0,7.53598
161773.0,9.52818
161777.0,10.4343
161780.0,10.6182
161784.0,10.3241
161788.0,9.19274
161799.0,5.50651
161804.0,4.35165
161808.0,3.62907
161812.0,3.11579
161816.0,2.77616
161822.0,2.56123
161832.0,2.39622
161853.0,2.30095
161956.0,2.21994
164302.0,1.70655
165486.0,1.35256
166315.0,1.01955
166907.0,0.71812
167448.0,0.386996
167790.0,0.170018
167906.0,0.105987
167975.0,0.0726487
168029.0,0.0514153
168070.0,0.0380154
168104.0,0.0298072
168128.0,0.0255801
168149.0,0.0230637
168170.0,0.021757
168177.0,0.0216212
168196.0,0.0220903
168215.0,0.0238331
168237.0,0.0276614
168259.0,0.0335025
168283.0,0.0425826
168309.0,0.0551289
168337.0,0.0733351
168368.0,0.0992118
168401.0,0.135422
168438.0,0.185502
168475.0,0.251444
168518.0,0.344373
168560.0,0.461917
168606.0,0.625412
168656.0,0.853469
168710.0,1.16352
168766.0,1.58517
168820.0,2.11304
168878.0,2.82409
168939.0,3.80937
168996.0,4.99304
169038.0,6.16336
169062.0,7.13451
169077.0,8.16278
169087.0,9.33709
169094.0,10.7397
169099.0,12.4336
169106.0,15.4929
169122.0,24.1788
169128.0,26.2288
169130.0,26.4172
169136.0,25.691
169143.0,22.6528
169155.0,16.4444
169162.0,14.0005
169168.0,12.4984
169177.0,11.4972
169191.0,11.031
169196.0,11.002
169231.0,11.4868
169371.0,14.6583
169444.0,15.609
169521.0,15.9231
169627.0,15.4249
170050.0,10.7584
170291.0,8.81882
170532.0,7.47236
170821.0,6.35868
171206.0,5.37263
171687.0,4.5752
172361.0,3.8642
173142.0,3.33204
173159.0,3.40036
173169.0,3.65282
173186.0,4.52852
173190.0,4.59385
173197.0,4.42522
173212.0,3.65988
173217.0,3.49273
173228.0,3.34838
173368.0,3.25938
173377.0,3.25875
173491.0,3.32809
173549.0,3.54417
173582.0,3.88356
173602.0,4.34845
173617.0,4.96894
173626.0,5.65635
173635.0,6.58683
173642.0,7.78849
173648.0,9.22056
173655.0,11.4159
173663.0,14.8761
173679.0,24.0196
173685.0,26.1623
