26-Fe-56(n,&gamma;) ENDF/B-VII.1
20154.1,0.00330366
20154.8,0.00409816
20155.4,0.00520776
20156.0,0.00655307
20156.6,0.00824916
20157.3,0.0108567
20157.9,0.0142998
20158.6,0.0187516
20159.3,0.0250559
20160.2,0.0344202
20161.1,0.0471892
20162.3,0.0690385
20165.2,0.124948
20166.5,0.14295
20167.8,0.150422
20168.0,0.150575
20169.2,0.14525
20170.3,0.131581
20172.2,0.0983235
20174.2,0.0589481
20175.4,0.0409532
20176.2,0.0305066
20177.0,0.0226464
20177.7,0.0167974
20178.4,0.012782
20179.0,0.00977493
20179.6,0.00747957
20180.3,0.0057753
20180.9,0.00463599
20181.5,0.00370433
20182.2,0.00303521
20182.8,0.00255635
20183.6,0.0021763
20184.5,0.00185034
20185.7,0.00159677
20187.3,0.00138659
20189.7,0.00121246
20192.9,0.00107254
20196.7,9.72953E-4
20202.7,8.8167E-4
20211.7,8.12799E-4
20226.8,7.64713E-4
20261.8,7.31655E-4
20296.8,7.24569E-4
20786.4,7.89155E-4
21491.4,9.3639E-4
22075.7,0.00111171
22377.9,0.001258
22500.6,0.00136919
22563.3,0.00146932
22613.6,0.00161418
22653.4,0.00183184
22677.3,0.00206684
22695.0,0.0023469
22710.0,0.00272053
22722.4,0.0032081
22733.0,0.00384879
22741.6,0.00464114
22748.6,0.00561561
22754.7,0.00684319
22759.8,0.00837058
22764.2,0.0102492
22768.1,0.0125924
22771.2,0.0152428
22774.2,0.0189176
22776.4,0.0227966
22778.3,0.027211
22780.2,0.0331469
22781.7,0.0405141
22783.0,0.0490267
22784.1,0.0597011
22785.1,0.073379
22786.0,0.0911281
22786.8,0.112945
22787.6,0.142653
22788.4,0.182935
22789.2,0.238961
22790.1,0.313644
22790.9,0.411131
22791.8,0.54369
22792.8,0.746741
22794.2,1.065
22797.9,2.1735
22799.4,2.48617
22800.8,2.61491
22801.0,2.61699
22802.4,2.51597
22803.9,2.22469
22806.6,1.41206
22808.4,0.934712
22809.5,0.667228
22810.5,0.496288
22811.4,0.369563
22812.3,0.28198
22813.1,0.215392
22813.9,0.165707
22814.7,0.130897
22815.5,0.103746
22816.3,0.0839658
22817.3,0.0674614
22818.3,0.0557854
22819.5,0.0453117
22820.9,0.0373275
22822.6,0.0306728
22824.3,0.0256685
22826.5,0.0211082
22829.3,0.0170842
22832.0,0.014209
22835.3,0.0117088
22839.0,0.00971256
22843.4,0.00800834
22848.6,0.00662084
22854.8,0.00546145
22862.6,0.00449178
22871.4,0.00375854
22882.4,0.00317279
22893.5,0.00278008
22908.2,0.0024357
22925.8,0.00217909
22949.4,0.00197441
22984.7,0.00180984
23067.0,0.00167463
23137.5,0.00165287
23349.0,0.0017235
23701.5,0.00196156
24159.8,0.00241477
24582.9,0.00301249
24953.1,0.00375483
25288.0,0.00470309
25570.0,0.0058141
25816.8,0.00713865
26063.6,0.008971
26275.1,0.0111301
26451.3,0.0135242
26627.6,0.0167197
26803.9,0.0209507
26980.2,0.0266507
27170.5,0.034692
27572.4,0.0550394
27720.5,0.0589781
27762.8,0.0592405
27889.7,0.0575265
28058.9,0.0505989
28411.5,0.0321968
28601.8,0.0245686
28778.1,0.0192351
28954.4,0.0153009
29130.7,0.0123378
29342.2,0.00973523
29553.7,0.00783885
29800.5,0.00623049
30047.3,0.00505209
30329.3,0.00406642
30646.6,0.00326254
30999.1,0.00261654
31386.9,0.00210577
31810.0,0.00170139
32303.5,0.00136317
32797.1,0.00112601
33149.6,9.99659E-4
33502.1,9.23418E-4
33572.7,9.15719E-4
33731.3,9.30701E-4
33819.4,9.73883E-4
33872.3,0.00102463
33925.2,0.00110384
33969.3,0.00122428
34002.8,0.001367
34030.9,0.00155244
34057.4,0.00180661
34078.5,0.00212014
34094.4,0.0024581
34109.8,0.00292203
