E(MeV)  pendfb7/B10:102
8.49562e-08  0.272416471
8.7502851e-08  0.268413164
9.0127446e-08  0.264466371
9.2829111e-08  0.260579971
9.5613464e-08  0.256748422
9.8479577e-08  0.252975495
1.01433412e-07  0.249255804
1.04473985e-07  0.245593004
1.07607619e-07  0.241981869
1.1083327e-07  0.238425949
1.14157646e-07  0.234920163
1.17579641e-07  0.231467962
1.21106371e-07  0.228064422
1.24736661e-07  0.224712889
1.28478062e-07  0.221408587
1.32329326e-07  0.218154775
1.36298464e-07  0.214946816
1.40384153e-07  0.211787875
1.4459489e-07  0.20867346
1.48929273e-07  0.205606639
1.53396316e-07  0.202583054
1.57994531e-07  0.199605696
1.62733481e-07  0.196670314
1.67611588e-07  0.193780092
1.72638996e-07  0.190930356
1.7781403e-07  0.188124199
1.83147454e-07  0.185357623
1.8863749e-07  0.182633355
1.94295557e-07  0.179947513
2.0011977e-07  0.177302744
2.06122241e-07  0.174695277
2.12300971e-07  0.172127684
2.18668809e-07  0.169596305
2.25223636e-07  0.167103638
2.31979082e-07  0.164646131
2.38932897e-07  0.16222621
2.46099545e-07  0.159840428
2.53476636e-07  0.157491141
2.61079514e-07  0.155175
2.68905645e-07  0.152894291
2.76971307e-07  0.150645762
2.85273811e-07  0.148431631
2.93830426e-07  0.146248739
3.02638301e-07  0.144099238
3.11715753e-07  0.141980061
3.21059758e-07  0.1398933
3.30689751e-07  0.13783598
3.40602522e-07  0.135810132
3.50818688e-07  0.133812872
3.61334845e-07  0.131846168
3.72172865e-07  0.129907217
3.83329135e-07  0.127997926
3.9482686e-07  0.126115565
4.06662208e-07  0.124261984
4.18859794e-07  0.122434535
4.31415555e-07  0.120635021
4.44355602e-07  0.118860879
4.57675626e-07  0.117113866
4.71403329e-07  0.115391498
4.85534136e-07  0.113695479
5.00097438e-07  0.112023393
5.15088382e-07  0.110376889
5.30538145e-07  0.108753621
5.46441581e-07  0.10715519
5.62831765e-07  0.105579319
5.79703235e-07  0.10402756
5.97091082e-07  0.102497697
6.14989512e-07  0.100991233
6.33435749e-07  0.099506016
6.52423648e-07  0.098043504
6.71992699e-07  0.096601614
6.92136383e-07  0.095181775
7.12896594e-07  0.093781979
7.34266415e-07  0.092403624
7.5629029e-07  0.091044749
7.78960882e-07  0.089706681
8.02325342e-07  0.08838748
8.26375882e-07  0.087088418
8.51162526e-07  0.085807629
8.76677012e-07  0.084546391
9.02972407e-07  0.083302943
9.30039949e-07  0.082078545
9.57935933e-07  0.080871467
9.86651065e-07  0.079682891
1.01195589e-06  0.078677742
1.04050974e-06  0.077587913
1.06986929e-06  0.076513191
1.10005725e-06  0.07545336
1.13109702e-06  0.074408193
1.16301262e-06  0.073377477
1.19582876e-06  0.072361026
1.22957087e-06  0.07135869
1.26426505e-06  0.070370318
1.29993819e-06  0.069395722
1.33661789e-06  0.068434664
1.37433257e-06  0.067486895
1.41311143e-06  0.06655221
1.45298448e-06  0.065630477
1.5150601e-06  0.064268801
1.57948201e-06  0.062941629
1.64696196e-06  0.061635686
1.71699247e-06  0.060362291
1.79034725e-06  0.059109313
1.86647465e-06  0.057888328
