94-Pu-240(n,&gamma;) ENDF/B-VII.1
67.6494,15.4832
67.7563,12.6542
67.8814,10.2549
68.0299,8.22694
68.1941,6.63984
68.3817,5.35859
68.6007,4.31909
68.8352,3.54964
69.0698,3.01121
69.3512,2.56888
69.6275,2.28828
69.8933,2.12679
70.2477,2.05249
70.4984,2.10282
70.7491,2.25774
70.9837,2.53474
71.186,2.92725
71.3546,3.42621
71.4926,4.01518
71.6213,4.79139
71.7317,5.7243
71.842,7.04432
71.934,8.61087
72.0152,10.5614
72.0849,12.9162
72.1447,15.7443
72.1987,19.3764
72.2405,23.3916
72.2788,28.7233
72.3079,34.5799
72.3355,42.497
72.3601,52.5264
72.3815,64.7019
72.4023,80.7194
72.4237,103.103
72.445,133.395
72.4664,173.883
72.487,224.72
72.509,295.029
72.5348,400.857
72.5624,545.487
72.5985,783.432
72.7015,1580.41
72.7395,1784.39
72.7781,1864.12
72.7797,1864.25
72.8131,1808.91
72.8548,1601.41
72.9167,1129.86
72.9713,711.854
73.0044,505.829
73.032,369.781
73.0571,273.354
73.0792,208.008
73.1012,157.981
73.1209,124.097
73.1405,98.2018
73.1626,76.5145
73.1846,60.7565
73.2061,49.5766
73.2306,40.3321
73.2582,32.9889
73.2858,27.7567
73.3241,22.642
73.3701,18.4339
73.4206,15.181
73.485,12.2454
73.554,10.0075
73.6368,8.08439
73.7333,6.49554
73.8375,5.27507
73.9601,4.25158
74.092,3.46657
74.2422,2.82431
74.4107,2.30789
74.5947,1.90178
74.8092,1.55933
75.0545,1.27927
75.3549,1.03797
75.692,0.848466
76.0783,0.696686
76.5506,0.568064
77.1155,0.463775
77.7726,0.38193
78.6284,0.312983
79.4065,0.271554
80.3402,0.238562
81.2805,0.21891
82.559,0.207909
82.8837,0.207616
83.8576,0.214666
84.8316,0.234666
85.6026,0.265408
86.333,0.312686
86.8835,0.369719
87.3122,0.435337
87.6876,0.516897
88.0457,0.628522
88.3526,0.76601
88.6212,0.938207
88.8515,1.14727
89.0561,1.40831
89.2352,1.72934
89.3951,2.1321
89.5293,2.60307
89.6604,3.24779
89.7724,4.0276
89.8683,4.96522
89.9562,6.17601
90.0234,7.46193
90.0889,9.21165
90.1369,11.0027
90.1848,13.5509
90.2232,16.547
90.252,19.7424
90.2808,24.2329
90.3064,29.8575
90.3319,37.731
90.3561,48.0849
90.3771,60.1632
90.4,77.6596
90.4227,100.55
90.4458,130.753
90.4707,172.979
90.4976,231.2
90.5276,313.48
90.566,444.481
90.683,916.833
90.7265,1037.34
90.77,1080.77
90.8135,1036.4
90.8621,897.181
90.9798,422.187
91.0169,299.566
91.0475,218.842
91.0749,162.587
91.0993,123.511
91.1238,93.5236
91.1456,73.1868
91.1665,58.1417
91.1889,45.9645
91.2113,36.8961
91.2368,29.3506
91.264,23.6751
91.292,19.5478
91.32,16.5792
91.3599,13.6061
91.4063,11.2695
91.4623,9.34205
91.5294,7.76553
91.6027,6.60149
91.6822,5.77364
91.7616,5.28461
91.8411,5.10929
91.9043,5.25885
