92-U-234(n,elastic) ENDF/B-VII.1
151.436,2.25291
151.458,2.25253
151.485,2.34207
151.512,2.583
151.533,2.90886
151.554,3.40717
151.576,4.19222
151.596,5.24032
151.617,6.67883
151.636,8.46567
151.658,11.1636
151.68,14.7255
151.702,19.3447
151.725,25.6484
151.748,33.6533
151.776,45.8675
151.806,62.4051
151.84,86.6153
151.878,119.7
151.932,177.935
152.059,331.981
152.115,379.775
152.17,399.329
152.177,399.614
152.227,386.892
152.275,353.058
152.362,260.708
152.444,169.762
152.496,123.287
152.54,92.7553
152.581,71.1959
152.615,57.76
152.65,47.6942
152.691,39.0638
152.725,34.0005
152.773,29.134
152.835,25.2376
152.917,22.1679
153.041,19.4822
153.192,17.4571
153.411,15.5959
153.708,14.0491
154.267,12.4084
154.926,11.3503
155.584,10.6875
157.14,9.74526
161.031,8.51066
167.313,6.87901
169.921,5.88293
171.537,4.9656
172.616,4.08494
173.368,3.23999
173.891,2.4729
174.329,1.67928
174.848,0.610785
174.946,0.441963
175.003,0.365195
175.048,0.322585
175.085,0.303722
175.101,0.301161
175.134,0.309324
175.166,0.339392
175.195,0.388853
175.224,0.466259
175.25,0.570443
175.277,0.715199
175.301,0.895845
175.328,1.15904
175.35,1.45405
175.375,1.87654
175.399,2.43867
175.424,3.18861
175.447,4.14339
175.469,5.28153
175.49,6.75028
175.512,8.64335
175.533,11.0773
175.558,14.7066
175.582,19.494
175.608,26.0589
175.632,34.2729
175.657,44.811
175.681,58.1775
175.71,78.0775
175.739,103.482
175.771,140.398
175.807,192.026
175.85,269.179
175.899,379.621
175.995,642.057
176.082,863.344
176.141,958.813
176.191,986.068
176.245,954.219
176.308,849.609
176.414,579.749
176.489,391.009
176.54,285.215
176.585,212.841
176.624,163.818
176.663,126.357
176.701,98.7573
176.738,79.3312
176.775,65.13
176.818,53.3737
176.867,44.2649
176.922,37.4773
176.995,31.6378
177.087,26.9615
177.194,23.3257
177.357,19.5615
177.553,16.5657
177.807,13.9622
178.093,11.9285
178.512,9.82464
