94-Pu-241(n,elastic) ENDF/B-VII.1
138.3,10.9257
138.473,12.0652
138.591,12.294
138.943,11.4844
139.745,9.1928
139.782,9.16594
139.855,9.34012
139.932,10.0717
139.99,11.1449
140.067,13.325
140.229,18.8423
140.298,20.1863
140.35,20.4391
140.425,19.748
140.654,14.833
140.763,13.168
140.927,11.6878
141.33,9.56227
141.59,8.52825
141.621,8.49741
141.682,8.62027
141.741,9.10432
141.797,10.0795
141.852,11.7487
141.908,14.2582
141.979,18.7104
142.148,31.4793
142.219,35.0747
142.286,36.3078
142.349,35.6023
142.442,32.2645
142.627,24.1472
142.725,21.1473
142.837,18.9102
142.997,16.945
143.281,15.048
143.65,13.6634
144.677,11.3228
144.854,11.1933
145.162,11.4045
145.345,11.153
145.728,9.76671
145.752,9.75611
145.829,9.98137
145.92,10.9677
146.009,12.8712
146.196,18.0402
146.275,19.3324
146.335,19.6276
146.465,18.6468
146.713,15.5305
146.926,14.2227
147.416,13.0686
148.612,10.7914
148.734,11.0617
148.915,12.4771
149.061,13.4165
149.101,13.4606
149.202,13.1527
149.518,11.2618
149.719,10.8423
149.897,11.2651
150.256,13.7391
150.348,13.9328
150.515,13.3468
150.758,11.8113
150.86,11.607
151.01,12.0499
151.265,13.3542
151.398,13.5719
152.325,12.2228
152.767,11.5769
153.254,10.0664
153.278,10.0589
153.385,10.3587
153.487,11.3278
153.76,15.7906
153.863,16.7334
153.953,16.8912
154.138,16.0438
154.519,14.0428
155.154,12.0678
155.206,12.0378
155.371,12.5328
155.601,13.9553
155.713,14.1464
156.204,12.756
156.751,12.377
157.386,11.8047
157.933,11.1095
158.61,9.45433
158.715,9.66077
158.834,10.6296
159.064,13.5627
159.183,14.16
159.2,14.1673
159.431,13.7562
159.674,14.1497
159.841,13.7631
160.251,11.9628
160.383,11.7695
160.541,12.2524
160.808,13.914
160.911,14.0789
161.549,12.448
162.622,11.8242
163.004,11.8706
163.716,11.3934
164.266,10.857
164.541,11.3025
164.913,12.1924
165.002,12.2301
165.473,12.0538
165.544,12.0553
166.568,11.24
166.956,10.7003
167.353,11.3329
168.044,10.5685
168.338,9.93564
168.354,9.93489
168.449,10.1003
168.594,10.9732
168.786,12.4994
168.931,12.8644
169.339,11.4976
169.612,11.1206
170.0,11.3014
171.306,10.1632
171.321,10.1631
171.364,10.1635
171.742,9.89001
172.927,8.27969
173.202,7.84615
173.65,6.23798
173.698,6.19799
173.763,6.37809
173.812,6.788
173.872,7.73739
173.928,9.184
173.997,11.6715
174.173,19.5511
174.25,21.7564
174.304,22.3041
174.365,21.8767
174.451,19.8626
174.579,16.1814
174.649,15.169
174.666,15.1171
174.729,15.6942
174.784,17.2231
174.862,20.6714
175.0,27.5345
175.087,29.6757
175.11,29.8049
175.179,29.1083
175.309,25.0811
175.438,20.7759
175.541,18.4488
175.644,17.0632
175.848,15.8196
176.852,14.0776
177.087,14.6727
177.315,15.2741
177.946,13.6595
178.711,12.0923
178.746,12.0831
179.193,12.4551
179.921,11.8117
180.213,11.8722
180.898,11.3575
181.767,10.0874
182.149,9.00714
182.384,8.24513
182.399,8.23619
182.49,8.49201
182.555,9.15029
182.63,10.5897
182.709,12.8581
182.88,18.5891
182.957,20.2114
183.026,20.7205
183.114,20.1901
183.375,16.3679
183.53,15.3833
183.948,14.4467
184.492,12.7844
186.907,10.3273
187.088,10.1611
187.539,10.677
188.116,9.79965
188.678,8.69495
188.695,8.69318
188.831,8.95113
189.081,10.0864
189.149,10.1715
189.317,9.73654
189.473,9.3259
189.595,9.64057
189.888,11.5375
190.032,11.7659
190.353,11.5758
190.721,11.7125
191.165,11.4188
192.102,10.1722
192.328,10.0096
192.563,10.2139
192.786,11.1384
193.132,13.3755
193.291,13.7151
193.473,13.2996
194.025,10.9462
195.136,7.95803
195.319,7.73028
195.459,7.9913
195.577,8.78162
195.698,10.2939
195.959,14.644
196.09,15.9807
196.185,16.27
196.325,15.8398
196.732,13.063
196.91,12.7467
197.09,12.9042
197.266,12.5998
197.596,11.2446
197.692,11.0996
197.828,11.4245
198.111,13.3886
198.213,13.7008
198.383,13.3098
198.722,11.6434
198.993,11.1392
199.027,11.1324
199.502,11.7296
199.977,12.2229
200.667,11.4854
200.908,11.6302
201.17,11.2433
201.943,8.60592
202.009,8.53573
202.108,8.86039
202.168,9.54005
202.222,10.6744
202.276,12.5051
202.33,15.2345
202.387,19.2728
202.454,25.6814
202.548,37.0485
202.673,52.4459
202.752,59.1612
202.821,61.6055
202.911,59.7525
203.022,51.8604
203.201,36.5981
203.297,30.5984
203.399,26.1925
203.507,23.1355
203.651,20.5653
203.89,18.0673
204.265,15.8723
205.418,11.5575
205.494,11.3991
205.589,11.5378
205.684,12.2575
205.814,14.2778
205.987,17.3439
206.072,18.1717
206.12,18.3287
206.262,17.7246
206.613,14.7322
207.039,12.7093
207.133,12.5408
207.241,12.7832
207.39,14.0992
207.577,16.0665
207.686,16.3438
207.85,15.5012
208.131,13.7737
208.509,12.8507
209.141,12.3225
209.732,12.6588
210.275,12.2175
210.601,12.7293
210.884,12.3186
211.245,11.3977
211.582,11.0131
211.869,11.3824
212.288,12.5508
212.435,12.6739
212.797,12.2151
213.759,10.238
214.174,8.93163
214.258,8.82517
214.382,9.06972
214.524,10.0873
214.765,12.4574
214.91,13.0754
214.943,13.0947
