24-Cr-52(n,elastic) ENDF/B-VII.1
258946.0,2.77038
259114.0,2.46126
259356.0,2.20173
259760.0,1.97047
260486.0,1.76587
260872.0,1.69293
260907.0,1.70752
263157.0,1.34395
263796.0,1.16682
264127.0,1.01589
264359.0,0.858049
264539.0,0.682753
264673.0,0.509731
264827.0,0.278119
264864.0,0.235941
264892.0,0.220049
264899.0,0.219325
264915.0,0.224966
264932.0,0.244154
264944.0,0.27044
264959.0,0.318104
264973.0,0.389623
264986.0,0.475598
265000.0,0.605595
265013.0,0.78189
265026.0,1.0014
265040.0,1.30421
265054.0,1.71744
265069.0,2.29439
265086.0,3.11154
265105.0,4.33135
265159.0,8.49646
265181.0,9.69666
265199.0,10.1641
265205.0,10.2139
265226.0,10.0496
265273.0,8.68268
265332.0,6.88891
265379.0,5.83537
265434.0,4.96955
265503.0,4.24662
265572.0,3.76107
265682.0,3.25574
265803.0,2.90706
266002.0,2.56172
266266.0,2.29938
266718.0,2.05986
267416.0,1.8652
267463.0,1.9342
267513.0,1.86443
268676.0,1.709
271646.0,1.52213
273967.0,1.41291
273991.0,1.4496
274019.0,1.61855
274021.0,1.62018
274034.0,1.57176
274055.0,1.46319
274108.0,1.42905
280151.0,1.22257
280575.0,1.21905
281423.0,1.2575
281847.0,1.35125
282090.0,1.47539
282271.0,1.64525
282423.0,1.88457
282544.0,2.19147
282650.0,2.60413
282741.0,3.13086
282816.0,3.75478
282892.0,4.61721
282968.0,5.78338
283075.0,7.97115
283162.0,9.74809
283231.0,10.5703
283259.0,10.649
283313.0,10.3661
283398.0,9.11611
283537.0,6.68246
283630.0,5.48661
283687.0,5.04233
283697.0,5.02397
283717.0,5.17713
283727.0,5.54989
283735.0,6.17211
283741.0,7.06957
283749.0,8.63273
283760.0,12.0145
283768.0,14.3027
283775.0,15.3018
283778.0,15.4109
283784.0,14.8432
283791.0,13.2338
283806.0,8.42606
283813.0,6.73457
283819.0,5.78913
283825.0,5.08435
283833.0,4.51999
283839.0,4.2464
283852.0,3.93199
283883.0,3.57713
283955.0,3.15708
284071.0,2.74553
284243.0,2.35982
284434.0,2.10088
284553.0,2.03521
284616.0,2.10077
284644.0,2.22768
284664.0,2.4334
284675.0,2.67518
284686.0,3.07065
284693.0,3.50858
284700.0,4.17543
284707.0,5.16362
284714.0,6.53773
284726.0,9.62525
284735.0,11.6368
284742.0,12.7433
284746.0,12.8883
284752.0,12.5394
284758.0,11.4795
284778.0,6.58276
284785.0,5.19796
284792.0,4.19534
284799.0,3.51251
284806.0,3.05842
284817.0,2.63975
284829.0,2.37431
284848.0,2.13267
284877.0,1.95803
284905.0,1.86388
284987.0,1.73219
285186.0,1.60165
285682.0,1.44684
286618.0,1.30042
288336.0,1.16465
289848.0,1.07472
289867.0,1.09446
289882.0,1.1815
289899.0,1.31337
289904.0,1.32102
289916.0,1.27126
289936.0,1.13831
289957.0,1.09932
290737.0,1.04979
294773.0,0.875989
295200.0,0.824002
295283.0,0.80947
295314.0,0.822925
295331.0,0.861363
295342.0,0.93782
295348.0,1.01662
295354.0,1.14954
295359.0,1.35705
295363.0,1.61991
295368.0,1.99259
295373.0,2.5646
295378.0,3.40405
295386.0,5.01884
295396.0,6.93804
295402.0,7.78553
295408.0,8.07812
295414.0,7.77875
295421.0,6.83407
295436.0,4.05378
295442.0,3.19799
295448.0,2.55416
295453.0,2.17148
295458.0,1.89455
295465.0,1.64208
295474.0,1.45355
295485.0,1.32093
295501.0,1.20737
295517.0,1.13898
295556.0,1.04697
295596.0,1.00053
295691.0,0.947468
295944.0,0.898523
297254.0,0.825279
301701.0,0.674698
302608.0,0.661738
303334.0,0.680264
303761.0,0.731838
303970.0,0.787113
