11-Na-23(n,&gamma;) ENDF/B-VII.1
307288.0,1.21301E-4
307644.0,1.0625E-4
308071.0,9.38848E-5
308640.0,8.31197E-5
309210.0,7.57491E-5
310348.0,6.62549E-5
311486.0,6.04039E-5
312625.0,5.6511E-5
314902.0,5.19026E-5
318318.0,4.91608E-5
320594.0,4.85688E-5
326287.0,5.02438E-5
333118.0,5.59881E-5
339949.0,6.56701E-5
346211.0,7.91584E-5
351334.0,9.49947E-5
355888.0,1.14642E-4
360442.0,1.42256E-4
364427.0,1.76588E-4
367842.0,2.17337E-4
370688.0,2.62831E-4
373535.0,3.24247E-4
376381.0,4.06373E-4
379227.0,5.1901E-4
382074.0,6.67463E-4
389018.0,0.00112099
391295.0,0.00119755
392092.0,0.0012024
394369.0,0.00115003
397557.0,9.63488E-4
402111.0,6.67981E-4
404844.0,5.31496E-4
407690.0,4.26054E-4
410536.0,3.49108E-4
413952.0,2.86493E-4
417367.0,2.48165E-4
420213.0,2.33808E-4
420782.0,2.32704E-4
422490.0,2.37386E-4
423629.0,2.47756E-4
424663.0,2.6395E-4
425693.0,2.94237E-4
426494.0,3.33181E-4
427195.0,3.86027E-4
427796.0,4.535E-4
428297.0,5.33161E-4
428837.0,6.54103E-4
429398.0,8.25873E-4
430299.0,0.00115636
430660.0,0.00124106
430892.0,0.00125787
431301.0,0.00120687
431901.0,0.00100906
432662.0,7.43186E-4
433203.0,6.04864E-4
433704.0,5.12373E-4
434304.0,4.36084E-4
434905.0,3.85548E-4
435706.0,3.44101E-4
436708.0,3.18557E-4
437573.0,3.12041E-4
438803.0,3.21515E-4
440033.0,3.51219E-4
441263.0,4.0593E-4
442318.0,4.80196E-4
443196.0,5.70023E-4
444075.0,6.98564E-4
444954.0,8.78967E-4
445727.0,0.00109659
446711.0,0.0014602
447836.0,0.0019041
448539.0,0.00206136
448778.0,0.00207346
449312.0,0.00201615
450015.0,0.00180035
451632.0,0.00116295
452423.0,9.23215E-4
453213.0,7.41841E-4
454092.0,5.93661E-4
454971.0,4.87695E-4
455850.0,4.09314E-4
456904.0,3.41191E-4
458134.0,2.85086E-4
459716.0,2.35797E-4
461473.0,1.99648E-4
463758.0,1.69525E-4
466394.0,1.48189E-4
469908.0,1.32045E-4
474126.0,1.22789E-4
479047.0,1.19872E-4
486076.0,1.24908E-4
494160.0,1.40779E-4
499923.0,1.59801E-4
499946.0,1.65066E-4
499969.0,1.80092E-4
500000.0,2.18337E-4
500027.0,2.52629E-4
500054.0,2.71412E-4
500107.0,2.77991E-4
600000.0,3.49989E-4
630000.0,3.5E-4
660000.0,3.49995E-4
750000.0,3.19988E-4
800000.0,2.70009E-4
880000.0,2.40005E-4
1179780.0,2.20467E-4
1876070.0,1.95073E-4
2967680.0,1.73005E-4
4000000.0,1.6E-4
4250000.0,1.6E-4
1.15E7,1.80001E-4
1.33E7,2.0E-4
1.5E7,2.29999E-4
2.0E7,2.4541E-4
